Ticker,EV/EBIT,M.EBIT,Vol.(Mi)
MNPR3,2.08,19.8,0.88
GOAU4,3.5,14.2,151.16
MRFG3,3.66,12.1,178.81
EVEN3,3.76,16.3,14.8
PCAR3,3.77,9.3,207.42
ALUP11,4.01,58.5,27.7
WIZS3,4.26,49.1,40.93
VALE3,4.4,56.3,2793.54
EUCA4,4.72,15.2,4.49
PLPL3,4.75,29.9,5.98
BRKM5,4.99,19.2,230.55
CMIN3,5.04,55.0,116.32
CLSC4,5.1,7.7,0.42
SAPR11,5.12,36.2,39.96
TRPL4,5.46,100.8,36.26
CPLE6,5.49,22.6,70.54
TASA4,5.61,27.4,53.93
BEEF3,5.65,9.1,107.43
ENBR3,5.69,20.8,65.17
PFRM3,5.72,3.6,3.0
ALLD3,5.8,6.3,1.67
JBSS3,5.98,7.7,421.99
USIM5,6.07,22.6,467.53
CSNA3,6.11,34.9,565.31
LIGT3,6.34,13.5,38.3
PETR4,6.39,37.8,1748.39
CMIG4,6.49,18.8,123.24
TEND3,6.6,15.6,25.62
JHSF3,6.92,59.5,40.4
CSMG3,6.97,24.7,36.77
TAEE11,7.15,69.4,89.29
EQTL3,7.38,26.8,170.59
UNIP6,7.39,28.6,35.32
LAVV3,7.47,30.4,11.83
EALT4,7.65,10.8,0.49
DIRR3,7.66,17.6,18.95
LEVE3,7.74,16.8,18.0
TECN3,7.74,11.4,7.81
NEOE3,7.93,18.4,40.37
ECOR3,8.13,42.6,51.78
CAML3,8.3,8.0,15.27
EGIE3,8.41,42.8,63.53
TIMS3,8.6,18.5,71.06
CPFE3,8.64,17.1,67.23
RAPT4,8.8,12.6,40.4
SBSP3,9.03,24.2,123.7
FESA4,9.26,22.5,18.67
CRPG5,9.28,22.6,0.9
GGBR4,9.3,14.2,501.3
BTTL3,9.47,5.7,0.33
CURY3,9.57,21.5,11.35
TESA3,9.71,15.8,1.64
AGRO3,9.79,35.2,38.89
HAGA4,9.84,9.4,0.83
ODPV3,9.9,35.4,14.7
SLCE3,10.0,24.7,71.81
WHRL4,10.0,10.2,0.23
SEER3,10.13,15.0,10.29
CGRA4,10.22,10.9,0.52
