Ticker,EV/EBIT,M.EBIT,Vol.(Mi)
MNPR3,2.82,14.58,0.75
GOAU4,3.03,16.23,145.06
HAGA4,3.58,27.46,0.69
EVEN3,3.59,17.09,14.96
MRFG3,3.83,11.56,178.0
ALUP11,4.07,57.88,23.06
CYRE3,4.39,58.05,145.61
B3SA3,4.52,61.43,706.48
CLSC4,4.87,8.09,0.35
TRPL4,5.01,116.52,39.58
WIZS3,5.14,40.75,31.58
PCAR3,5.2,5.73,201.06
RAPT4,5.26,20.31,39.01
CPLE6,5.29,22.77,77.14
PETR4,5.29,45.61,1730.0
CMIN3,5.34,51.9,89.14
TAEE11,5.43,91.56,92.75
TASA4,5.5,27.98,64.02
USIM5,5.6,24.81,413.35
ENBR3,5.65,20.92,63.28
SAPR11,5.68,32.74,40.17
ALLD3,5.69,6.39,1.05
BEEF3,5.74,8.97,100.22
JBSS3,5.82,7.91,390.87
CMIG4,5.84,21.92,115.52
CGRA4,5.87,18.83,0.64
JHSF3,5.88,69.99,37.96
BTTL3,5.91,9.15,0.21
SEER3,6.06,25.09,10.24
CSNA3,6.12,34.92,553.36
LIGT3,6.71,12.79,41.16
POSI3,6.91,13.26,92.1
CSMG3,7.1,24.2,36.83
VALE3,7.25,34.21,2640.0
BRDT3,7.29,5.72,190.68
UNIP6,7.31,27.88,29.8
LAVV3,7.32,31.04,10.53
EUCA4,7.38,12.1,3.33
EQTL3,7.6,26.03,174.53
GGBR4,7.78,16.26,468.12
EGIE3,7.78,46.31,66.94
MGEL4,7.86,16.06,0.26
PLPL3,7.95,17.84,5.24
CAML3,7.99,8.33,14.9
TIMS3,8.13,15.77,65.17
CRPG5,8.21,23.7,0.92
AGRO3,8.22,34.26,27.7
WHRL4,8.44,10.92,0.2
TEND3,8.68,11.89,25.99
CPFE3,8.73,16.88,67.32
SBSP3,8.76,24.93,138.51
EALT4,8.78,12.86,0.36
DIRR3,8.88,15.49,16.95
NEOE3,8.89,16.39,35.52
TESA3,9.06,16.93,1.33
LOGG3,9.65,254.89,11.48
TRIS3,9.66,23.01,12.1
FRAS3,9.8,16.16,2.79
CURY3,9.81,20.98,10.21
BOBR4,9.82,6.49,0.35
SLCE3,9.85,25.03,61.74
CESP6,9.91,47.26,61.41
PFRM3,10.0,2.05,3.06
LPSB3,10.04,26.03,4.45
SHUL4,10.24,14.02,4.74
BRKM5,10.45,9.17,185.82
CRFB3,10.64,6.8,89.57
ENAT3,10.65,34.36,30.43
ELET3,10.84,30.42,227.46
ODPV3,10.93,32.09,15.26
RANI3,10.96,18.84,17.8
SMTO3,10.99,35.23,35.94
MELK3,11.04,10.28,3.79
UCAS3,11.12,14.51,0.7
SMLS3,11.28,34.48,40.14
FESA4,11.34,20.5,16.96
PTNT3,11.38,7.68,0.62
PARD3,11.47,15.19,8.46
LEVE3,11.5,11.29,14.52
BMOB3,11.55,34.97,25.18
EMAE4,11.99,36.45,0.36
BRFS3,12.32,7.1,229.45
KEPL3,12.37,12.34,10.1
ATOM3,12.47,35.35,3.53
CCPR3,12.65,48.94,4.93
VIVT3,12.67,14.76,103.19
ASAI3,12.95,5.91,124.2
CGAS5,13.17,22.78,0.29
QUAL3,13.23,32.42,80.73
JPSA3,13.63,48.64,7.48
PRIO3,13.93,51.73,453.12
SUZB3,13.94,33.06,502.06
TGMA3,14.02,11.29,10.77
CCRO3,14.04,26.87,159.45
CARD3,14.39,16.35,7.54
LOGN3,14.42,17.68,14.12
SCAR3,15.36,64.59,0.47
SIMH3,15.44,15.06,24.9
CSAN3,15.51,18.7,243.38
PGMN3,15.86,5.08,9.81
ECOR3,15.87,21.84,48.45
MTRE3,15.87,8.85,10.68
ABEV3,15.89,27.05,330.63
PTBL3,16.08,10.8,44.02
MRVE3,16.6,10.76,63.69
TUPY3,16.72,5.65,32.07
MOVI3,17.02,17.39,36.11
MULT3,17.39,92.51,137.31
VVAR3,17.56,5.38,492.54
FLRY3,17.65,18.04,47.35
LCAM3,17.72,17.05,63.6
OFSA3,17.87,15.28,1.09
ROMI3,18.07,12.38,45.63
SGPS3,18.3,4.74,1.27
UGPA3,18.44,2.23,112.25
BRPR3,18.88,108.2,13.92
GMAT3,19.14,6.77,35.32
COCE5,19.27,6.4,1.04
DTEX3,19.28,12.88,47.48
POWE3,19.31,2.8,3.84
HYPE3,19.57,32.2,93.72
MDIA3,19.6,7.44,35.94
TFCO4,20.14,17.33,1.73
BLAU3,20.16,34.52,8.59
INTB3,20.58,17.62,35.04
GRND3,20.71,17.84,16.06
JSLG3,21.38,7.67,3.65
RAIL3,22.87,30.11,180.28
AMBP3,23.2,18.24,10.06
OMGE3,23.41,43.24,32.25
LJQQ3,23.55,10.09,30.25
EZTC3,23.56,28.91,76.32
CSED3,23.88,12.53,7.42
HBOR3,25.82,8.6,16.28
RENT3,26.23,20.13,311.98
IGTA3,26.51,52.11,85.7
ANIM3,27.35,12.99,24.67
CAMB3,27.51,7.73,0.46
ORVR3,29.27,15.18,5.21
LAME4,31.59,5.44,253.57
HBRE3,31.79,78.41,2.06
VAMO3,32.57,24.23,23.47
NGRD3,36.14,16.52,20.86
PDTC3,36.49,10.49,2.19
RDNI3,36.79,6.91,0.44
ALSO3,36.97,30.24,38.72
VIVA3,37.56,17.58,28.26
HBSA3,37.84,15.99,34.71
MOSI3,38.12,21.49,36.16
PNVL3,39.07,3.09,15.94
POMO4,39.45,2.58,16.18
OPCT3,39.76,6.23,10.37
TOTS3,44.01,15.98,132.97
WEGE3,44.26,16.94,367.34
VULC3,45.81,4.18,4.98
RADL3,47.82,4.78,142.47
GNDI3,49.1,10.12,328.18
YDUQ3,49.26,6.74,74.7
HAPV3,50.67,13.71,165.97
ESPA3,54.68,16.41,22.18
ALPA4,55.57,12.57,66.13
NTCO3,55.86,3.61,295.06
MILS3,58.55,5.78,15.48
STBP3,59.42,11.7,45.54
HGTX3,60.18,7.87,94.39
LREN3,66.05,8.98,422.32
TECN3,67.3,1.32,5.66
BOAS3,70.48,11.91,11.48
RDOR3,71.56,13.54,161.0
PETZ3,77.24,7.51,80.52
AALR3,80.63,2.55,9.46
GFSA3,86.87,2.27,25.16
SEQL3,89.38,3.48,20.88
ARZZ3,95.87,5.79,50.18
MGLU3,110.89,3.68,664.02
