Ticker,EV/EBIT,M.EBIT,Vol.(Mi)
MNPR3,2.82,14.58,0.8
GOAU4,3.03,16.23,161.37
HAGA4,3.58,27.46,1.12
EVEN3,3.59,17.09,14.78
MRFG3,3.82,11.56,218.44
ALUP11,4.01,58.47,22.14
CYRE3,4.39,58.05,148.0
CLSC4,4.87,8.09,0.36
TRPL4,4.89,118.1,33.44
WIZS3,5.14,40.75,47.41
RAPT4,5.25,20.38,42.75
PETR4,5.29,45.61,1918.75
CMIN3,5.34,51.9,163.19
CPLE6,5.36,22.77,57.55
TAEE11,5.38,92.32,93.99
TASA4,5.48,27.8,53.62
USIM5,5.6,24.81,499.45
ENBR3,5.65,20.92,67.34
SAPR11,5.66,32.74,35.61
BEEF3,5.74,8.97,85.14
JBSS3,5.83,7.91,377.15
CMIG4,5.85,21.87,108.29
PCAR3,5.85,6.0,145.15
CGRA4,5.87,18.83,0.54
JHSF3,5.88,69.99,37.97
SEER3,6.06,25.09,11.14
CSNA3,6.12,34.92,545.9
LIGT3,6.71,12.79,39.24
POSI3,6.91,13.26,125.61
CSMG3,7.1,24.2,34.38
VALE3,7.25,34.21,3142.0
BRDT3,7.29,5.72,221.16
UNIP6,7.31,27.88,36.16
LAVV3,7.32,31.04,9.98
EUCA4,7.38,12.1,4.87
EQTL3,7.6,26.03,155.5
GGBR4,7.78,16.26,535.0
EGIE3,7.78,46.31,70.22
BOBR4,7.91,6.49,0.34
PLPL3,7.95,17.84,7.23
CAML3,7.99,8.33,14.45
MGEL4,8.27,16.06,0.46
CRPG5,8.34,23.7,0.96
WHRL4,8.44,10.9,0.2
SHUL4,8.44,14.02,6.02
TEND3,8.68,11.89,28.51
DIRR3,8.7,15.49,22.04
CPFE3,8.73,16.88,62.01
SBSP3,8.76,24.93,121.81
EALT4,8.78,12.86,0.43
NEOE3,8.89,16.39,44.88
TESA3,9.06,16.93,2.08
LOGG3,9.65,254.89,7.92
TRIS3,9.66,23.01,11.48
FRAS3,9.8,16.16,1.87
CESP6,9.8,47.26,52.06
SLCE3,9.85,25.03,82.24
ENAT3,9.99,36.62,23.64
PFRM3,10.0,2.05,2.93
LPSB3,10.04,26.03,5.45
BTTL3,10.04,6.52,0.56
AGRO3,10.05,34.26,38.96
ELET3,10.1,31.95,313.67
BRKM5,10.45,9.17,249.47
CRFB3,10.64,6.8,92.6
ODPV3,10.93,32.09,11.83
RANI3,10.96,18.84,23.87
MELK3,11.04,10.28,3.28
SMTO3,11.06,35.23,31.61
SGPS3,11.1,7.82,1.73
UCAS3,11.12,14.51,0.65
PTNT3,11.25,7.77,0.28
