Ticker,Price,EV/EBIT,M.EBIT,Vol.(Mi)3m
GOAU3,8.98,0.6900000000000001,26.30666666666667,0.8
USIM5,8.97,1.2300000000000002,29.62,202.09
BRKM5,37.85,2.0033333333333334,21.593333333333334,102.32
UNIP6,91.96,2.1700000000000004,40.11333333333334,25.46
EUCA4,8.1,2.18,19.0,0.67
TASA3,17.35,2.25,34.86666666666667,0.91
ENAT3,17.16,2.8066666666666666,73.56666666666666,48.71
CEBR6,13.62,2.8699999999999997,36.36,0.41
DMMO3,1.45,2.9266666666666663,66.60000000000001,34.28
SYNE3,4.21,3.066666666666667,72.71333333333332,4.27
FESA4,49.98,3.2300000000000004,30.72666666666667,17.06
DEXP3,7.71,3.2466666666666666,13.466666666666667,2.74
CMIN3,4.14,3.676666666666667,36.38,34.77
ALLD3,10.56,3.6966666666666668,5.94,1.62
CSNA3,16.46,3.8200000000000003,30.646666666666665,220.51
ALUP11,25.37,4.1,76.58666666666666,26.61
CMIG4,10.62,4.113333333333333,29.560000000000002,129.8
AGRO3,26.15,4.256666666666667,38.416666666666664,22.94
CRPG5,33.0,4.333333333333333,21.72,0.35
SAPR11,18.77,4.366666666666666,37.32666666666666,23.19
RANI3,6.7,4.403333333333333,24.60666666666667,8.44
SUZB3,47.85,4.593333333333334,50.70000000000001,297.58
EVEN3,4.43,4.646666666666667,14.666666666666666,7.38
CGRA4,28.0,4.676666666666667,24.893333333333334,0.38
KEPL3,15.03,4.766666666666667,26.76666666666667,13.19
ALSO3,16.72,4.83,53.98666666666667,33.69
POSI3,6.1,4.843333333333334,24.673333333333332,19.28
LAVV3,4.6,4.87,28.400000000000002,5.24
MYPK3,16.11,4.89,13.88,21.15
MOVI3,13.66,4.96,26.46666666666667,44.22
MLAS3,4.33,5.01,13.943333333333333,9.4
CLSC4,56.39,5.03,10.88,0.31
GFSA3,1.19,5.03,25.326666666666664,9.49
WIZS3,8.2,5.18,29.093333333333334,12.41
CPLE11,34.1,5.34,20.373333333333335,14.26
LEVE3,23.43,5.366666666666667,15.74,7.91
