Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,21.49,106.63,2.8,10209400.0
AMBEV S/A,ABEV3,12.86,12.12,19.5,520280000.0
AERIS,AERI3,1.17,8.7,7.7,10852600.0
AES BRASIL,AESB3,9.88,20.38,18.1,22995100.0
AFLUENTE T,AFLT3,9.21,4.46,80.1,3973.0
BRASILAGRO,AGRO3,27.01,19.06,13.7,11835500.0
AGROGALAXY,AGXY3,9.42,5.82,4.4,669472.0
PARQUE ANHEMBI,AHEB3,20.0,-18.54,-4.4,1358.0
PARQUE ANHEMBI,AHEB5,22.0,-20.39,-4.4,0.0
PARQUE ANHEMBI,AHEB6,19.31,-17.9,-4.4,44.0
ALLIED,ALLD3,5.3,5.71,3.3,232597.0
ALPARGATAS,ALPA3,9.51,13.13,13.0,105054.0
ALPARGATAS,ALPA4,9.58,13.22,13.0,59805000.0
ESTAPAR,ALPK3,1.5,7.5,19.7,520142.0
ALIANSCSONAE,ALSO3,17.47,13.48,52.8,54861700.0
ALUPAR,ALUP11,27.67,5.17,76.6,23428300.0
ALUPAR,ALUP3,9.3,5.19,76.6,180169.0
ALUPAR,ALUP4,9.23,5.17,76.6,158712.0
LOJAS MARISA,AMAR3,0.77,6.5,9.9,11543600.0
AMBIPAR,AMBP3,22.02,9.86,17.2,22380900.0
AMERICANAS,AMER3,1.1,10.92,4.3,287660000.0
ANIMA,ANIM3,4.1,8.45,18.6,20517800.0
ALPER S.A.,APER3,25.58,4.92,33.6,965318.0
ARMAC,ARML3,11.82,18.15,33.6,4940730.0
AREZZO CO,ARZZ3,77.42,17.35,12.1,108160000.0
ASSAI,ASAI3,18.63,9.31,7.1,179425000.0
ATMASA,ATMP3,1.09,-2.34,-15.5,22394.0
ATOMPAR,ATOM3,2.25,2.53,34.7,23638.0
AUREN,AURE3,14.97,25.32,14.3,55734300.0
ALPHAVILLE,AVLL3,10.1,-13.92,-31.9,36449.0
AZEVEDO & TRAVASSOS,AZEV3,1.72,-2.26,-22.4,262977.0
AZEVEDO & TRAVASSOS,AZEV4,1.7,-2.24,-22.4,717203.0
AZUL,AZUL4,8.81,13.18,12.9,136288000.0
B3,B3SA3,11.8,12.04,56.1,536046000.0
BAHEMA,BAHI3,13.0,-17.33,-7.9,51823.0
BAUMER,BALM3,10.3,6.0,9.2,351.0
BAUMER,BALM4,9.02,5.08,9.2,1750.0
EXCELSIOR,BAUH4,81.99,138.26,1.7,3198.0
BAEDELLA,BDLL3,11.4,-7.63,-125.1,291.0
BAEDELLA,BDLL4,8.0,-7.46,-125.1,3322.0
Minerva,BEEF3,13.19,5.74,8.0,94864900.0
BIOMM SA,BIOM3,5.36,-6.71,-80.8,67661.0
BLAU,BLAU3,28.41,10.97,30.5,6160730.0
B TECH EQI,BLUT3,5.14,-53.97,,3092.0
B TECH EQI,BLUT4,1.52,-23.74,,10453.0
MONARK,BMKS3,375.0,-1.78,-22.0,11381.0
BEMOBI TECH,BMOB3,14.5,7.75,7.0,5552870.0
BOA VISTA,BOAS3,7.67,11.18,28.9,20060000.0
BOMBRIL SA,BOBR3,1.0,5.01,8.1,0.0
BOMBRIL SA,BOBR4,1.17,5.4,8.1,39749.0
BRADESPAR S/A,BRAP3,25.29,-418.54,,2309300.0
BRADESPAR S/A,BRAP4,28.76,-481.29,,83808700.0
BRF Foods,BRFS3,6.42,19.73,2.1,166541000.0
BRISANET,BRIT3,2.46,11.32,16.8,1179360.0
BRASKEM,BRKM3,23.19,3.11,12.2,350841.0
BRASKEM,BRKM5,22.05,3.04,12.2,65085000.0
BRASKEM,BRKM6,20.0,2.91,12.2,3381.0
BR PROPERTIES,BRPR3,5.98,15.49,54.0,16545100.0
CAL S/A,CALI3,9.26,13.88,8.4,401.0
PENALTY,CAMB3,6.46,4.21,22.1,174034.0
CAMIL,CAML3,7.42,11.66,4.9,12169000.0
MELIUZ,CASH3,0.97,-0.52,-47.1,35704000.0
CASAN,CASN3,12.81,67.09,15.3,0.0
CBA,CBAV3,10.93,5.04,17.0,35093700.0
AMPLA ENERG,CBEE3,15.93,7.07,14.8,378.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,11.23,4.59,50.9,128495000.0
CEA MODAS,CEAB3,2.28,34.44,0.9,15333200.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,11.0,1.53,46.0,65784.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,11.44,1.71,46.0,15662.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,11.03,1.54,46.0,119857.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,5.8,5.44,4.4,153.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,3.58,5.02,4.4,11938.0
CEEE-D,CEED3,35.37,9.31,10.4,1956.0
CEEE-D,CEED4,35.0,9.26,10.4,80.0
CEG,CEGR3,89.0,25.93,15.9,0.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,124.0,7.79,16.9,13556.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,127.95,7.98,16.9,91327.0
GRAZZIOTIN,CGRA3,30.37,4.04,18.3,24806.0
GRAZZIOTIN,CGRA4,29.16,3.85,18.3,322902.0
CIELO,CIEL3,5.35,7.76,21.0,127991000.0
CLEARSALE,CLSA3,4.64,-3.16,-27.5,2733690.0
CELESC,CLSC3,48.1,4.45,6.5,14611.0
CELESC,CLSC4,50.13,4.57,6.5,223476.0
CEMIG,CMIG3,16.1,8.63,13.9,6706480.0
CEMIG,CMIG4,10.96,6.31,13.9,126011000.0
CSNMINERACAO,CMIN3,4.9,6.1,34.8,37479100.0
CIA ENERG CEARA - COELCE,COCE3,57.7,5.87,16.6,0.0
CIA ENERG CEARA - COELCE,COCE5,45.91,5.24,16.6,2299100.0
CIA ENERG CEARA - COELCE,COCE6,35.0,4.67,16.6,0.0
COGNA,COGN3,2.16,13.34,15.4,62723900.0
CORREA RIBEIRO SA COM. IND.,CORR3,12.0,8.55,-70.2,0.0
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,7.54,-70.2,0.0
CPFL ENERGIA S.A.,CPFE3,30.97,6.06,22.9,61247700.0
COPEL,CPLE11,36.36,7.77,16.2,12450200.0
COPEL,CPLE3,6.65,7.32,16.2,6687360.0
COPEL,CPLE5,23.0,19.35,16.2,4466.0
COPEL,CPLE6,7.45,7.9,16.2,93668000.0
CR2,CRDE3,15.98,-3.01,-137.6,12836.0
CARREFOUR BR,CRFB3,14.22,11.21,4.5,84912200.0
CRISTAL,CRPG3,55.0,15.68,10.1,0.0
CRISTAL,CRPG5,26.35,6.63,10.1,155417.0
CRISTAL,CRPG6,27.4,6.96,10.1,14632.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,15.66,13.32,14.5,151382000.0
CRUZEIRO EDU,CSED3,2.99,3.86,16.4,2274670.0
COPASA MG,CSMG3,14.0,7.41,18.3,21591400.0
CSN,CSNA3,17.06,4.03,25.1,151743000.0
COSERN,CSRN3,25.78,8.44,22.4,3597.0
COSERN,CSRN5,24.06,8.08,22.4,1530.0
COSERN,CSRN6,26.99,8.7,22.4,815.0
CSU DIGITAL,CSUD3,10.9,4.52,19.2,1001180.0
KARSTEN,CTKA3,21.46,29.09,3.9,98.0
KARSTEN,CTKA4,9.33,25.91,3.9,2719.0
COTEMINAS,CTNM3,5.0,83.54,0.8,561.0
COTEMINAS,CTNM4,1.64,76.94,0.8,23888.0
SANTANENSE,CTSA3,2.3,-23.45,-1.7,7288.0
SANTANENSE,CTSA4,1.55,-20.9,-1.7,30479.0
CURY S/A,CURY3,12.76,7.64,21.4,18413800.0
CVC BRASIL,CVCB3,3.79,-11.17,-9.9,91647700.0
CYRELA BRAZIL REALTY,CYRE3,15.15,10.94,13.3,114116000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,9.45,18.75,5.6,4165810.0
DESKTOPSIGMA,DESK3,8.9,8.53,24.9,1575380.0
DEXXOS PAR,DEXP3,7.89,4.46,9.2,914288.0
DEXXOS PAR,DEXP4,7.03,4.06,9.2,38956.0
Direcional Engenharia,DIRR3,15.95,6.82,18.9,32496400.0
D1000VFARMA,DMVF3,3.84,1.4,8.7,147003.0
DOHLER,DOHL3,10.0,78.93,1.6,0.0
DOHLER,DOHL4,4.17,35.75,1.6,7324.0
DOTZ SA,DOTZ3,0.88,0.16,-28.5,87056.0
DTCOM,DTCY3,5.0,-20.98,-34.4,731.0
DEXCO,DXCO3,6.88,6.23,17.3,34127500.0
