Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,12.75,96.15,2.2,11741200.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,18.77,19.07,23.6,358420000.0,FASE OPERACIONAL
AERIS,AERI3,9.98,,,34212200.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.44,-86535.4,,17530200.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.44,28.45,55.0,22085.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,33.2,10.0,35.2,39794300.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB3,24.88,-5.54,-19.3,9393.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB5,20.01,-4.37,-19.3,777.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB6,30.0,-6.77,-19.3,566.0,FASE OPERACIONAL
ALLIED,ALLD3,18.29,5.74,6.3,1935750.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,41.71,37.01,18.3,169382.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,48.11,42.85,18.3,79006100.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.22,61.45,8.7,388935.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,29.93,28.31,39.4,42433900.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.72,4.03,58.5,27808700.0,FASE OPERACIONAL
ALUPAR,ALUP3,9.06,3.99,58.5,213899.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.27,4.04,58.5,263647.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,7.74,62.17,2.6,51481500.0,FASE OPERACIONAL
AMBIPAR,AMBP3,32.2,23.88,17.6,11847200.0,FASE OPERACIONAL
ANIMA,ANIM3,12.7,21.47,16.7,24188400.0,FASE OPERACIONAL
ALPER S.A.,APER3,51.14,,,5499720.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,88.3,101.03,5.1,54642200.0,FASE OPERACIONAL
ASSAI,ASAI3,89.0,11.56,7.6,127056000.0,FASE OPERACIONAL
ATMASA,ATMP3,9.71,-14.52,-3.6,1962000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.24,12.41,34.9,2677050.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.9,-10.41,-46.6,194643.0,FASE OPERACIONAL
AZEVEDO & TRAVASSOS,AZEV3,7.36,-31.47,-17.7,1250840.0,FASE OPERACIONAL
AZEVEDO & TRAVASSOS,AZEV4,7.19,-30.74,-17.7,2722010.0,FASE OPERACIONAL
AZUL,AZUL4,42.9,-16.26,-26.2,274444000.0,FASE OPERACIONAL
B3,B3SA3,17.7,16.35,62.2,634612000.0,FASE OPERACIONAL
BAHEMA,BAHI3,73.59,39.3,1.4,41539.0,FASE OPERACIONAL
BAUMER,BALM3,19.7,8.12,13.2,44725.0,FASE OPERACIONAL
BAUMER,BALM4,17.65,7.2,13.2,73800.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,89.99,45.69,5.2,44305.0,FASE OPERACIONAL
BR Brokers,BBRK3,1.73,-3.49,-28.6,2794760.0,FASE OPERACIONAL
BAEDELLA,BDLL3,10.85,-6.73,-231.3,149938.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BAEDELLA,BDLL4,10.11,-6.7,-231.3,119178.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
Minerva,BEEF3,10.06,5.69,9.1,107964000.0,FASE OPERACIONAL
BIOMM SA,BIOM3,16.2,-21.62,-87.4,335520.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,11.14,-7.41,-20.6,26874400.0,FASE OPERACIONAL
BLAU,BLAU3,46.8,19.77,35.1,13923400.0,FASE OPERACIONAL
MONARK,BMKS3,255.0,13.84,-9.1,22426.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,22.59,13.17,34.1,23949300.0,FASE OPERACIONAL
BOA VISTA,BOAS3,10.3,38.72,17.6,13975600.0,FASE OPERACIONAL
BOMBRIL SA,BOBR4,2.33,12.24,6.5,392800.0,FASE OPERACIONAL
BRADESPAR S/A,BRAP3,62.45,-1004.66,,2939710.0,FASE OPERACIONAL
BRADESPAR S/A,BRAP4,71.79,-1164.02,,180759000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,26.89,14.77,2.9,204581000.0,FASE OPERACIONAL
BRF Foods,BRFS3,28.22,13.15,7.0,298515000.0,FASE OPERACIONAL
BRASKEM,BRKM3,52.55,5.14,19.2,1562130.0,FASE OPERACIONAL
BRASKEM,BRKM5,53.35,5.19,19.2,234620000.0,FASE OPERACIONAL
BRASKEM,BRKM6,42.95,4.56,19.2,10018.0,FASE OPERACIONAL
BR MALLS PARTICIPAÇÔES S/A,BRML3,11.16,26.06,53.8,170485000.0,FASE OPERACIONAL
BR PROPERTIES,BRPR3,9.47,29.14,69.4,14252300.0,FASE OPERACIONAL
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,63.66,100.09,2.9,239409000.0,FASE OPERACIONAL
APABA,BTTL3,20.58,10.13,5.7,352921.0,FASE OPERACIONAL
PENALTY,CAMB3,5.8,49.11,4.3,622554.0,FASE OPERACIONAL
CAMIL,CAML3,10.23,8.41,8.0,15138000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,25.31,15.1,15.8,10283500.0,FASE OPERACIONAL
MELIUZ,CASH3,38.91,196.92,16.4,110434000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,23.85,37.16,3.4,142108.0,FASE OPERACIONAL
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,12.83,12.77,49.8,5827470.0,FASE OPERACIONAL
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.94,14.12,26.9,166793000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,14.07,-12.1,-9.6,29682100.0,FASE OPERACIONAL
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,193.0,2.55,-29.5,657065.0,FASE OPERACIONAL
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,193.0,2.55,-29.5,73450.0,FASE OPERACIONAL
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,195.0,2.84,-29.5,294978.0,FASE OPERACIONAL
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,10.2,7.98,5.8,35454.0,FASE OPERACIONAL
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.77,7.09,5.8,273209.0,FASE OPERACIONAL
COELBA,CEEB3,40.59,9.21,17.3,65639.0,FASE OPERACIONAL
CEEE-D,CEED3,60.01,-5.32,-8.1,16357.0,FASE OPERACIONAL
CEEE-D,CEED4,59.0,-5.29,-8.1,3099.0,FASE OPERACIONAL
CEG,CEGR3,60.0,27.3,19.3,8848.0,FASE OPERACIONAL
CELPE,CEPE5,27.9,9.17,10.8,35553.0,FASE OPERACIONAL
CELPE,CEPE6,28.5,9.23,10.8,7066.0,FASE OPERACIONAL
CESP CIA ENERGETICA SAO PAULO,CESP3,27.8,17.71,28.3,282066.0,FASE OPERACIONAL
CESP CIA ENERGETICA SAO PAULO,CESP5,37.66,23.38,28.3,19201.0,FASE OPERACIONAL
CESP CIA ENERGETICA SAO PAULO,CESP6,24.1,15.58,28.3,55293800.0,FASE OPERACIONAL
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,153.0,13.6,22.3,18122.0,FASE OPERACIONAL
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,160.99,14.17,22.3,306506.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,32.7,10.15,10.9,38450.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,33.0,10.27,10.9,541895.0,FASE OPERACIONAL
CIELO,CIEL3,4.38,22.18,11.6,109586000.0,FASE OPERACIONAL
CELESC,CLSC3,70.02,5.18,7.7,19668.0,FASE OPERACIONAL
CELESC,CLSC4,69.99,5.18,7.7,391188.0,FASE OPERACIONAL
CEMIG,CMIG3,16.57,7.51,18.8,9722250.0,FASE OPERACIONAL
CEMIG,CMIG4,13.69,6.52,18.8,123587000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,9.6,5.16,55.0,116508000.0,FASE OPERACIONAL
CIA ENERG CEARA - COELCE,COCE3,65.03,21.53,6.0,4389.0,FASE OPERACIONAL
CIA ENERG CEARA - COELCE,COCE5,57.0,19.79,6.0,1126300.0,FASE OPERACIONAL
COGNA,COGN3,4.45,-26.68,-11.4,168067000.0,FASE OPERACIONAL
CPFL ENERGIA S.A.,CPFE3,29.55,8.82,17.1,65826300.0,FASE OPERACIONAL
COPEL,CPLE3,5.76,5.1,22.6,11281800.0,FASE OPERACIONAL
COPEL,CPLE6,6.37,5.48,22.6,67694800.0,FASE OPERACIONAL
CR2,CRDE3,24.97,-4.5,-457.5,13374.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,22.41,10.57,6.8,86758300.0,FASE OPERACIONAL
CRISTAL,CRPG3,62.03,7.75,22.6,1693.0,FASE OPERACIONAL
CRISTAL,CRPG5,73.36,9.53,22.6,894223.0,FASE OPERACIONAL
CRISTAL,CRPG6,66.51,8.46,22.6,334673.0,FASE OPERACIONAL
COSAN SA INDUSTRIA E COMERCIO,CSAN3,24.04,38.15,13.7,178753000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,14.4,27.11,11.4,5442840.0,FASE OPERACIONAL
COPASA MG,CSMG3,17.46,6.94,24.7,36990200.0,FASE OPERACIONAL
CSN,CSNA3,47.41,6.38,34.9,573429000.0,FASE OPERACIONAL
COSERN,CSRN3,17.14,8.92,17.1,44373.0,FASE OPERACIONAL
COSERN,CSRN5,17.0,8.87,17.1,10331.0,FASE OPERACIONAL
COSERN,CSRN6,20.0,9.88,17.1,11578.0,FASE OPERACIONAL
KARSTEN,CTKA3,29.6,25.51,6.7,28841.0,FASE OPERACIONAL
KARSTEN,CTKA4,26.35,24.76,6.7,133141.0,FASE OPERACIONAL
COTEMINAS,CTNM3,12.2,11.35,7.0,12629.0,FASE OPERACIONAL
COTEMINAS,CTNM4,7.7,10.43,7.0,258623.0,FASE OPERACIONAL
SANTANENSE,CTSA3,2.55,37.47,2.7,113983.0,FASE OPERACIONAL
SANTANENSE,CTSA4,2.06,33.48,2.7,92959.0,FASE OPERACIONAL
CURY S/A,CURY3,9.48,9.66,21.5,11265700.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,24.72,-8.58,-160.0,141847000.0,FASE OPERACIONAL
CYRELA BRAZIL REALTY,CYRE3,25.47,17.82,15.1,139255000.0,FASE OPERACIONAL
DIAGNOSTICOS DA AMERICA SA,DASA3,57.35,239.47,1.9,22043000.0,FASE OPERACIONAL
Direcional Engenharia,DIRR3,14.12,7.91,17.6,19641100.0,FASE OPERACIONAL
DOMMO,DMMO3,0.88,-7.67,-12.1,6385640.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,9.5,5.99,7.5,2566150.0,FASE OPERACIONAL
DOHLER,DOHL3,27.0,32.13,10.8,10824.0,FASE OPERACIONAL
DOHLER,DOHL4,6.49,7.11,10.8,187441.0,FASE OPERACIONAL
DTCOM,DTCY3,9.69,-78.48,-11.1,87245.0,FASE OPERACIONAL
DURATEX,DTEX3,21.53,16.68,15.5,50690200.0,FASE OPERACIONAL
