Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,10.97,86.37,2.2,8338650.0,[]
AMBEV S/A,ABEV3,17.61,17.83,23.6,322869000.0,[]
AERIS,AERI3,8.56,,,33278100.0,[]
AES BRASIL,AESB3,14.8,-87742.8,,16415300.0,[]
AFLUENTE T,AFLT3,9.68,29.22,55.0,24452.0,[]
BRASILAGRO,AGRO3,30.29,9.19,35.2,35995000.0,[]
PARQUE ANHEMBI,AHEB3,20.0,-4.36,-19.3,5122.0,[]
PARQUE ANHEMBI,AHEB5,19.0,-4.12,-19.3,435.0,[]
PARQUE ANHEMBI,AHEB6,30.0,-6.77,-19.3,566.0,[]
ALLIED,ALLD3,18.6,5.83,6.3,1375120.0,[]
ALPARGATAS,ALPA3,39.02,34.55,18.3,162785.0,[]
ALPARGATAS,ALPA4,44.48,39.54,18.3,72338100.0,[]
ESTAPAR,ALPK3,8.3,61.76,8.7,379541.0,[]
ALIANSCSONAE,ALSO3,29.45,27.88,39.4,40266700.0,[]
ALUPAR,ALUP11,27.73,4.03,58.5,27691400.0,[]
ALUPAR,ALUP3,9.03,3.99,58.5,202553.0,[]
ALUPAR,ALUP4,9.4,4.07,58.5,259535.0,[]
LOJAS MARISA,AMAR3,6.36,55.2,2.6,41935700.0,[]
AMBIPAR,AMBP3,29.73,21.94,17.6,10899800.0,[]
ANIMA,ANIM3,12.16,20.59,16.7,25051900.0,[]
ALPER S.A.,APER3,51.3,,,5771890.0,[]
AREZZO CO,ARZZ3,85.82,98.22,5.1,53740200.0,[]
ASSAI,ASAI3,88.56,11.51,7.6,124074000.0,[]
ATMASA,ATMP3,9.66,-14.49,-3.6,1846970.0,[]
ATOMPAR,ATOM3,8.36,12.61,34.9,5471440.0,[]
ALPHAVILLE,AVLL3,25.9,-10.41,-46.6,235304.0,[]
AZEVEDO & TRAVASSOS,AZEV3,6.93,-29.62,-17.7,1101190.0,[]
AZEVEDO & TRAVASSOS,AZEV4,5.65,-24.14,-17.7,2066700.0,[]
AZUL,AZUL4,42.01,-16.01,-26.2,251477000.0,[]
B3,B3SA3,17.0,15.65,62.2,629160000.0,[]
BAHEMA,BAHI3,74.69,40.17,1.4,40642.0,[]
BAUMER,BALM3,18.01,7.36,13.2,41807.0,[]
BAUMER,BALM4,16.15,6.52,13.2,65416.0,[]
EXCELSIOR,BAUH4,87.0,44.1,5.2,49162.0,[]
BR Brokers,BBRK3,1.77,-3.6,-28.6,2674240.0,[]
BAEDELLA,BDLL3,10.93,-6.74,-231.3,159384.0,[]
BAEDELLA,BDLL4,10.21,-6.71,-231.3,119373.0,[]
Minerva,BEEF3,9.81,5.62,9.1,111310000.0,[]
BIOMM SA,BIOM3,15.72,-21.03,-87.4,364499.0,[]
BK BRASIL,BKBR3,10.31,-6.9,-20.6,26798400.0,[]
BLAU,BLAU3,41.72,17.76,35.1,12000200.0,[]
MONARK,BMKS3,240.0,17.17,-9.1,20833.0,[]
BEMOBI TECH,BMOB3,23.64,14.6,34.1,23811200.0,[]
BOA VISTA,BOAS3,10.85,69.13,17.8,11603900.0,[]
BOMBRIL SA,BOBR4,2.34,12.28,6.5,465412.0,[]
BRADESPAR S/A,BRAP3,59.7,-957.74,,3423440.0,[]
BRADESPAR S/A,BRAP4,68.15,-1101.91,,193243000.0,[]
PETROBRAS BR,BRDT3,25.06,13.92,2.9,201197000.0,[]
BRF Foods,BRFS3,25.86,12.48,7.0,251823000.0,[]
BRASKEM,BRKM3,50.15,5.0,19.2,1721340.0,[]
BRASKEM,BRKM5,50.66,5.03,19.2,199008000.0,[]
BRASKEM,BRKM6,42.0,4.5,19.2,9843.0,[]
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.85,25.48,53.8,163440000.0,[]
BR PROPERTIES,BRPR3,9.55,29.31,69.4,13425300.0,[]
BIOSEV,BSEV3,9.0,9.81,15.2,1295900.0,[]
B2W - COMPANHIA GLOBAL DO VAREJO,BTOW3,59.24,92.67,2.9,246827000.0,[]
APABA,BTTL3,18.79,9.29,5.7,301643.0,[]
PENALTY,CAMB3,5.21,45.11,4.3,573172.0,[]
CAMIL,CAML3,9.99,8.26,8.0,15595000.0,[]
CSU CARDSYST,CARD3,24.8,14.81,15.8,9705310.0,[]
MELIUZ,CASH3,38.2,193.15,16.4,101035000.0,[]
AMPLA ENERG,CBEE3,23.45,36.86,3.4,138016.0,[]
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,12.22,12.38,49.8,5514860.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.91,14.1,26.9,167979000.0,[]
CEA MODAS,CEAB3,13.68,-11.78,-9.6,30445400.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,193.49,2.62,-29.5,828953.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,198.0,3.28,-29.5,95790.0,[]
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,198.0,3.28,-29.5,308740.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,9.9,7.9,5.8,36748.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.31,6.97,5.8,262189.0,[]
COELBA,CEEB3,39.9,9.12,17.3,70254.0,[]
CEEE-D,CEED3,58.1,-5.26,-8.1,29537.0,[]
CEEE-D,CEED4,54.45,-5.14,-8.1,3540.0,[]
CEG,CEGR3,60.1,27.34,19.3,10765.0,[]
CELPE,CEPE5,28.0,9.18,10.8,38657.0,[]
CELPE,CEPE6,28.5,9.23,10.8,7066.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP3,28.59,18.17,28.3,375331.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP5,37.1,23.06,28.3,32360.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.26,16.25,28.3,58828000.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,150.0,13.38,22.3,18112.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,164.09,14.39,22.3,313322.0,[]
GRAZZIOTIN,CGRA3,33.8,10.59,10.9,39213.0,[]
GRAZZIOTIN,CGRA4,33.0,10.27,10.9,522512.0,[]
CIELO,CIEL3,4.09,20.71,11.6,107439000.0,[]
CELESC,CLSC3,70.02,5.18,7.7,19668.0,[]
CELESC,CLSC4,69.47,5.15,7.7,411083.0,[]
CEMIG,CMIG3,16.16,7.37,18.8,9558700.0,[]
CEMIG,CMIG4,13.45,6.44,18.8,123007000.0,[]
CSNMINERACAO,CMIN3,9.12,4.88,55.0,113873000.0,[]
CIA ENERG CEARA - COELCE,COCE3,70.0,22.6,6.0,3755.0,[]
