Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,11.9,91.48,2.2,9672870.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.69,17.91,23.6,333442000.0,FASE OPERACIONAL
AERIS,AERI3,8.7,,,34062500.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.7,-87407.4,,16570800.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.54,28.77,55.0,24493.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,31.36,9.49,35.2,36688400.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB3,23.38,-5.18,-19.3,6425.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB5,20.21,-4.41,-19.3,711.0,FASE OPERACIONAL
PARQUE ANHEMBI,AHEB6,30.0,-6.77,-19.3,552.0,FASE OPERACIONAL
ALLIED,ALLD3,18.0,5.66,6.3,1406830.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,40.99,36.35,18.3,159117.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,45.98,40.91,18.3,73619700.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.3,61.76,8.7,376644.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,29.66,28.07,39.4,40762900.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.6,4.02,58.5,27299100.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.9,3.96,58.5,206980.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.3,4.05,58.5,257874.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,7.07,58.79,2.6,43781400.0,FASE OPERACIONAL
AMBIPAR,AMBP3,30.9,22.86,17.6,11143100.0,FASE OPERACIONAL
ANIMA,ANIM3,12.7,21.47,16.7,24978600.0,FASE OPERACIONAL
ALPER S.A.,APER3,51.5,,,5698370.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,87.51,100.14,5.1,54092300.0,FASE OPERACIONAL
ASSAI,ASAI3,88.9,11.54,7.6,124289000.0,FASE OPERACIONAL
ATMASA,ATMP3,9.16,-14.14,-3.6,1831010.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.39,12.66,34.9,5352790.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.5,-10.34,-46.6,221678.0,FASE OPERACIONAL
AZEVEDO & TRAVASSOS,AZEV3,7.09,-30.31,-17.7,1117310.0,FASE OPERACIONAL
AZEVEDO & TRAVASSOS,AZEV4,5.71,-24.4,-17.7,2189680.0,FASE OPERACIONAL
AZUL,AZUL4,44.62,-16.74,-26.2,277401000.0,FASE OPERACIONAL
B3,B3SA3,16.98,15.63,62.2,637159000.0,FASE OPERACIONAL
BAHEMA,BAHI3,75.1,40.49,1.4,41285.0,FASE OPERACIONAL
BAUMER,BALM3,18.8,7.72,13.2,40728.0,FASE OPERACIONAL
BAUMER,BALM4,16.92,6.87,13.2,64822.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,87.0,44.1,5.2,47992.0,FASE OPERACIONAL
BR Brokers,BBRK3,1.8,-3.68,-28.6,2722690.0,FASE OPERACIONAL
BAEDELLA,BDLL3,10.65,-6.73,-231.3,149087.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BAEDELLA,BDLL4,9.95,-6.7,-231.3,117913.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
Minerva,BEEF3,10.04,5.68,9.1,112405000.0,FASE OPERACIONAL
