Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,18.44,30.09,8.3,9032500.0
AMBEV S/A,ABEV3,15.39,14.78,21.1,414253000.0
AERIS,AERI3,6.08,26.62,7.9,12110700.0
AES BRASIL,AESB3,12.27,71.34,7.6,15432100.0
AFLUENTE T,AFLT3,9.69,5.76,85.8,8503.0
BRASILAGRO,AGRO3,31.95,3.92,42.3,29891900.0
AGROGALAXY,AGXY3,11.68,7.94,5.0,1216190.0
PARQUE ANHEMBI,AHEB3,27.5,-4.75,-25.7,0.0
PARQUE ANHEMBI,AHEB5,22.0,-3.7,-25.7,0.0
PARQUE ANHEMBI,AHEB6,51.5,-9.35,-25.7,0.0
ALLIED,ALLD3,14.0,3.4,5.0,1821330.0
ALPARGATAS,ALPA3,22.79,22.27,17.2,134868.0
ALPARGATAS,ALPA4,27.28,26.8,17.2,110128000.0
ESTAPAR,ALPK3,4.51,19.04,13.9,215922.0
ALIANSCSONAE,ALSO3,23.91,11.56,47.1,25658100.0
ALUPAR,ALUP11,28.19,4.44,70.7,20548600.0
ALUPAR,ALUP3,9.3,4.42,70.7,88331.0
ALUPAR,ALUP4,9.3,4.42,70.7,113640.0
LOJAS MARISA,AMAR3,3.41,6.93,12.0,19022800.0
AMBIPAR,AMBP3,38.01,19.72,16.3,25631900.0
AMERICANAS,AMER3,34.0,35.68,4.4,222060000.0
ANIMA,ANIM3,7.59,20.61,13.9,19534000.0
ALPER S.A.,APER3,37.31,65.12,5.1,1197370.0
ARMAC,ARML3,19.83,,33.2,14090800.0
AREZZO CO,ARZZ3,93.72,31.24,11.6,96294500.0
ASSAI,ASAI3,16.48,8.59,7.7,128540000.0
ATMASA,ATMP3,2.9,-22.68,-1.5,85661.0
ATOMPAR,ATOM3,3.49,10.04,19.5,109329.0
ALPHAVILLE,AVLL3,31.99,-12.95,-51.8,41153.0
AZEVEDO & TRAVASSOS,AZEV3,4.16,-95.39,-3.1,144603.0
AZEVEDO & TRAVASSOS,AZEV4,3.49,-80.01,-3.1,1028520.0
AZUL,AZUL4,24.68,27.67,11.0,248721000.0
B3,B3SA3,16.04,14.7,61.4,559866000.0
BAHEMA,BAHI3,15.0,-104.51,-1.1,106970.0
BAUMER,BALM3,15.49,17.61,5.5,857.0
BAUMER,BALM4,12.19,13.21,5.5,11767.0
EXCELSIOR,BAUH4,77.89,730.32,0.3,51922.0
BR Brokers,BBRK3,1.08,-11.0,-8.2,1745780.0
BAEDELLA,BDLL3,10.64,-8.66,-128.1,5054.0
BAEDELLA,BDLL4,10.0,-8.62,-128.1,7284.0
Minerva,BEEF3,12.8,6.87,7.5,80721000.0
BIOMM SA,BIOM3,12.1,-16.05,-59.3,94039.0
BK BRASIL,BKBR3,7.71,-14.26,-6.3,17513400.0
BLAU,BLAU3,28.99,10.02,34.0,8149190.0
B TECH EQI,BLUT3,1.22,-19.19,,243454.0
B TECH EQI,BLUT4,0.68,-12.49,,554415.0
MONARK,BMKS3,247.0,15.72,-11.5,10351.0
BEMOBI TECH,BMOB3,16.95,12.1,17.4,10777900.0
BOA VISTA,BOAS3,8.39,19.18,22.8,6771250.0
BOMBRIL SA,BOBR3,1.0,24.65,2.0,0.0
BOMBRIL SA,BOBR4,1.48,30.26,2.0,41105.0
BRADESPAR S/A,BRAP3,30.17,-424.14,,6017210.0
BRADESPAR S/A,BRAP4,34.03,-479.79,,164919000.0
BR PARTNERS,BRBI11,18.28,9.46,46.5,3731120.0
BRF Foods,BRFS3,18.84,11.7,5.8,228906000.0
BRISANET,BRIT3,3.97,18.72,13.6,1593630.0
BRASKEM,BRKM3,44.15,2.14,25.7,516063.0
BRASKEM,BRKM5,44.4,2.14,25.7,130351000.0
BRASKEM,BRKM6,25.01,1.57,25.7,3661.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,9.7,15.6,60.2,139356000.0
BR PROPERTIES,BRPR3,9.09,28.79,66.8,17145000.0
CAL S/A,CALI3,98.18,15.96,8.3,0.0
CAL S/A,CALI4,50.0,13.0,8.3,0.0
PENALTY,CAMB3,5.6,7.24,18.9,217090.0
CAMIL,CAML3,9.98,10.19,6.3,13422000.0
CSU CARDSYST,CARD3,14.87,7.39,16.9,3380900.0
MELIUZ,CASH3,2.8,-25.61,-25.7,100758000.0
CBA,CBAV3,19.93,10.65,14.8,57022500.0
AMPLA ENERG,CBEE3,22.0,11.07,11.6,3266.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,14.24,13.98,29.1,108666000.0
CEA MODAS,CEAB3,5.58,-17.59,-2.3,15985300.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,18.0,4.82,35.3,50304.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,18.4,5.05,35.3,29188.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,18.0,4.82,35.3,211222.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,6.78,5.09,5.7,13312.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,5.08,4.77,5.7,29710.0
COELBA,CEEB3,37.0,6.87,20.8,25675.0
COELBA,CEEB5,39.0,7.04,20.8,0.0
CEEE-D,CEED3,43.0,79.82,1.3,1474.0
CEEE-D,CEED4,45.9,82.91,1.3,334.0
CEG,CEGR3,79.89,27.55,17.9,390.0
CELPE,CEPE3,128.0,14.0,13.1,0.0
CELPE,CEPE5,30.0,7.43,13.1,7268.0
CELPE,CEPE6,29.9,7.42,13.1,5806.0
CESP CIA ENERGETICA SAO PAULO,CESP3,25.55,8.35,51.5,109196.0
CESP CIA ENERGETICA SAO PAULO,CESP5,25.0,8.19,51.5,5287.0
CESP CIA ENERGETICA SAO PAULO,CESP6,25.25,8.26,51.5,53778700.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,134.0,9.33,21.8,31056.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,128.31,9.03,21.8,671810.0
GRAZZIOTIN,CGRA3,39.7,6.09,19.6,90738.0
GRAZZIOTIN,CGRA4,38.82,5.95,19.6,244233.0
CIELO,CIEL3,3.36,6.73,16.5,108656000.0
CLEARSALE,CLSA3,6.41,-9.05,-13.6,20989400.0
CELESC,CLSC3,59.99,4.91,6.3,7334.0
CELESC,CLSC4,60.05,4.92,6.3,330501.0
CEMIG,CMIG3,20.71,7.31,17.9,6311190.0
CEMIG,CMIG4,15.27,5.77,17.9,113595000.0
CSNMINERACAO,CMIN3,6.12,2.9,50.7,46321200.0
CIA ENERG CEARA - COELCE,COCE3,58.92,7.14,13.9,0.0
CIA ENERG CEARA - COELCE,COCE5,53.95,6.8,13.9,1666480.0
COGNA,COGN3,3.05,18.07,13.4,91098800.0
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,4.9,-294.8,0.0
CPFL ENERGIA S.A.,CPFE3,33.33,7.86,18.8,93549000.0
COPEL,CPLE11,37.6,7.72,15.6,17341500.0
COPEL,CPLE3,6.88,7.25,15.6,8188210.0
COPEL,CPLE5,25.0,20.49,15.6,1522.0
COPEL,CPLE6,7.62,7.79,15.6,89491600.0
CR2,CRDE3,20.47,-4.52,-162.1,7783.0
CARREFOUR BR,CRFB3,22.53,10.42,5.8,110253000.0
CRISTAL,CRPG3,59.0,5.37,29.9,643.0
CRISTAL,CRPG5,53.9,4.85,29.9,462541.0
CRISTAL,CRPG6,54.48,4.91,29.9,19233.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,23.8,21.67,14.3,173459000.0
CRUZEIRO EDU,CSED3,4.87,6.51,16.4,4457840.0
COPASA MG,CSMG3,14.42,7.64,18.1,25103400.0
CSN,CSNA3,26.15,2.59,39.9,299956000.0
COSERN,CSRN3,18.5,6.99,20.1,23691.0
COSERN,CSRN5,19.0,7.11,20.1,379.0
COSERN,CSRN6,19.0,7.11,20.1,901.0
KARSTEN,CTKA3,27.5,11.16,11.7,0.0
KARSTEN,CTKA4,13.01,9.76,11.7,45728.0
COTEMINAS,CTNM3,8.01,9.82,6.7,1831.0
COTEMINAS,CTNM4,3.8,8.95,6.7,89423.0
SANTANENSE,CTSA3,2.0,12.04,5.3,407321.0
SANTANENSE,CTSA4,1.21,9.27,5.3,269281.0
CURY S/A,CURY3,7.8,5.23,21.7,7570950.0
CVC BRASIL,CVCB3,16.85,-10.99,-41.8,183265000.0
CYRELA BRAZIL REALTY,CYRE3,17.94,10.18,17.0,124987000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,23.09,335.67,0.5,12951900.0
DESKTOPSIGMA,DESK3,17.44,26.31,19.3,6268980.0
DEXXOS PAR,DEXP3,8.64,5.07,11.8,3174250.0
DEXXOS PAR,DEXP4,7.88,4.73,11.8,37668.0
Direcional Engenharia,DIRR3,12.61,6.55,18.2,21587600.0
DOMMO,DMMO3,1.27,7.54,45.4,22383300.0
D1000VFARMA,DMVF3,4.59,2.48,6.6,793927.0
DOHLER,DOHL3,19.0,18.96,11.3,463.0
DOHLER,DOHL4,5.94,5.97,11.3,35778.0
DOTZ SA,DOTZ3,3.01,-10.12,-11.0,308731.0
DTCOM,DTCY3,7.85,-31.05,-29.6,2746.0
DEXCO,DXCO3,14.53,8.66,19.1,55441600.0
ELECTRO AÇO ALTONA S/A,EALT3,10.0,8.52,10.1,3175.0
ELECTRO AÇO ALTONA S/A,EALT4,7.39,7.01,10.1,163354.0
ECORODOVIAS,ECOR3,7.8,8.44,33.6,44925600.0
ENCORPAR,ECPR3,90.25,-82.15,,660.0
ENCORPAR,ECPR4,90.74,-82.6,,1980.0
CEEE,EEEL3,400.0,6.23,47.8,0.0
CEEE,EEEL4,399.0,6.22,47.8,0.0
ENGIE BRASIL,EGIE3,44.35,9.17,44.5,58773400.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.0,7.22,17.5,666.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,27.99,6.57,17.5,13615.0
ELETROBRÁS,ELET3,39.3,17.25,13.6,156731000.0
ELETROBRÁS,ELET5,64.5,24.98,13.6,0.0
ELETROBRÁS,ELET6,38.88,17.12,13.6,80165100.0
ELETROMIDIA,ELMD3,15.49,90.74,5.8,2766910.0
EMAE,EMAE4,40.9,23.25,9.8,438599.0
EMBRAER,EMBR3,15.06,12.96,6.6,178267000.0
ENAUTA PART,ENAT3,21.0,6.55,28.2,47120900.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,24.09,6.44,18.0,68765000.0
ENEVA,ENEV3,15.05,18.16,27.3,84089400.0
ENERGISA,ENGI11,50.32,7.13,19.2,91845500.0
ENERGISA,ENGI3,15.98,9.22,19.2,133406.0
ENERGISA,ENGI4,8.62,6.62,19.2,197204.0
ENJOEI,ENJU3,2.71,-1.1,-123.7,8575390.0
ENERGISA MT,ENMT3,84.5,12.48,24.8,61692.0
ENERGISA MT,ENMT4,82.6,12.25,24.8,7402.0
EMBPAR S/A,EPAR3,19.09,5.04,6.2,56359.0
EQTL PARA,EQPA3,6.45,8.87,23.3,167776.0
EQTL PARA,EQPA5,7.0,9.51,23.3,51.0
EQTL PARA,EQPA6,10.69,13.82,23.3,156.0
EQTL PARAC,EQPA7,6.62,9.07,23.3,16.0
EQUATORIAL ENERGIA S.A.,EQTL3,27.51,9.04,21.0,227981000.0
ESPACOLASER,ESPA3,5.99,20.64,15.0,19721000.0
ESTRELA,ESTR3,40.0,-45.74,-1.7,0.0
ESTRELA,ESTR4,53.0,-49.83,-1.7,705.0
ETERNIT,ETER3,16.16,2.72,26.7,34419200.0
EUCATEX,EUCA3,16.15,3.79,20.2,44257.0
EUCATEX,EUCA4,11.24,2.87,20.2,649995.0
Even,EVEN3,6.59,2.31,14.7,10859300.0
EZTec,EZTC3,19.7,14.85,25.3,46605700.0
FERBASA,FESA3,50.19,5.05,35.1,20789.0
FERBASA,FESA4,46.81,4.69,35.1,23655000.0
Fer Heringer,FHER3,18.87,1.91,18.2,24357100.0
UNIFIQUE,FIQE3,5.92,12.73,29.8,2724590.0
FLEURY,FLRY3,16.61,11.51,16.7,49770400.0
FRAS-LE S.A.,FRAS3,14.54,11.66,12.5,4626970.0
Metalfrio,FRIO3,44.99,10.79,5.5,878.0
POMIFRUTAS,FRTA3,4.65,-47.13,-9.6,6850.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,28.0,21.72,12.8,6106.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,28.01,21.72,12.8,27090.0
GAFISA,GFSA3,1.98,39.62,5.0,12546800.0
GERDAU S.A.,GGBR3,24.0,2.59,23.9,1415510.0
GERDAU S.A.,GGBR4,30.64,3.2,23.9,410010000.0
GPS,GGPS3,17.14,21.14,8.5,14524400.0
GRUPO MATEUS,GMAT3,5.58,13.78,6.1,34200300.0
INTERMEDICA,GNDI3,66.95,91.13,3.9,132269000.0
METALÚRGICA GERDAU,GOAU3,10.7,0.97,23.9,1011070.0
METALÚRGICA GERDAU,GOAU4,12.24,1.06,23.9,104568000.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,18.43,-4.85,-51.1,119798000.0
CELGPAR,GPAR3,35.0,15.13,62.6,989.0
GRENDENE SA,GRND3,10.3,20.11,17.3,18626500.0
Generalshopp,GSHP3,27.56,39.94,33.0,8064.0
GUARARAPES CONFECÇÕES,GUAR3,11.98,36.44,2.8,17090900.0
