Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ALLIAR,AALR3,10.55,72.49,"2,55%",7970000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.63,15.59,"27,05%",335530000.0,FASE OPERACIONAL
AERIS,AERI3,8.68,32.29,"8,71%",36380000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.8,,,10240000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.37,28.36,"54,72%",18100.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,30.46,7.76,"34,26%",26420000.0,FASE OPERACIONAL
SPTURIS,AHEB3,20.0,-4.85,"-17,42%",3630.0,FASE OPERACIONAL
SPTURIS,AHEB5,19.0,-4.85,"-17,42%",27454.0,FASE OPERACIONAL
SPTURIS,AHEB6,30.0,-4.85,"-17,42%",35692.0,FASE OPERACIONAL
ALLIED,ALLD3,18.7,5.75,"6,39%",850490.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,38.32,52.21,"12,57%",118590.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,44.24,52.21,"12,57%",64870000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.21,-107.28,"-4,96%",316300.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,28.71,35.49,"30,24%",37980000.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.66,4.1,"57,88%",23070000.0,FASE OPERACIONAL
ALUPAR,ALUP3,9.07,4.1,"57,88%",155090.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.27,4.1,"57,88%",210040.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,6.35,-11.91,"-12,13%",32830000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,28.58,20.25,"18,24%",9740000.0,FASE OPERACIONAL
ANIMA,ANIM3,12.12,26.36,"12,99%",26480000.0,FASE OPERACIONAL
ALPER S.A.,APER3,50.3,-229.67,"-3,21%",4800000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,85.76,92.77,"5,79%",51150000.0,FASE OPERACIONAL
ASSAI,ASAI3,89.21,12.92,"5,91%",134590000.0,FASE OPERACIONAL
ATMASA,ATMP3,10.19,-5.15,"-10,47%",1590000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.5,12.68,"35,35%",3540000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.9,-4.74,"-102,43%",188090.0,FASE OPERACIONAL
AZEVEDO,AZEV3,6.89,0.73,"601,47%",803080.0,FASE OPERACIONAL
AZEVEDO,AZEV4,5.3,0.73,"601,47%",1460000.0,FASE OPERACIONAL
AZUL,AZUL4,40.35,-10.46,"-37,84%",271450000.0,FASE OPERACIONAL
