Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,11.9,78.88,2.55,8780000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,17.69,15.65,27.05,336510000.0,FASE OPERACIONAL
AERIS,AERI3,8.7,32.36,8.71,34210000.0,FASE OPERACIONAL
AES BRASIL,AESB3,14.7,,,10700000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.54,28.9,54.72,18500.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,31.36,7.97,34.26,26990000.0,FASE OPERACIONAL
SPTURIS,AHEB3,23.38,-5.74,-17.42,4520.0,FASE OPERACIONAL
SPTURIS,AHEB5,20.21,-5.74,-17.42,45954.0,FASE OPERACIONAL
SPTURIS,AHEB6,30.0,-5.74,-17.42,35692.0,FASE OPERACIONAL
ALLIED,ALLD3,18.0,5.55,6.39,908160.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,40.99,55.1,12.57,117590.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,45.98,55.1,12.57,64740000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,8.3,-107.89,-4.96,313200.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,29.66,36.58,30.24,38600000.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.6,4.08,57.88,22940000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.9,4.08,57.88,160750.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.3,4.08,57.88,210270.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,7.07,-12.69,-12.13,34530000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,30.9,22.0,18.24,9940000.0,FASE OPERACIONAL
ANIMA,ANIM3,12.7,27.56,12.99,26200000.0,FASE OPERACIONAL
ALPER S.A.,APER3,51.5,-235.15,-3.21,4870000.0,FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,87.51,94.66,5.79,50370000.0,FASE OPERACIONAL
ASSAI,ASAI3,88.9,12.88,5.91,139070000.0,FASE OPERACIONAL
ATMASA,ATMP3,9.16,-4.9,-10.47,1620000.0,FASE OPERACIONAL
ATOMPAR,ATOM3,8.39,12.51,35.35,3530000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,25.5,-4.7,-102.43,188280.0,FASE OPERACIONAL
AZEVEDO,AZEV3,7.09,0.78,601.47,832590.0,FASE OPERACIONAL
AZEVEDO,AZEV4,5.71,0.78,601.47,1580000.0,FASE OPERACIONAL
AZUL,AZUL4,44.62,-11.25,-37.84,286610000.0,FASE OPERACIONAL
B3,B3SA3,16.98,4.33,61.43,733180000.0,FASE OPERACIONAL
BAHEMA,BAHI3,75.1,-11.45,-4.94,48250.0,FASE OPERACIONAL
BAUMER,BALM3,18.8,8.05,11.93,30930.0,FASE OPERACIONAL
BAUMER,BALM4,16.92,8.05,11.93,46150.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,87.0,8.73,11.40,53400.0,FASE OPERACIONAL
BR BROKERS,BBRK3,1.8,-0.95,-101.08,1990000.0,FASE OPERACIONAL
BARDELLA,BDLL3,10.65,-4.39,-353.49,135370.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,9.95,-4.39,-353.49,102640.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,10.04,5.78,8.97,102170000.0,FASE OPERACIONAL
BIOMM,BIOM3,16.35,-20.62,-92.41,289210.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,10.56,-7.05,-20.55,24670000.0,FASE OPERACIONAL
BLAU,BLAU3,43.4,18.35,34.52,7900000.0,FASE OPERACIONAL
BIC MONARK,BMKS3,248.2,-16.83,8.31,17650.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,23.5,11.8,34.97,25650000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,9.97,70.2,11.91,12520000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,2.34,9.82,6.49,347040.0,FASE OPERACIONAL
BRADESPAR,BRAP3,60.42,7.03,,3120000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,69.54,7.03,,187900000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,25.57,7.23,5.72,193710000.0,FASE OPERACIONAL
BRF SA,BRFS3,25.89,12.36,7.10,234240000.0,FASE OPERACIONAL
BRASKEM,BRKM3,52.0,10.67,9.17,1350000.0,FASE OPERACIONAL
BRASKEM,BRKM5,51.79,10.67,9.17,186720000.0,FASE OPERACIONAL
