Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,19.76,46.28,5.79,9010000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,14.08,12.28,22.97,334230000.0,FASE OPERACIONAL
AERIS,AERI3,3.49,17.26,8.41,9590000.0,FASE OPERACIONAL
AES BRASIL,AESB3,10.94,26.84,13.62,16850000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.05,5.2,84.24,5630.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,31.44,4.35,39.54,27770000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,10.21,10.35,3.14,911190.0,FASE OPERACIONAL
SPTURIS,AHEB6,41.2,-35.12,-3.15,6338.0,FASE OPERACIONAL
ALLIED,ALLD3,12.36,3.62,6.66,1670000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,18.86,23.11,12.84,93030.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,20.83,23.11,12.84,95930000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,3.6,,0.11,133360.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,18.92,5.72,55.68,29310000.0,FASE OPERACIONAL
ALUPAR,ALUP11,26.54,4.17,77.23,27780000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.96,4.17,77.23,98550.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.82,4.17,77.23,116070.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,2.28,-90.85,-0.85,15240000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,31.84,14.25,16.99,28980000.0,FASE OPERACIONAL
AMERICANAS,AMER3,18.4,21.92,4.29,209170000.0,FASE OPERACIONAL
ANIMA,ANIM3,5.32,15.69,11.91,16360000.0,FASE OPERACIONAL
ALPER S.A.,APER3,35.0,36.87,7.36,1490000.0,FASE PRÉ-OPERACIONAL
ARMAC,ARML3,13.83,27.37,32.83,9600000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,80.75,14.34,18.04,88250000.0,FASE OPERACIONAL
ASSAI,ASAI3,15.45,10.46,5.97,114690000.0,FASE OPERACIONAL
ATMASA,ATMP3,1.75,-2.59,-14.28,42470.0,FASE OPERACIONAL
ATOMPAR,ATOM3,2.7,4.65,29.38,106920.0,FASE OPERACIONAL
AUREN,AURE3,13.76,13.3,37.28,35760000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,21.0,-5.43,-126.33,55580.0,FASE OPERACIONAL
AZEVEDO,AZEV3,3.72,5.06,24.69,130630.0,FASE OPERACIONAL
AZEVEDO,AZEV4,2.85,5.06,24.69,899200.0,FASE OPERACIONAL
AZUL,AZUL4,18.39,172.51,1.33,187390000.0,FASE OPERACIONAL
B3,B3SA3,12.67,12.0,59.11,560540000.0,FASE OPERACIONAL
BAHEMA,BAHI3,13.02,-14.41,-8.87,106670.0,FASE OPERACIONAL
BAUMER,BALM3,14.42,8.09,9.74,36929.0,FASE OPERACIONAL
BAUMER,BALM4,11.39,8.09,9.74,8750.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,78.89,190.65,1.23,17070.0,FASE OPERACIONAL
NOT FOUND,BBRK3,,,,,
BARDELLA,BDLL3,11.95,-9.23,-140.71,5480.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,9.3,-9.23,-140.71,4070.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,14.23,6.9,7.73,84330000.0,FASE OPERACIONAL
BIOMM,BIOM3,10.5,-12.07,-60.65,57910.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,7.33,-51.47,-1.58,15950000.0,FASE OPERACIONAL
BLAU,BLAU3,23.85,8.55,32.75,7720000.0,FASE OPERACIONAL
B TECH EQI,BLUT3,1.25,-3.76,,160690.0,FASE OPERACIONAL
B TECH EQI,BLUT4,0.63,-3.76,,329920.0,FASE OPERACIONAL
BIC MONARK,BMKS3,240.0,-16.27,14.23,11590.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,13.87,8.27,11.03,8250000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,5.94,89.73,2.68,8470000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,1.39,4.27,11.52,51560.0,FASE OPERACIONAL
BRADESPAR,BRAP3,26.5,1.44,,4460000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,29.9,1.44,,126310000.0,FASE OPERACIONAL
BRF SA,BRFS3,15.2,15.96,3.73,148390000.0,FASE OPERACIONAL
BRISANET,BRIT3,2.19,21.6,9.09,1730000.0,FASE OPERACIONAL
BRASKEM,BRKM3,44.78,2.38,21.04,388100.0,FASE OPERACIONAL
BRASKEM,BRKM5,46.11,2.38,21.04,113200000.0,FASE OPERACIONAL
BRASKEM,BRKM6,24.01,2.38,21.04,67902.0,FASE OPERACIONAL
BR MALLS PAR,BRML3,8.41,14.89,51.90,135890000.0,FASE OPERACIONAL
BR PROPERT,BRPR3,8.78,32.57,58.52,23790000.0,FASE OPERACIONAL
CAMBUCI,CAMB3,5.19,6.44,17.40,202310.0,FASE OPERACIONAL
CAMIL,CAML3,9.66,8.29,7.06,11860000.0,FASE OPERACIONAL
CSU CARDSYST,CARD3,13.63,6.29,18.08,2520000.0,FASE OPERACIONAL
MELIUZ,CASH3,1.8,-10.36,-30.21,72070000.0,FASE OPERACIONAL
CBA,CBAV3,15.86,6.44,18.51,65130000.0,FASE OPERACIONAL
AMPLA ENERG,CBEE3,19.21,15.16,6.95,71635.0,FASE OPERACIONAL
CCR SA,CCRO3,13.25,5.75,49.39,122690000.0,FASE OPERACIONAL
CEA MODAS,CEAB3,3.04,21.8,1.63,17100000.0,FASE OPERACIONAL
CEB,CEBR3,15.47,1.68,52.14,62040.0,FASE OPERACIONAL
CEB,CEBR5,13.3,1.68,52.14,87700.0,FASE OPERACIONAL
CEB,CEBR6,13.43,1.68,52.14,427850.0,FASE OPERACIONAL
CEDRO,CEDO3,6.99,6.97,3.84,5880.0,FASE OPERACIONAL
CEDRO,CEDO4,4.53,6.97,3.84,10420.0,FASE OPERACIONAL
COELBA,CEEB3,36.0,6.28,21.63,28910.0,FASE OPERACIONAL
COELBA,CEEB5,34.49,6.28,21.63,36029.0,FASE OPERACIONAL
CEEE-D,CEED3,42.0,64.29,1.58,1040.0,FASE OPERACIONAL
CEEE-D,CEED4,65.5,64.29,1.58,1190.0,FASE OPERACIONAL
CEG,CEGR3,89.0,30.52,16.23,13692.0,FASE OPERACIONAL
CELPE,CEPE5,40.01,14.01,11.77,15130.0,FASE OPERACIONAL
CELPE,CEPE6,40.16,14.01,11.77,19440.0,FASE OPERACIONAL
COMGAS,CGAS3,122.99,8.29,20.67,26020.0,FASE OPERACIONAL
COMGAS,CGAS5,124.01,8.29,20.67,294510.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA3,29.97,2.83,28.94,207030.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,29.8,2.83,28.94,313750.0,FASE OPERACIONAL
CIELO,CIEL3,3.95,57.27,1.99,106610000.0,FASE OPERACIONAL
CLEARSALE,CLSA3,5.03,-2.47,-34.55,13500000.0,FASE OPERACIONAL
CELESC,CLSC3,57.49,3.55,7.75,10590.0,FASE OPERACIONAL
CELESC,CLSC4,60.5,3.55,7.75,318690.0,FASE OPERACIONAL
CEMIG,CMIG3,15.38,5.1,20.29,8690000.0,FASE OPERACIONAL
CEMIG,CMIG4,11.45,5.1,20.29,130600000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,5.15,3.2,47.02,36140000.0,FASE OPERACIONAL
COELCE,COCE5,49.8,7.57,12.51,1250000.0,FASE OPERACIONAL
COGNA ON,COGN3,2.6,57.33,3.92,99900000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,35.4,7.36,19.99,139710000.0,FASE OPERACIONAL
COPEL,CPLE11,35.66,4.86,22.66,16450000.0,FASE OPERACIONAL
COPEL,CPLE3,6.6,4.86,22.66,7720000.0,FASE OPERACIONAL
COPEL,CPLE5,21.0,4.86,22.66,1180.0,FASE OPERACIONAL
COPEL,CPLE6,7.27,4.86,22.66,84030000.0,FASE OPERACIONAL
CR2,CRDE3,21.79,-4.98,-177.49,4290.0,FASE OPERACIONAL
CARREFOUR BR,CRFB3,18.7,9.69,5.79,81920000.0,FASE OPERACIONAL
CRISTAL,CRPG3,41.3,5.08,21.63,1180.0,FASE OPERACIONAL
CRISTAL,CRPG5,39.69,5.08,21.63,382000.0,FASE OPERACIONAL
CRISTAL,CRPG6,38.99,5.08,21.63,17430.0,FASE OPERACIONAL
COSAN,CSAN3,21.4,8.13,31.23,168690000.0,FASE OPERACIONAL
CRUZEIRO EDU,CSED3,3.59,4.49,16.99,2240000.0,FASE OPERACIONAL
COPASA,CSMG3,12.99,10.4,12.70,25710000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,22.8,2.68,35.42,248940000.0,FASE OPERACIONAL
COSERN,CSRN3,22.0,6.98,20.96,6710.0,FASE OPERACIONAL
COSERN,CSRN5,21.5,6.98,20.96,1410.0,FASE OPERACIONAL
COSERN,CSRN6,19.07,6.98,20.96,57748.0,FASE OPERACIONAL
COTEMINAS,CTNM3,8.99,8.54,7.34,39788.0,FASE OPERACIONAL
COTEMINAS,CTNM4,2.82,8.54,7.34,41090.0,FASE OPERACIONAL
SANTANENSE,CTSA3,1.7,7.42,6.65,77620.0,FASE OPERACIONAL
SANTANENSE,CTSA4,0.86,7.42,6.65,79130.0,FASE OPERACIONAL
CURY S/A,CURY3,6.63,4.4,21.20,6750000.0,FASE OPERACIONAL
CVC BRASIL,CVCB3,10.55,-6.86,-36.99,155820000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,13.68,6.74,20.63,108980000.0,FASE OPERACIONAL
DASA,DASA3,19.81,53.88,2.90,8680000.0,FASE OPERACIONAL
DESKTOP,DESK3,8.86,11.88,21.25,5640000.0,FASE OPERACIONAL
DEXXOS PAR,DEXP3,9.25,3.62,14.15,3060000.0,FASE OPERACIONAL
DEXXOS PAR,DEXP4,8.69,3.62,14.15,42200.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,10.6,5.45,18.59,19030000.0,FASE OPERACIONAL
DOMMO,DMMO3,1.49,3.45,96.50,34420000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,4.11,64.41,0.23,638900.0,FASE OPERACIONAL
DOHLER,DOHL3,19.0,16.52,10.41,0.0,FASE OPERACIONAL
DOHLER,DOHL4,5.84,16.52,10.41,35060.0,FASE OPERACIONAL
DOTZ SA,DOTZ3,3.97,-3.59,-64.93,317130.0,FASE OPERACIONAL
DTCOM-DIRECT,DTCY3,7.85,-15.91,-67.22,21743.0,FASE OPERACIONAL
DEXCO,DXCO3,11.43,5.89,23.57,48200000.0,FASE OPERACIONAL
ACO ALTONA,EALT3,9.98,5.31,12.71,4670.0,FASE OPERACIONAL
ACO ALTONA,EALT4,7.23,5.31,12.71,157340.0,FASE OPERACIONAL
ECORODOVIAS,ECOR3,7.04,8.76,31.28,37970000.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,42.28,10.04,40.74,61160000.0,FASE OPERACIONAL
ELEKTRO,EKTR3,30.0,6.05,18.39,72302.0,FASE OPERACIONAL
ELEKTRO,EKTR4,29.53,6.05,18.39,11820.0,FASE OPERACIONAL
ELETROBRAS,ELET3,41.96,7.02,33.06,275830000.0,FASE OPERACIONAL
ELETROBRAS,ELET6,41.7,7.02,33.06,154880000.0,FASE OPERACIONAL
ELETROMIDIA,ELMD3,14.3,70.67,6.20,2720000.0,FASE OPERACIONAL
EMAE,EMAE4,36.13,22.01,6.15,302780.0,FASE OPERACIONAL
EMBRAER,EMBR3,12.98,16.9,4.81,143070000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,23.03,1.9,100.80,56330000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,21.2,5.52,21.11,71040000.0,FASE OPERACIONAL
ENEVA,ENEV3,14.7,16.61,33.40,90490000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ENERGISA,ENGI11,44.15,6.93,19.39,95590000.0,FASE OPERACIONAL
ENERGISA,ENGI3,14.34,6.93,19.39,101240.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.37,6.93,19.39,148190.0,FASE OPERACIONAL
ENJOEI,ENJU3,1.94,-0.14,-124.55,6330000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,83.8,12.72,23.02,59190.0,FASE OPERACIONAL
ENERGISA MT,ENMT4,83.78,12.72,23.02,22430.0,FASE OPERACIONAL
EMBPAR S/A,EPAR3,13.6,2.98,7.75,38210.0,FASE OPERACIONAL
EQTL PARA,EQPA3,5.28,7.67,21.79,192930.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,24.18,9.3,20.94,222520000.0,FASE OPERACIONAL
ESPACOLASER,ESPA3,2.91,7.21,27.76,17190000.0,FASE OPERACIONAL
ESTRELA,ESTR4,53.0,3.12,20.19,44462.0,FASE OPERACIONAL
ETERNIT,ETER3,12.48,1.74,29.41,18220000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
EUCATEX,EUCA3,15.38,2.67,22.15,43640.0,FASE OPERACIONAL
EUCATEX,EUCA4,9.6,2.67,22.15,658510.0,FASE OPERACIONAL
EVEN,EVEN3,5.18,3.11,9.35,8180000.0,FASE OPERACIONAL
EZTEC,EZTC3,16.21,7.97,33.34,37050000.0,FASE OPERACIONAL
FERBASA,FESA3,58.5,4.84,38.14,14460.0,FASE OPERACIONAL
FERBASA,FESA4,58.96,4.84,38.14,21170000.0,FASE OPERACIONAL
FER HERINGER,FHER3,16.71,1.5,17.21,19420000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
UNIFIQUE,FIQE3,4.24,8.57,26.59,2610000.0,FASE OPERACIONAL
FLEURY,FLRY3,15.58,10.6,16.91,42020000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,10.73,13.82,9.69,5220000.0,FASE OPERACIONAL
METALFRIO,FRIO3,41.5,6.78,8.99,67612.0,FASE OPERACIONAL
POMIFRUTAS,FRTA3,3.11,11.83,39.44,7330.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
