Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,11.19,75.52,2.55,8067096.89,[]
AMBEV,ABEV3,17.61,15.57,27.05,336472347.6,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.3,31.00,8.71,33982254.6,[]
AES BRASIL ENERGIA S.A.,AESB3,14.65,-,-,17781729.97,[]
AFLUENTE,AFLT3,9.25,27.97,54.72,24746.71,[]
BRASILAGRO,AGRO3,30.67,9.54,34.26,39973670.94,[]
SÃO PAULO TURISMO,AHEB3,20.0,-4.83,-17.42,29716.57,[]
SÃO PAULO TURISMO,AHEB5,19.0,-4.83,-17.42,8922.5,[]
SÃO PAULO TURISMO,AHEB6,30.0,-4.83,-17.42,7733.33,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.79,19.80,4.78,1865564.03,[]
ALPARGATAS,ALPA3,39.66,52.61,13.11,179791.97,[]
ALPARGATAS,ALPA4,45.38,52.61,13.11,71130410.8,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.23,-107.41,-4.96,410060.26,[]
ALIANSCSONAE,ALSO3,28.31,35.03,30.24,40393363.46,[]
ALUPAR,ALUP11,26.66,3.95,58.47,0.0,[]
ALUPAR,ALUP3,8.79,3.95,58.47,213099.74,[]
ALUPAR,ALUP4,8.9,3.95,58.47,266817.2,[]
LOJAS MARISA,AMAR3,6.59,-12.17,-12.13,44426402.77,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,28.17,19.94,18.24,11584469.37,[]
ANIMA,ANIM3,11.99,26.09,12.99,24868048.8,[]
ALPER,APER3,49.85,-183.13,-2.85,5753403.49,[]
AREZZO&CO,ARZZ3,84.43,174.77,3.96,56871304.66,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,86.2,34.54,4.68,127502739.29,[]
ATMA SA,ATMP3,10.1,-5.13,-10.47,2076189.51,[]
ATOM EMPREENDIMENTOS,ATOM3,8.4,12.52,35.35,5448455.31,[]
ALPHAVILLE S.A.,AVLL3,25.9,-4.74,-102.43,216533.76,[]
AZEVEDO E TRAVASSOS,AZEV3,6.86,0.75,8.092.30,1222542.17,[]
AZEVEDO E TRAVASSOS,AZEV4,5.27,0.75,8.092.30,2245522.97,[]
AZUL,AZUL4,40.98,-31.73,-37.84,232134014.66,[]
B3,B3SA3,17.22,16.07,61.43,612956859.26,[]
BAHEMA,BAHI3,72.0,-10.76,-4.94,60608.6,[]
BAUMER,BALM3,18.06,7.66,11.93,66817.56,[]
BAUMER,BALM4,16.1,7.66,11.93,78025.76,[]
EXCELSIOR ALIMENTOS,BAUH4,86.0,20.03,11.40,71375.38,[]
BRASIL BROKERS,BBRK3,1.78,-0.88,-118.42,2822546.63,[]
BARDELLA,BDLL3,10.85,-4.40,-353.49,173244.8,[]
BARDELLA,BDLL4,10.23,-4.40,-353.49,137165.6,[]
MINERVA,BEEF3,9.64,5.66,8.97,112014423.77,[]
BIOMM,BIOM3,15.8,-19.98,-92.41,355267.2,[]
BK BRASIL,BKBR3,10.5,-7.02,-20.55,28367171.6,[]
BLAU FARMACÊUTICA S.A.,BLAU3,42.39,41.76,35.08,19624409.08,[]
BICICLETAS MONARK,BMKS3,240.0,-18.83,8.31,25645.97,[]
BEMOBI MOBILE TECH S.A.,BMOB3,22.58,13.32,38.18,24272355.2,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,11.2,78.86,11.91,11997610.66,[]
BOMBRIL,BOBR4,2.39,7.99,6.49,442687.37,[]
BRADESPAR,BRAP3,61.3,7.11,-,3424573.77,[]
BRADESPAR,BRAP4,70.12,7.11,-,182948318.69,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.47,7.21,5.72,206490867.34,[]
BRF,BRFS3,26.93,12.65,7.10,249887923.34,[]
BRASKEM,BRKM3,50.7,10.53,9.17,1676777.8,[]
BRASKEM,BRKM5,50.82,10.53,9.17,208761828.8,[]
BRASKEM,BRKM6,39.0,10.53,9.17,23548.31,[]
BR MALLS,BRML3,10.85,-33.70,-40.70,168796629.49,[]
BR PROPERTIES,BRPR3,8.95,17.95,108.20,12899454.29,[]
BIOSEV,BSEV3,9.0,10.39,14.14,1546800.9,[]
B2W DIGITAL,BTOW3,56.0,228.09,1.12,255710103.26,[]
BATTISTELLA,BTTL3,15.01,7.96,6.52,203282.14,[]
CAMBUCI,CAMB3,5.04,24.46,7.73,634000.63,[]
CAMIL,CAML3,9.64,7.74,8.33,15589857.17,[]
CSU CARDSYSTEM,CARD3,23.89,13.83,16.35,10627359.17,[]
MÉLIUZ S.A.,CASH3,34.43,173.12,16.35,104745396.31,[]
