Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,11.9,78.88,2.55,10054214.15,[]
AMBEV,ABEV3,17.69,15.65,27.05,340503454.95,[]
BRASILAGRO,AGRO3,31.36,9.71,34.26,38915038.44,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.0,19.04,4.78,1790169.91,[]
ALPARGATAS,ALPA4,45.98,53.84,13.11,74942660.87,[]
ALIANSCSONAE,ALSO3,29.66,36.60,30.24,41628056.1,[]
ALUPAR,ALUP11,27.6,4.03,58.47,0.0,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,30.9,21.85,18.24,11658236.36,[]
ANIMA,ANIM3,12.7,27.40,12.99,24274643.67,[]
AREZZO&CO,ARZZ3,87.51,180.63,3.96,55766860.69,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,88.9,35.30,4.68,126547587.67,[]
ATOM EMPREENDIMENTOS,ATOM3,8.39,12.52,35.35,4934939.77,[]
B3,B3SA3,16.98,15.80,61.43,628416997.62,[]
MINERVA,BEEF3,10.04,5.78,8.97,109584400.51,[]
BLAU FARMACÊUTICA S.A.,BLAU3,43.4,44.08,35.08,18349275.54,[]
BEMOBI MOBILE TECH S.A.,BMOB3,23.5,14.59,38.18,24141640.79,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,9.97,70.41,11.91,13873153.72,[]
BOMBRIL,BOBR4,2.34,7.91,6.49,408999.95,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.57,7.22,5.72,202626547.9,[]
BRF,BRFS3,25.89,12.36,7.10,269251509.97,[]
BRASKEM,BRKM5,51.79,10.59,9.17,235076911.74,[]
BR PROPERTIES,BRPR3,9.62,18.92,108.20,13985105.9,[]
B2W DIGITAL,BTOW3,59.59,242.41,1.12,243308774.38,[]
BATTISTELLA,BTTL3,19.15,10.03,6.52,337560.59,[]
CAMBUCI,CAMB3,5.4,25.81,7.73,601686.97,[]
CAMIL,CAML3,9.94,7.93,8.33,15417974.13,[]
CSU CARDSYSTEM,CARD3,24.5,14.16,16.35,10233144.62,[]
MÉLIUZ S.A.,CASH3,39.24,199.04,16.35,108027425.72,[]
CYRELA COMMERCIAL PROPERT,CCPR3,12.33,12.61,48.94,5758860.54,[]
CCR,CCRO3,13.98,14.15,26.87,167354515.64,[]
CESP,CESP6,25.0,10.02,47.26,54378434.05,[]
COMGAS,CGAS5,160.7,13.10,22.78,300103.59,[]
GRAZZIOTIN,CGRA4,32.95,6.00,18.83,516074.15,[]
CELESC,CLSC4,67.04,4.83,8.09,430781.97,[]
CEMIG,CMIG4,13.75,5.88,21.87,124225903.69,[]
CSN MINERAÇÃO S.A.,CMIN3,9.22,5.24,51.90,119061613.31,[]
COELCE,COCE5,56.41,7.77,6.40,1106644.85,[]
CPFL ENERGIA,CPFE3,29.4,8.85,16.88,67049654.41,[]
COPEL,CPLE6,6.32,5.32,22.77,70599798.03,[]
ATACADÃO,CRFB3,21.65,10.27,6.80,87949743.62,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,71.49,8.32,23.70,907897.38,[]
COSAN,CSAN3,21.91,26.40,18.70,173705419.67,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,13.5,24.80,11.64,5431419.67,[]
COPASA,CSMG3,17.27,7.02,24.20,37534363.05,[]
CIA SIDERURGICA NACIONAL,CSNA3,44.96,6.11,34.92,572059402.87,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,9.44,66.34,34.37,11678481.15,[]
CYRELA,CYRE3,23.29,4.28,58.05,134415661.97,[]
DASA,DASA3,57.7,177.05,2.55,22325902.1,[]
DIRECIONAL ENGENHARIA,DIRR3,13.06,8.35,15.49,19034832.13,[]
DURATEX,DTEX3,20.61,19.38,12.88,50290210.03,[]
ELECTRO ACO ALTONA,EALT4,6.7,8.67,12.86,493443.79,[]
ECORODOVIAS,ECOR3,12.56,15.93,21.84,53285755.56,[]
ENGIE BRASIL,EGIE3,40.55,7.86,46.31,62493468.95,[]
ELETROBRAS,ELET3,43.01,9.96,31.95,262592214.87,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,90.0,12.62,36.45,487140.15,[]
ENAUTA PARTICIPAÇÕES,ENAT3,15.75,10.38,36.62,28932419.56,[]
EDP Brasil,ENBR3,18.98,5.71,20.92,65837496.1,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.75,10.13,19.46,271405.1,[]
EQUATORIAL ENERGIA,EQTL3,25.48,7.79,26.03,170342760.38,[]
MPM CORPÓREOS S.A.,ESPA3,18.08,52.21,16.41,21559231.64,[]
EUCATEX,EUCA4,10.68,7.60,12.10,4599654.56,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.3,3.46,17.09,14686522.05,[]
EZ TEC,EZTC3,30.73,23.20,28.91,74273274.26,[]
FERBASA,FESA4,36.5,10.90,20.50,18310766.46,[]
FLEURY,FLRY3,26.08,17.48,18.04,51230293.79,[]
FRAS-LE,FRAS3,11.23,9.41,16.16,3025021.87,[]
GAFISA,GFSA3,4.37,87.14,2.27,21647188.31,[]
GERDAU,GGBR4,33.09,7.81,16.26,509999320.49,[]
GRUPO MATEUS S.A.,GMAT3,8.1,18.92,6.80,36676607.95,[]
NOTRE DAME INTERMEDICA,GNDI3,87.26,48.44,10.12,323724511.85,[]
METALURGICA GERDAU,GOAU4,14.89,3.04,16.23,151095510.21,[]
GRENDENE,GRND3,9.6,19.25,17.84,19528231.13,[]
HAGA S/A,HAGA4,3.05,3.66,27.46,825767.41,[]
HAPVIDA,HAPV3,15.76,49.93,13.71,166254661.0,[]
HELBOR,HBOR3,8.78,25.71,8.60,18108274.9,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,16.0,31.54,78.41,2442197.08,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,6.69,37.11,15.99,38243844.18,[]
CIA HERING,HGTX3,32.49,59.15,7.87,129049758.08,[]
HYPERA,HYPE3,36.01,19.38,32.20,100374196.21,[]
IGUATEMI EMPRESA DE SHOPPING CENTERS,IGTA3,43.99,26.88,52.11,93945571.72,[]
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,26.69,19.23,17.62,37716698.77,[]
JBS,JBSS3,30.1,5.82,7.91,430918640.54,[]
JHSF,JHSF3,7.7,5.94,69.99,40488418.38,[]
JEREISSATI,JPSA3,29.37,13.53,48.64,8378912.44,[]
