Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,16.15,17.66,12.33,8811819.08,[]
AMBEV,ABEV3,14.41,10.88,27.80,329399922.16,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,6.08,27.78,7.06,12830328.52,[]
AES BRASIL ENERGIA S.A.,AESB3,11.48,105.52,8.41,9840929.08,[]
AFLUENTE,AFLT3,8.6,25.21,53.41,7101.11,[]
BRASILAGRO,AGRO3,27.94,13.34,21.57,17144634.48,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,11.94,-35.68,-2.02,1288626.56,[]
SÃO PAULO TURISMO,AHEB3,27.5,-6.22,-19.49,4125.0,[]
SÃO PAULO TURISMO,AHEB5,22.0,-6.22,-19.49,2348.5,[]
SÃO PAULO TURISMO,AHEB6,51.5,-6.22,-19.49,6742.0,[]
ALLIED TECNOLOGIA S.A.,ALLD3,14.4,2.67,8.39,2364860.96,[]
ALPARGATAS,ALPA3,23.99,22.65,15.21,89681.36,[]
ALPARGATAS,ALPA4,25.83,22.65,15.21,107737070.92,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,4.69,-294.04,-1.08,86858.12,[]
ALIANSCSONAE,ALSO3,21.8,20.49,37.03,34303729.64,[]
ALUPAR,ALUP11,25.27,3.27,72.21,17599788.96,[]
ALUPAR,ALUP3,8.36,3.27,72.21,83680.44,[]
ALUPAR,ALUP4,8.49,3.27,72.21,106850.28,[]
LOJAS MARISA,AMAR3,3.22,-152.81,-0.62,19809266.48,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,38.3,22.60,17.76,31767731.04,[]
AMERICANAS S.A,AMER3,32.15,74.42,2.55,262116353.0,[]
ANIMA,ANIM3,8.07,24.13,14.45,22335304.44,[]
ALPER,APER3,32.29,-127.08,-1.65,1426842.92,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,20.83,82.54,33.81,13416958.04,[]
AREZZO&CO,ARZZ3,82.3,24.67,19.09,90671447.24,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,12.9,9.73,7.64,134690726.36,[]
ATMA SA,ATMP3,2.78,-3.90,-8.65,221976.68,[]
ATOM EMPREENDIMENTOS,ATOM3,3.38,8.35,21.77,222767.28,[]
ALPHAVILLE S.A.,AVLL3,29.99,-5.88,-84.72,94981.61,[]
AZEVEDO E TRAVASSOS,AZEV3,3.79,1.06,360.13,225729.32,[]
AZEVEDO E TRAVASSOS,AZEV4,3.13,1.06,360.13,1719864.52,[]
AZUL,AZUL4,26.37,-18.45,-10.79,202467172.6,[]
B3,B3SA3,14.13,11.77,63.09,636454417.2,[]
BAHEMA,BAHI3,13.7,-19.94,-4.66,48930.67,[]
BAUMER,BALM3,14.58,8.88,8.76,4219.67,[]
BAUMER,BALM4,11.59,8.88,8.76,8835.14,[]
EXCELSIOR ALIMENTOS,BAUH4,84.78,25.86,9.20,66398.81,[]
BRASIL BROKERS,BBRK3,1.11,-0.60,-81.05,1991296.88,[]
BARDELLA,BDLL3,11.5,-6.20,-385.42,14701.22,[]
BARDELLA,BDLL4,9.91,-6.20,-385.42,11750.13,[]
MINERVA,BEEF3,9.04,5.82,7.71,60390796.64,[]
BIOMM,BIOM3,13.9,-18.55,-59.30,133480.64,[]
BK BRASIL,BKBR3,6.03,-7.36,-10.43,13326379.04,[]
BLAU FARMACÊUTICA S.A.,BLAU3,32.19,11.02,35.33,9446318.44,[]
BLUE TECH SOLUTIONS,BLUT3,1.72,-3.53,-,345146.84,[]
BLUE TECH SOLUTIONS,BLUT4,0.9,-3.53,-,687743.04,[]
BICICLETAS MONARK,BMKS3,230.0,-35.04,4.64,3413.38,[]
