Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,19.85,58.66,4.48,6070000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,15.56,13.46,22.47,331130000.0,FASE OPERACIONAL
AERIS,AERI3,2.24,12.08,8.64,8590000.0,FASE OPERACIONAL
AES BRASIL,AESB3,9.86,27.56,12.62,17230000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.65,4.84,81.89,9280.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,28.72,4.51,35.97,14910000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,7.26,6.39,4.22,813550.0,FASE OPERACIONAL
SPTURIS,AHEB6,20.0,125.84,0.84,31692.0,FASE OPERACIONAL
ALLIED,ALLD3,8.76,4.71,4.26,685520.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,18.22,31.4,10.39,126800.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,20.54,31.4,10.39,81350000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,2.41,46.28,3.86,1020000.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,17.85,5.88,52.84,30060000.0,FASE OPERACIONAL
ALUPAR,ALUP11,27.9,4.7,74.42,31370000.0,FASE OPERACIONAL
ALUPAR,ALUP3,9.2,4.7,74.42,81310.0,FASE OPERACIONAL
ALUPAR,ALUP4,9.29,4.7,74.42,114350.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,2.36,136.66,0.59,10040000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,28.24,11.94,16.33,27820000.0,FASE OPERACIONAL
AMERICANAS,AMER3,14.64,16.14,4.78,314780000.0,FASE OPERACIONAL
ANIMA,ANIM3,5.08,14.27,11.95,14910000.0,FASE OPERACIONAL
ALPER S.A.,APER3,29.62,28.5,7.69,1220000.0,FASE OPERACIONAL
ARMAC,ARML3,16.0,28.36,32.10,4780000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,91.66,18.64,14.30,83550000.0,FASE OPERACIONAL
ASSAI,ASAI3,19.47,12.62,5.80,138400000.0,FASE OPERACIONAL
ATMASA,ATMP3,1.5,-2.54,-14.28,60680.0,FASE OPERACIONAL
ATOMPAR,ATOM3,2.62,4.58,26.98,91810.0,FASE OPERACIONAL
AUREN,AURE3,14.79,13.78,31.89,40570000.0,FASE OPERACIONAL
ALPHAVILLE,AVLL3,19.98,-5.33,-122.25,27960.0,FASE OPERACIONAL
AZEVEDO,AZEV3,2.78,9.43,10.45,188770.0,FASE OPERACIONAL
AZEVEDO,AZEV4,2.35,9.43,10.45,610090.0,FASE OPERACIONAL
AZUL,AZUL4,15.33,38.14,5.08,142820000.0,FASE OPERACIONAL
B3,B3SA3,12.39,12.72,57.45,398130000.0,FASE OPERACIONAL
BAHEMA,BAHI3,9.85,-8.51,-13.40,48540.0,FASE OPERACIONAL
BAUMER,BALM3,11.87,5.02,13.34,23954.0,FASE OPERACIONAL
BAUMER,BALM4,10.6,5.02,13.34,1520.0,FASE OPERACIONAL
EXCELSIOR,BAUH4,80.9,150.41,1.58,20020.0,FASE OPERACIONAL
BARDELLA,BDLL3,12.9,-7.77,-168.61,5810.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,8.1,-7.77,-168.61,4060.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,14.8,6.48,7.87,84980000.0,FASE OPERACIONAL
BIOMM,BIOM3,7.5,-7.99,-74.92,256250.0,FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,7.38,46.09,1.66,14570000.0,FASE OPERACIONAL
BLAU,BLAU3,32.98,13.15,30.66,12960000.0,FASE OPERACIONAL
B TECH EQI,BLUT3,5.09,-4.94,,133660.0,FASE OPERACIONAL
B TECH EQI,BLUT4,1.59,-4.94,,155210.0,FASE OPERACIONAL
BIC MONARK,BMKS3,274.06,-4.07,37.72,20730.0,FASE OPERACIONAL
BEMOBI TECH,BMOB3,14.18,8.75,8.13,4990000.0,FASE OPERACIONAL
BOA VISTA,BOAS3,7.71,46.3,7.33,6670000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,1.25,9.83,4.84,30550.0,FASE OPERACIONAL
BRADESPAR,BRAP3,20.71,1.35,,2200000.0,FASE OPERACIONAL
BRADESPAR,BRAP4,21.62,1.35,,70110000.0,FASE OPERACIONAL
