Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,19.52,45.85,5.79,8521176.77,[]
AMBEV,ABEV3,13.67,11.90,22.97,292097921.49,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,3.04,15.51,8.41,7872624.82,[]
AES BRASIL ENERGIA S.A.,AESB3,10.6,34.24,14.53,16461311.44,[]
AFLUENTE,AFLT3,8.88,5.10,84.24,4739.11,[]
BRASILAGRO,AGRO3,26.15,5.56,35.81,20784642.51,[]
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,7.67,8.73,3.14,613739.62,[]
SÃO PAULO TURISMO,AHEB6,41.2,-35.38,-3.15,,[]
ALLIED TECNOLOGIA S.A.,ALLD3,10.56,3.20,6.66,1049893.33,[]
ALPARGATAS,ALPA3,17.75,21.25,13.31,91618.38,[]
ALPARGATAS,ALPA4,19.88,21.25,13.31,105085480.9,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,1.92,1.627.33,0.11,929892.46,[]
ALIANSCSONAE,ALSO3,16.72,4.67,55.68,39661280.79,[]
ALUPAR,ALUP11,25.37,4.06,77.23,25057456.97,[]
ALUPAR,ALUP3,8.49,4.06,77.23,97621.95,[]
ALUPAR,ALUP4,8.42,4.06,77.23,127376.59,[]
LOJAS MARISA,AMAR3,1.98,-86.34,-0.85,11620483.72,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,23.04,11.83,16.99,32918807.49,[]
AMERICANAS S.A,AMER3,13.73,18.19,4.29,209156004.03,[]
ANIMA,ANIM3,4.46,14.76,11.91,12857802.1,[]
ALPER,APER3,26.01,17.66,7.36,2207679.03,[]
ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARML3,12.7,28.11,32.46,6654061.82,[]
AREZZO&CO,ARZZ3,69.55,11.45,16.73,80216988.28,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,14.97,10.22,5.97,119483828.31,[]
ATMA SA,ATMP3,1.08,-2.46,-14.28,58906.56,[]
ATOM EMPREENDIMENTOS,ATOM3,2.61,4.43,29.38,153266.92,[]
AUREN ENERGIA S.A.,AURE3,13.39,27.20,30.66,38774771.56,[]
ALPHAVILLE S.A.,AVLL3,21.99,-5.52,-126.33,46616.14,[]
AZEVEDO E TRAVASSOS,AZEV3,3.09,4.28,24.69,136578.72,[]
AZEVEDO E TRAVASSOS,AZEV4,2.39,4.28,24.69,785006.87,[]
AZUL,AZUL4,14.06,164.03,1.33,147798589.51,[]
B3,B3SA3,11.6,10.92,59.11,452589930.72,[]
BAHEMA,BAHI3,10.86,-12.41,-8.87,75432.2,[]
BAUMER,BALM3,14.42,7.79,9.74,2525.25,[]
BAUMER,BALM4,10.6,7.79,9.74,4474.95,[]
EXCELSIOR ALIMENTOS,BAUH4,77.85,188.14,1.23,29521.85,[]
BRASIL BROKERS,BBRK3,0.8,-1.20,-43.71,1203952.58,[]
BARDELLA,BDLL3,10.58,-9.17,-140.71,22102.88,[]
BARDELLA,BDLL4,8.6,-9.17,-140.71,9435.94,[]
MINERVA,BEEF3,13.49,6.51,7.73,95416884.36,[]
BIOMM,BIOM3,7.97,-9.50,-60.64,48506.08,[]
BK BRASIL,BKBR3,6.04,-43.96,-1.58,15269958.97,[]
BLAU FARMACÊUTICA S.A.,BLAU3,24.14,8.67,32.75,9524704.72,[]
BLUE TECH SOLUTIONS,BLUT3,1.09,-3.33,-,116644.85,[]
BLUE TECH SOLUTIONS,BLUT4,0.51,-3.33,-,277903.72,[]
BICICLETAS MONARK,BMKS3,240.0,-16.27,14.23,25405.11,[]
BEMOBI MOBILE TECH S.A.,BMOB3,12.21,6.57,11.03,7116868.18,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,5.43,34.39,5.18,9218452.85,[]
BOMBRIL,BOBR4,1.33,3.24,11.52,38936.9,[]
BRADESPAR,BRAP3,22.68,1.20,-,3124152.46,[]
BRADESPAR,BRAP4,25.17,1.20,-,86441102.03,[]
BRF,BRFS3,14.54,15.58,3.73,163704903.82,[]
BRISANET PARTICIPAÇÕES S.A.,BRIT3,2.0,20.40,9.09,1891507.18,[]
BRASKEM,BRKM3,38.52,2.31,21.04,476160.08,[]
BRASKEM,BRKM5,37.85,2.31,21.04,101575514.49,[]
BRASKEM,BRKM6,25.0,2.31,21.04,6140.14,[]
BR MALLS,BRML3,7.67,13.93,51.90,129798796.49,[]
BR PROPERTIES,BRPR3,8.8,32.62,58.52,29057376.18,[]
CAMBUCI,CAMB3,3.94,5.35,17.40,162792.18,[]
CAMIL,CAML3,9.84,8.82,6.77,13671148.62,[]
CSU CARDSYSTEM,CARD3,12.45,5.77,18.08,2107242.08,[]
MÉLIUZ S.A.,CASH3,1.26,-5.60,-30.21,48320307.36,[]
Companhia Brasileira de Alumínio,CBAV3,11.5,8.93,31.55,58750484.72,[]
AMPLA ENERGIA E SERVICOS,CBEE3,19.21,13.19,7.90,3842.0,[]
CCR,CCRO3,12.72,5.62,49.39,109829604.67,[]
CEA MODAS,CEAB3,2.45,19.80,1.63,15249880.85,[]
CEB,CEBR3,14.0,1.43,52.14,38180.03,[]
CEB,CEBR5,12.6,1.43,52.14,112085.46,[]
CEB,CEBR6,13.62,1.43,52.14,205803.79,[]
CEDRO TÊXTIL,CEDO3,6.72,6.95,3.84,19488.07,[]
CEDRO TÊXTIL,CEDO4,4.75,6.95,3.84,6342.07,[]
COELBA,CEEB3,37.51,7.21,21.63,21966.17,[]
COELBA,CEEB5,34.49,7.21,21.63,3449.0,[]
CEEE-D,CEED3,42.0,56.12,1.81,11500.75,[]
CEEE-D,CEED4,65.5,56.12,1.81,11799.0,[]
CEG,CEGR3,89.0,30.76,16.18,8900.0,[]
CELPE,CEPE5,40.0,14.31,11.77,54426.76,[]
CELPE,CEPE6,41.88,14.31,11.77,158282.0,[]
COMGAS,CGAS3,105.51,7.41,20.67,15319.2,[]
COMGAS,CGAS5,123.91,7.41,20.67,152572.79,[]
GRAZZIOTIN,CGRA3,28.49,2.67,28.94,350310.97,[]
GRAZZIOTIN,CGRA4,28.0,2.67,28.94,476631.77,[]
CIELO,CIEL3,3.86,7.71,14.47,95340252.92,[]
CLEAR SALE S.A.,CLSA3,4.21,-1.51,-34.55,6408444.46,[]
CELESC,CLSC3,57.0,4.89,6.99,45335.62,[]
CELESC,CLSC4,56.39,4.89,6.99,356212.74,[]
CEMIG,CMIG3,15.56,4.94,20.29,14364272.1,[]
CEMIG,CMIG4,10.62,4.94,20.29,122929641.33,[]
CSN MINERAÇÃO S.A.,CMIN3,4.14,2.52,47.02,39162037.85,[]
COELCE,COCE5,51.04,6.71,12.51,660729.15,[]
COGNA ON,COGN3,2.2,53.38,3.92,80158809.21,[]
CPFL ENERGIA,CPFE3,30.6,6.67,19.99,145801009.1,[]
COPEL,CPLE11,34.1,4.85,22.66,12725808.74,[]
COPEL,CPLE3,6.29,4.85,22.66,6798475.05,[]
COPEL,CPLE5,22.0,4.85,22.66,5466.8,[]
COPEL,CPLE6,6.93,4.85,22.66,71372421.67,[]
CR2,CRDE3,21.4,-4.86,-177.49,15451.86,[]
ATACADÃO,CRFB3,16.23,8.63,5.79,70200977.9,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG3,40.8,4.45,21.63,7597.67,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,33.0,4.45,21.63,347031.72,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,33.5,4.45,21.63,18747.67,[]
COSAN,CSAN3,18.39,7.49,31.23,193328125.51,[]
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,3.35,4.18,17.09,1318541.62,[]
COPASA,CSMG3,11.63,9.72,12.70,18409880.03,[]
CSN,CSNA3,16.46,2.19,35.42,238568952.46,[]
COSERN,CSRN3,22.35,7.00,20.96,12909.0,[]
COSERN,CSRN5,19.6,7.00,20.96,21792.86,[]
COSERN,CSRN6,22.0,7.00,20.96,6275.86,[]
COTEMINAS,CTNM3,8.1,8.44,7.34,3546.33,[]
COTEMINAS,CTNM4,2.5,8.44,7.34,41162.1,[]
SANTANENSE,CTSA3,1.57,8.60,6.65,44544.77,[]
SANTANENSE,CTSA4,0.77,8.60,6.65,60925.9,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,6.0,3.93,21.20,6401071.15,[]
CVC BRASIL,CVCB3,8.51,-6.70,-36.99,124111646.15,[]
CYRELA,CYRE3,11.98,6.08,20.63,83497959.62,[]
DASA,DASA3,16.38,47.95,2.90,5412576.44,[]
DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,DESK3,7.69,10.80,21.25,5219753.31,[]
DEXXOS PARTICIPACOES S.A.,DEXP3,7.71,3.12,14.15,2753503.67,[]
DEXXOS PARTICIPACOES S.A.,DEXP4,7.27,3.12,14.15,31360.49,[]
