Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,12.27,80.63,2.55,16390800.0,[]
AMBEV,ABEV3,17.95,15.89,27.05,396188873.76,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,9.5,35.07,8.71,29335760.0,[]
AES BRASIL ENERGIA S.A.,AESB3,13.97,-,-,16428683.95,[]
AFLUENTE,AFLT3,9.36,28.32,54.72,12839.1,[]
BRASILAGRO,AGRO3,32.45,10.05,34.26,38961429.95,[]
SÃO PAULO TURISMO,AHEB3,24.88,-6.12,-17.42,32765.55,[]
SÃO PAULO TURISMO,AHEB5,20.01,-6.12,-17.42,7967.75,[]
SÃO PAULO TURISMO,AHEB6,30.0,-6.12,-17.42,7733.33,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.5,19.52,4.78,1730817.1,[]
ALPARGATAS,ALPA3,40.45,54.31,13.11,242566.14,[]
ALPARGATAS,ALPA4,47.29,54.31,13.11,107623324.81,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.13,-106.73,-4.96,243509.76,[]
ALIANSCSONAE,ALSO3,30.0,36.97,30.24,46884884.95,[]
ALUPAR,ALUP11,27.41,4.01,58.47,22139892.05,[]
ALUPAR,ALUP3,8.92,4.01,58.47,188518.76,[]
ALUPAR,ALUP4,9.09,4.01,58.47,235621.48,[]
LOJAS MARISA,AMAR3,7.72,-13.40,-12.13,44638962.67,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,32.49,23.20,18.24,15604586.57,[]
ANIMA,ANIM3,12.6,27.35,12.99,24852240.81,[]
ALPER,APER3,52.45,-192.68,-2.85,6905096.14,[]
AREZZO&CO,ARZZ3,88.63,183.46,3.96,52236410.33,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,89.45,35.61,4.68,128366096.76,[]
ATMA SA,ATMP3,9.06,-4.88,-10.47,3309067.19,[]
ATOM EMPREENDIMENTOS,ATOM3,8.37,12.47,35.35,955977.0,[]
ALPHAVILLE S.A.,AVLL3,25.9,-4.74,-102.43,113813.43,[]
AZEVEDO E TRAVASSOS,AZEV3,7.04,0.82,8092.30,729608.62,[]
AZEVEDO E TRAVASSOS,AZEV4,6.05,0.82,8092.30,2676340.76,[]
AZUL,AZUL4,43.0,-33.14,-37.84,301079687.76,[]
B3,B3SA3,17.58,16.44,61.43,639370391.86,[]
BAHEMA,BAHI3,74.0,-11.21,-4.94,72272.69,[]
BAUMER,BALM3,19.99,8.48,11.93,14549.94,[]
BAUMER,BALM4,17.46,8.48,11.93,46329.58,[]
EXCELSIOR ALIMENTOS,BAUH4,89.99,21.01,11.40,54701.33,[]
BRASIL BROKERS,BBRK3,1.73,-0.84,-118.42,3752836.95,[]
BARDELLA,BDLL3,10.5,-4.39,-353.49,38191.24,[]
BARDELLA,BDLL4,10.09,-4.39,-353.49,48794.1,[]
MINERVA,BEEF3,9.91,5.74,8.97,85138647.62,[]
BIOMM,BIOM3,16.25,-20.51,-92.41,223721.62,[]
BK BRASIL,BKBR3,10.65,-7.11,-20.55,24739803.81,[]
BLAU FARMACÊUTICA S.A.,BLAU3,47.99,47.92,35.08,13894369.24,[]
BICICLETAS MONARK,BMKS3,253.98,-15.43,8.31,25443.65,[]
BEMOBI MOBILE TECH S.A.,BMOB3,23.28,14.29,38.18,28219989.52,[]
BOA VISTA SERVIÇOS S.A.,BOAS3,10.01,70.48,11.91,11792086.05,[]
BOMBRIL,BOBR4,2.34,7.91,6.49,336076.43,[]
BRADESPAR,BRAP3,61.5,7.19,-,3606914.24,[]
BRADESPAR,BRAP4,71.21,7.19,-,169714076.86,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.8,7.29,5.72,221161455.48,[]
BRF,BRFS3,25.76,12.32,7.10,361981516.14,[]
BRASKEM,BRKM3,50.19,10.45,9.17,1073770.0,[]
BRASKEM,BRKM5,50.07,10.45,9.17,249465344.1,[]
BRASKEM,BRKM6,42.9,10.45,9.17,17276.0,[]
BR MALLS,BRML3,11.18,-34.52,-40.70,180622262.62,[]
BR PROPERTIES,BRPR3,9.6,18.88,108.20,14019564.95,[]
B2W DIGITAL,BTOW3,59.75,244.57,1.12,195536179.05,[]
BATTISTELLA,BTTL3,19.17,10.04,6.52,555415.52,[]
CAMBUCI,CAMB3,5.85,27.51,7.73,401071.86,[]
CAMIL,CAML3,10.05,7.99,8.33,14445844.38,[]
CSU CARDSYSTEM,CARD3,24.92,14.39,16.35,10060627.1,[]
MÉLIUZ S.A.,CASH3,41.07,208.39,16.35,138765906.29,[]
AMPLA ENERGIA E SERVICOS,CBEE3,25.0,33.44,3.90,27801.12,[]
CYRELA COMMERCIAL PROPERT,CCPR3,12.3,12.65,48.94,5605809.62,[]
CCR,CCRO3,13.78,14.04,26.87,189421154.48,[]
CEA MODAS,CEAB3,14.05,-15.92,-7.30,20027933.24,[]
CEB,CEBR3,193.5,0.16,-549.92,696215.7,[]
CEB,CEBR5,196.0,0.16,-549.92,151720.83,[]
CEB,CEBR6,197.75,0.16,-549.92,419696.56,[]
CEDRO TÊXTIL,CEDO3,10.0,32.46,1.33,36588.44,[]
CEDRO TÊXTIL,CEDO4,6.29,32.46,1.33,363103.38,[]
COELBA,CEEB3,40.7,11.12,16.01,58397.33,[]
CEEE-D,CEED3,60.7,-2.73,-15.81,30770.33,[]
CEEE-D,CEED4,59.0,-2.73,-15.81,13471.8,[]
CEG,CEGR3,60.0,28.23,18.62,50848.4,[]
CELPE,CEPE5,27.9,22.50,8.41,31744.62,[]
CELPE,CEPE6,28.5,22.50,8.41,12226.67,[]
CESP,CESP3,28.09,9.80,47.26,112811.43,[]
CESP,CESP5,37.66,9.80,47.26,30166.44,[]
CESP,CESP6,24.17,9.80,47.26,52061221.67,[]
COMGAS,CGAS3,149.0,13.03,22.78,27280.4,[]
COMGAS,CGAS5,157.99,13.03,22.78,307177.05,[]
GRAZZIOTIN,CGRA3,32.4,5.87,18.83,38616.43,[]
GRAZZIOTIN,CGRA4,32.88,5.87,18.83,542655.24,[]
CIELO,CIEL3,4.21,-175.99,-0.58,114168844.9,[]
CELESC,CLSC3,70.02,4.87,8.09,107569.71,[]
CELESC,CLSC4,68.59,4.87,8.09,359980.62,[]
CEMIG,CMIG3,16.33,5.85,21.87,8009815.57,[]
CEMIG,CMIG4,13.58,5.85,21.87,108293327.95,[]
CSN MINERAÇÃO S.A.,CMIN3,9.39,5.34,51.90,163194445.95,[]
COELCE,COCE3,65.02,15.40,6.40,19764.83,[]
COELCE,COCE5,56.95,15.40,6.40,1470191.52,[]
