Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
IOCHPE-MAXION,MYPK3,13.88,0.0338235,0.0,21494300.0,[]
GRUPO SOMA,SOMA3,13.2,0.045139599999999995,0.1,40676100.0,[]
RNI,RDNI3,10.81,0.398014,0.0,539293.0,[]
MINUPAR,MNPR3,12.89,1.79,19.8,970048.0,[]
WIZ S.A.,WIZS3,10.9,3.51,49.1,30047700.0,[]
PÃO DE AÇÚCAR,PCAR3,36.46,3.57,9.3,234765000.0,[]
METALÚRGICA GERDAU,GOAU4,15.38,3.59,14.2,145449000.0,[]
Even,EVEN3,10.27,3.6,16.3,14296800.0,[]
Marfrig,MRFG3,18.57,3.67,12.1,153780000.0,[]
ALUPAR,ALUP11,27.35,4.01,58.5,27046000.0,[]
VALE,VALE3,110.56,4.24,56.3,2540300000.0,[]
PLANOEPLANO,PLPL3,6.0,4.34,29.9,5653510.0,[]
EUCATEX,EUCA4,10.64,4.76,15.2,4167770.0,[]
CELESC,CLSC4,68.01,5.07,7.7,403238.0,[]
BRASKEM,BRKM5,52.12,5.11,19.2,183397000.0,[]
CSNMINERACAO,CMIN3,9.54,5.13,55.0,99999500.0,[]
COPEL,CPLE6,5.83,5.15,22.6,89232800.0,[]
TAURUS ARMAS,TASA4,23.14,5.19,27.4,70143000.0,[]
SANEPAR,SAPR11,20.75,5.22,36.2,45810400.0,[]
TRANSMISSÃO PAULISTA,TRPL4,25.35,5.23,100.8,45155100.0,[]
PROFARMA,PFRM3,6.05,5.57,3.6,3487830.0,[]
UNIPAR PARTICIPAÇÕES S.A.,UNIP6,79.66,5.6,28.6,31546600.0,[]
Minerva,BEEF3,9.84,5.63,9.1,108431000.0,[]
D1000VFARMA,DMVF3,9.03,5.66,7.5,3111680.0,[]
EDP ENERGIAS DO BRASIL S/A,ENBR3,18.46,5.66,20.8,67464100.0,[]
ALLIED,ALLD3,18.42,5.78,6.3,1051250.0,[]
CEMIG,CMIG4,12.18,6.01,18.8,120234000.0,[]
JBS,JBSS3,30.72,6.04,7.7,405567000.0,[]
METISA,MTSA4,39.33,6.11,12.2,230387.0,[]
USIMINAS,USIM5,20.3,6.19,22.6,466480000.0,[]
PETROBRAS,PETR4,26.28,6.32,37.8,1637900000.0,[]
CSN,CSNA3,47.0,6.34,34.9,574612000.0,[]
LIGHT SA,LIGT3,16.7,6.41,13.5,41890200.0,[]
JHSF Part,JHSF3,7.18,6.55,59.5,40941800.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.16,6.93,5.8,240369.0,[]
Tenda,TEND3,25.48,6.98,15.6,23516400.0,[]
COPASA MG,CSMG3,17.6,6.98,24.7,40704100.0,[]
TAESA,TAEE11,40.11,7.34,69.4,96891300.0,[]
EQUATORIAL ENERGIA S.A.,EQTL3,25.3,7.5,26.8,186405000.0,[]
Direcional Engenharia,DIRR3,13.35,7.51,17.6,15978600.0,[]
MAHLE METAL LEVE,LEVE3,26.87,7.53,16.8,14744400.0,[]
ELECTRO AÇO ALTONA S/A,EALT4,6.93,7.57,10.8,424129.0,[]
NEOENERGIA,NEOE3,16.98,7.57,18.4,33684500.0,[]
EQTL PARA,EQPA3,4.42,7.81,23.7,283980.0,[]
TECHNOS,TECN3,2.43,7.9,11.4,6742030.0,[]
CAMIL,CAML3,9.41,7.9,8.0,15593100.0,[]
ECORODOVIAS,ECOR3,12.03,7.98,42.6,52622600.0,[]
BRASILAGRO,AGRO3,32.51,8.02,35.2,32761700.0,[]
LAVVI,LAVV3,8.32,8.09,30.4,11866900.0,[]
TERRA SANTA,TESA3,43.46,8.31,19.1,1580260.0,[]
ENGIE BRASIL,EGIE3,40.08,8.46,42.8,69796100.0,[]
CPFL ENERGIA S.A.,CPFE3,28.37,8.57,17.1,69864900.0,[]
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,14.37,8.62,12.6,38391200.0,[]
TIM,TIMS3,12.22,8.64,18.5,71384900.0,[]
BEMOBI TECH,BMOB3,19.35,8.78,34.1,21846600.0,[]
HAGA,HAGA4,2.69,8.9,9.4,695920.0,[]
CRISTAL,CRPG5,69.5,8.93,22.6,1019640.0,[]
FERBASA,FESA4,39.5,9.23,22.5,16977400.0,[]
SABESP,SBSP3,42.25,9.5,24.2,150288000.0,[]
SLC Agricola,SLCE3,50.31,9.54,24.7,66258000.0,[]
SER EDUCA,SEER3,14.09,9.57,15.0,9547800.0,[]
MELNICK,MELK3,6.0,9.6,11.0,4257680.0,[]
ENERGISA,ENGI11,45.25,9.65,15.4,75135200.0,[]
QUALICORP,QUAL3,26.91,9.67,41.1,78671900.0,[]
GERDAU S.A.,GGBR4,34.61,9.7,14.2,492995000.0,[]
LOPES BRASIL,LPSB3,4.07,9.74,25.5,4910420.0,[]
BIOSEV,BSEV3,9.0,9.81,15.2,1423910.0,[]
ODONTOPREV,ODPV3,13.15,9.83,35.4,15460500.0,[]
CARREFOUR BR,CRFB3,20.57,9.84,6.8,92655700.0,[]
GRAZZIOTIN,CGRA4,32.1,9.91,10.9,743198.0,[]
WHIRLPOOL S.A.,WHRL4,8.18,10.19,10.2,227709.0,[]
VIAVAREJO,VVAR3,12.13,10.25,8.8,491923000.0,[]
Trisul,TRIS3,10.02,10.37,20.7,10829200.0,[]
CURY S/A,CURY3,10.17,10.4,21.5,10764400.0,[]
CELULOSE IRANI,RANI3,7.96,10.53,18.7,18602200.0,[]
BRF Foods,BRFS3,20.91,11.09,7.0,162938000.0,[]
SMILES,SMLS3,21.88,11.11,33.6,43859300.0,[]
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,8.84,11.19,18.6,247199.0,[]
ASSAI,ASAI3,86.68,11.3,7.6,122317000.0,[]
MOURA DUBEUX,MDNE3,8.94,11.47,11.2,2889360.0,[]
FRAS-LE S.A.,FRAS3,11.57,12.19,12.7,3142220.0,[]
IHPARDINI,PARD3,19.95,12.28,15.1,7629790.0,[]
BOMBRIL SA,BOBR4,2.46,12.71,6.5,446793.0,[]
MITRE REALTY,MTRE3,11.45,12.78,9.6,8368540.0,[]
ATOMPAR,ATOM3,8.6,13.0,34.9,5123930.0,[]
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,13.2,13.01,49.8,5119750.0,[]
UNICASA,UCAS3,5.03,13.45,12.0,883974.0,[]
TUPY,TUPY3,24.91,13.62,7.0,32306200.0,[]
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.38,13.73,26.9,166476000.0,[]
ENAUTA PART,ENAT3,14.8,13.75,25.2,30000100.0,[]
TELEF BRASIL,VIVT3,42.99,13.82,13.2,102517000.0,[]
PETROBRAS BR,BRDT3,24.91,13.85,2.9,192297000.0,[]
KEPLER WEBER SA,KEPL3,53.59,13.93,11.0,11017000.0,[]
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,158.0,13.96,22.3,300738.0,[]
Tegma,TGMA3,22.3,13.99,10.7,11599900.0,[]
CSU CARDSYST,CARD3,24.0,14.36,15.8,9123300.0,[]
SAO MARTINHO,SMTO3,32.12,14.44,25.5,38324000.0,[]
PAGUE MENOS,PGMN3,10.68,14.53,5.0,9985730.0,[]
PORTOBELLO S/A,PTBL3,12.08,14.6,10.8,44726500.0,[]
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,39.15,14.89,63.4,331820.0,[]
MANGELS,MGEL4,12.26,15.09,8.9,230809.0,[]
MRV,MRVE3,17.37,15.17,11.8,64435800.0,[]
TOTVS,TOTS3,31.01,15.3,41.2,134050000.0,[]
FOCUS,POWE3,15.4,15.41,7.4,2920820.0,[]
JEREISSATI PARTICIPACOES,JPSA3,29.54,15.46,42.7,7732120.0,[]
OUROFINO S/A,OFSA3,36.69,15.55,17.4,1151440.0,[]
SIMPAR,SIMH3,45.4,15.91,13.8,24729700.0,[]
GRENDENE SA,GRND3,9.55,16.11,21.3,18165800.0,[]
Suzano Papel,SUZB3,65.15,16.13,29.7,498839000.0,[]
Springs,SGPS3,11.37,16.14,5.0,1467180.0,[]
CESP CIA ENERGETICA SAO PAULO,CESP6,25.08,16.15,28.3,67003300.0,[]
DURATEX,DTEX3,20.88,16.23,15.5,47074500.0,[]
LOCAMERICA,LCAM3,24.42,16.44,17.0,61277800.0,[]
GPC PARTICIPACOES SA,GPCP3,37.31,16.52,7.7,5881690.0,[]
CYRELA BRAZIL REALTY,CYRE3,23.72,16.69,15.1,130325000.0,[]
POSITIVO INF,POSI3,11.22,17.11,4.4,103660000.0,[]
FLEURY,FLRY3,26.22,17.22,18.3,44987400.0,[]
