Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
MINUPAR,MNPR3,15.49,2.14,19.8,843638.0,[]
METALÚRGICA GERDAU,GOAU4,14.63,3.47,14.2,150061000.0,[]
Even,EVEN3,10.14,3.51,16.3,14595400.0,[]
PÃO DE AÇÚCAR,PCAR3,37.54,3.65,9.3,223015000.0,[]
Marfrig,MRFG3,18.53,3.67,12.1,176912000.0,[]
WIZ S.A.,WIZS3,11.4,3.7,49.1,37380200.0,[]
ALUPAR,ALUP11,27.5,4.02,58.5,27606800.0,[]
VALE,VALE3,110.2,4.23,56.3,2674970000.0,[]
PLANOEPLANO,PLPL3,5.95,4.31,29.9,5818600.0,[]
EUCATEX,EUCA4,10.91,4.84,15.2,4915710.0,[]
CSNMINERACAO,CMIN3,9.06,4.85,55.0,116551000.0,[]
BRASKEM,BRKM5,51.58,5.08,19.2,201384000.0,[]
CELESC,CLSC4,69.01,5.13,7.7,412668.0,[]
SANEPAR,SAPR11,20.52,5.18,36.2,40182200.0,[]
COPEL,CPLE6,6.23,5.4,22.6,74211700.0,[]
TRANSMISSÃO PAULISTA,TRPL4,26.96,5.5,100.8,39581600.0,[]
TAURUS ARMAS,TASA4,24.92,5.51,27.4,53941800.0,[]
Minerva,BEEF3,9.81,5.62,9.1,112038000.0,[]
ALLIED,ALLD3,18.15,5.7,6.3,1400640.0,[]
D1000VFARMA,DMVF3,9.15,5.75,7.5,2541160.0,[]
EDP ENERGIAS DO BRASIL S/A,ENBR3,18.98,5.76,20.8,66020000.0,[]
PROFARMA,PFRM3,6.37,5.77,3.6,3007680.0,[]
JBS,JBSS3,30.4,6.0,7.7,437788000.0,[]
USIMINAS,USIM5,19.66,6.01,22.6,456744000.0,[]
UNIPAR PARTICIPAÇÕES S.A.,UNIP6,86.02,6.08,28.6,31858700.0,[]
CSN,CSNA3,44.92,6.11,34.9,568109000.0,[]
PETROBRAS,PETR4,26.09,6.3,37.8,1695980000.0,[]
CEMIG,CMIG4,13.46,6.44,18.8,123002000.0,[]
METISA,MTSA4,41.29,6.48,12.2,215599.0,[]
LIGHT SA,LIGT3,17.44,6.56,13.5,38647100.0,[]
Tenda,TEND3,24.1,6.61,15.6,25410500.0,[]
JHSF Part,JHSF3,7.54,6.85,59.5,40298600.0,[]
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,6.2,6.94,5.8,262536.0,[]
COPASA MG,CSMG3,17.51,6.95,24.7,36699700.0,[]
ELECTRO AÇO ALTONA S/A,EALT4,6.18,6.99,10.8,469192.0,[]
LAVVI,LAVV3,7.71,7.04,30.4,11812400.0,[]
TECHNOS,TECN3,2.15,7.12,11.4,7169470.0,[]
Direcional Engenharia,DIRR3,12.88,7.26,17.6,18806700.0,[]
TAESA,TAEE11,39.59,7.27,69.4,89863700.0,[]
EQUATORIAL ENERGIA S.A.,EQTL3,25.5,7.55,26.8,180490000.0,[]
MAHLE METAL LEVE,LEVE3,27.12,7.61,16.8,17830400.0,[]
NEOENERGIA,NEOE3,18.2,7.8,18.4,36956200.0,[]
ECORODOVIAS,ECOR3,12.38,8.1,42.6,53521400.0,[]
CAMIL,CAML3,9.83,8.16,8.0,15462900.0,[]
EQTL PARA,EQPA3,4.77,8.34,23.7,269585.0,[]
ENGIE BRASIL,EGIE3,40.54,8.53,42.8,61594900.0,[]
TIM,TIMS3,12.1,8.55,18.5,70622900.0,[]
FERBASA,FESA4,36.41,8.56,22.5,18683800.0,[]
CPFL ENERGIA S.A.,CPFE3,29.25,8.75,17.1,65513700.0,[]
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,15.11,8.96,12.6,40287600.0,[]
LOPES BRASIL,LPSB3,3.85,9.06,25.5,5029510.0,[]
CRISTAL,CRPG5,70.8,9.13,22.6,913972.0,[]
SLC Agricola,SLCE3,48.35,9.2,24.7,71363400.0,[]
GERDAU S.A.,GGBR4,32.55,9.21,14.2,497447000.0,[]
CURY S/A,CURY3,9.12,9.27,21.5,11825400.0,[]
BRASILAGRO,AGRO3,30.76,9.32,35.2,36377800.0,[]
ODONTOPREV,ODPV3,12.64,9.4,35.4,14854700.0,[]
HAGA,HAGA4,2.84,9.4,9.4,979174.0,[]
SABESP,SBSP3,41.78,9.43,24.2,119874000.0,[]
SER EDUCA,SEER3,14.0,9.51,15.0,9616320.0,[]
TERRA SANTA,TESA3,44.18,9.55,15.8,1701870.0,[]
APABA,BTTL3,19.41,9.58,5.7,320405.0,[]
ENERGISA,ENGI11,46.29,9.76,15.4,72470200.0,[]
BIOSEV,BSEV3,9.0,9.81,15.2,1269190.0,[]
CELULOSE IRANI,RANI3,7.4,9.86,18.7,20295300.0,[]
MELNICK,MELK3,6.15,10.07,11.0,4232960.0,[]
COTEMINAS,CTNM4,6.12,10.1,7.0,207031.0,[]
WHIRLPOOL S.A.,WHRL4,8.13,10.12,10.2,231233.0,[]
IHPARDINI,PARD3,20.98,10.15,17.0,7352780.0,[]
CARREFOUR BR,CRFB3,21.5,10.21,6.8,84280300.0,[]
Trisul,TRIS3,10.02,10.37,20.7,11292200.0,[]
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,7.99,10.38,18.6,278922.0,[]
QUALICORP,QUAL3,29.08,10.4,41.1,83470800.0,[]
GRAZZIOTIN,CGRA4,33.5,10.47,10.9,529078.0,[]
VIAVAREJO,VVAR3,12.51,10.48,8.8,471803000.0,[]
MOURA DUBEUX,MDNE3,8.42,10.82,11.2,3172290.0,[]
ASSAI,ASAI3,88.86,11.54,7.6,124870000.0,[]
SMILES,SMLS3,22.79,11.72,33.6,32715600.0,[]
FRAS-LE S.A.,FRAS3,11.28,11.94,12.7,3103000.0,[]
BOMBRIL SA,BOBR4,2.35,12.31,6.5,462229.0,[]
CYRELA COMMERCIAL PROPERTIES SA EMP PART,CCPR3,12.15,12.33,49.8,5627900.0,[]
BRF Foods,BRFS3,25.56,12.4,7.0,256905000.0,[]
ATOMPAR,ATOM3,8.35,12.59,34.9,5476180.0,[]
UNICASA,UCAS3,4.85,12.85,12.0,915903.0,[]
KEPLER WEBER SA,KEPL3,50.31,12.92,11.0,11102900.0,[]
MANGELS,MGEL4,16.94,13.07,9.9,257985.0,[]
GPC PARTICIPACOES SA,GPCP3,37.58,13.2,8.7,7110410.0,[]
MITRE REALTY,MTRE3,11.65,13.27,9.6,10150600.0,[]
TUPY,TUPY3,24.75,13.55,7.0,35824300.0,[]
BEMOBI TECH,BMOB3,23.0,13.73,34.1,23781900.0,[]
