Empresa,Ticker,Cotação,EV/EBIT,M. EBIT,Volume Diário,Situação
D1000VFARMA,DMVF3,"R$ 9,50",0.06,0.01,2480000.0,FASE OPERACIONAL
MINUPAR,MNPR3,"R$ 12,60",2.37,14.58,647420.0,FASE OPERACIONAL
GERDAU MET,GOAU4,"R$ 16,11",3.2,16.23,144400000.0,FASE OPERACIONAL
HAGA S/A,HAGA4,"R$ 2,68",3.37,27.46,456400.0,FASE OPERACIONAL
MARFRIG,MRFG3,"R$ 19,12",3.9,11.56,151600000.0,FASE OPERACIONAL
ALUPAR,ALUP11,"R$ 26,43",4.03,57.88,22310000.0,FASE OPERACIONAL
EVEN,EVEN3,"R$ 9,67",4.46,16.28,14060000.0,FASE OPERACIONAL
CYRELA REALT,CYRE3,"R$ 22,73",4.51,57.66,144510000.0,FASE OPERACIONAL
TRAN PAULIST,TRPL4,"R$ 24,70",4.76,116.52,44480000.0,FASE OPERACIONAL
WIZ S.A.,WIZS3,"R$ 11,32",4.78,40.46,25300000.0,FASE OPERACIONAL
SER EDUCA,SEER3,"R$ 12,42",4.82,25.05,9380000.0,FASE OPERACIONAL
COPEL,CPLE6,"R$ 5,77",4.93,22.77,83000000.0,FASE OPERACIONAL
P.ACUCAR-CBD,PCAR3,"R$ 36,41",4.93,5.73,269820000.0,FASE OPERACIONAL
CELESC,CLSC4,"R$ 67,72",4.95,8.09,330180.0,FASE OPERACIONAL
TAURUS ARMAS,TASA4,"R$ 23,02",5.12,27.98,69320000.0,FASE OPERACIONAL
TAESA,TAEE4,"R$ 12,48",5.3,91.56,3090000.0,FASE OPERACIONAL
BOMBRIL,BOBR4,"R$ 2,46",5.36,11.13,325840.0,FASE OPERACIONAL
JHSF PART,JHSF3,"R$ 6,99",5.44,69.99,41260000.0,FASE OPERACIONAL
RANDON PART,RAPT4,"R$ 13,67",5.54,18.92,36360000.0,FASE OPERACIONAL
ALLIED,ALLD3,"R$ 18,00",5.55,6.39,683050.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,"R$ 18,27",5.58,20.92,62700000.0,FASE OPERACIONAL
SANEPAR,SAPR4,"R$ 4,00",5.6,32.72,21850000.0,FASE OPERACIONAL
MINERVA,BEEF3,"R$ 9,91",5.74,8.97,102360000.0,FASE OPERACIONAL
CSNMINERACAO,CMIN3,"R$ 10,04",5.74,51.9,87940000.0,FASE OPERACIONAL
JBS,JBSS3,"R$ 31,28",5.94,7.91,384890000.0,FASE OPERACIONAL
GRAZZIOTIN,CGRA4,"R$ 32,40",5.96,16.87,596530.0,FASE OPERACIONAL
POSITIVO TEC,POSI3,"R$ 12,30",6.09,13.26,66230000.0,FASE OPERACIONAL
USIMINAS,USIM5,"R$ 22,36",6.35,24.81,410010000.0,FASE OPERACIONAL
CEMIG,CMIG4,"R$ 11,53",6.57,18.66,118830000.0,FASE OPERACIONAL
SID NACIONAL,CSNA3,"R$ 49,42",6.61,34.92,571060000.0,FASE OPERACIONAL
COPASA,CSMG3,"R$ 16,67",6.85,24.2,39120000.0,FASE OPERACIONAL
LIGHT S/A,LIGT3,"R$ 16,07",7.06,13.62,43380000.0,FASE OPERACIONAL
PETROBRAS BR,BRDT3,"R$ 25,13",7.13,5.72,197820000.0,FASE OPERACIONAL
VALE,VALE3,"R$ 114,33",7.22,34.21,2550000000.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,"R$ 23,20",7.27,26.03,180780000.0,FASE OPERACIONAL
LAVVI,LAVV3,"R$ 8,10",7.37,33.06,10810000.0,FASE OPERACIONAL
CAMIL,CAML3,"R$ 9,34",7.56,8.33,14730000.0,FASE OPERACIONAL
ENGIE BRASIL,EGIE3,"R$ 38,58",7.61,46.31,70720000.0,FASE OPERACIONAL
TIM,TIMS3,"R$ 11,99",8.0,15.77,69940000.0,FASE OPERACIONAL
EUCATEX,EUCA4,"R$ 11,80",8.17,12.1,2600000.0,FASE OPERACIONAL
TERRA SANTA,TESA3,"R$ 47,34",8.24,20.14,1510000.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,"R$ 32,92",8.33,34.26,25110000.0,FASE OPERACIONAL
NEOENERGIA,NEOE3,"R$ 16,60",8.4,16.39,31050000.0,FASE OPERACIONAL
GERDAU,GGBR3,"R$ 30,16",8.46,16.26,3990000.0,FASE OPERACIONAL
GERDAU,GGBR4,"R$ 36,65",8.46,16.26,452420000.0,FASE OPERACIONAL
DIRECIONAL,DIRR3,"R$ 13,15",8.58,15.49,14250000.0,FASE OPERACIONAL
COSAN,CSAN3,"R$ 21,36",8.6,17.98,255120000.0,FASE OPERACIONAL
CPFL ENERGIA,CPFE3,"R$ 27,21",8.69,16.55,72650000.0,FASE OPERACIONAL
PLANOEPLANO,PLPL3,"R$ 6,04",8.77,16.71,3910000.0,FASE OPERACIONAL
ACO ALTONA,EALT4,"R$ 6,89",8.8,12.86,370690.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,"R$ 13,41",8.81,34.36,32950000.0,FASE OPERACIONAL
TENDA,TEND3,"R$ 24,46",8.82,11.89,26390000.0,FASE OPERACIONAL
UNIPAR,UNIP3,"R$ 73,38",9.05,19.35,1440000.0,FASE OPERACIONAL
UNIPAR,UNIP6,"R$ 77,30",9.05,19.35,25280000.0,FASE OPERACIONAL
SABESP,SBSP3,"R$ 40,03",9.08,25.24,154350000.0,FASE OPERACIONAL
TRISUL,TRIS3,"R$ 9,75",9.09,23.01,12270000.0,FASE OPERACIONAL
EQTL PARA,EQPA3,"R$ 4,31",9.34,19.46,204710.0,FASE OPERACIONAL
LOG COM PROP,LOGG3,"R$ 28,61",9.36,254.89,12360000.0,FASE OPERACIONAL
FRAS-LE,FRAS3,"R$ 11,46",9.53,16.16,3080000.0,FASE OPERACIONAL
