Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
ALLIAR,AALR3,"R$ 8,86",-17679,"-0,98%","R$ 5,80 M",FASE OPERACIONAL
AMBEV S/A,ABEV3,"R$ 16,87",1488,"27,05%","R$ 334,33 M",FASE OPERACIONAL
AERIS,AERI3,"R$ 8,57",3192,"8,71%","R$ 40,78 M",FASE OPERACIONAL
AES BRASIL,AESB3,"R$ 14,10",,,"R$ 9,05 M",FASE OPERACIONAL
AFLUENTE T,AFLT3,"R$ 9,16",2768,"54,72%","R$ 18,12 mil",FASE OPERACIONAL
BRASILAGRO,AGRO3,"R$ 32,92",833,"34,26%","R$ 25,11 M",FASE OPERACIONAL
SPTURIS,AHEB3,"R$ 21,01",-1063,"-5,66%","R$ 2,38 mil",FASE OPERACIONAL
SPTURIS,AHEB5,"R$ 19,00",-1063,"-5,66%","R$ 274,54",FASE OPERACIONAL
SPTURIS,AHEB6,"R$ 26,00",-1063,"-5,66%","R$ 310,77",FASE OPERACIONAL
ALLIED,ALLD3,"R$ 18,00",555,"6,39%","R$ 683,05 mil",FASE OPERACIONAL
ALPARGATAS,ALPA3,"R$ 38,37",5168,"12,57%","R$ 189,80 mil",FASE OPERACIONAL
ALPARGATAS,ALPA4,"R$ 43,35",5168,"12,57%","R$ 61,56 M",FASE OPERACIONAL
ESTAPAR,ALPK3,"R$ 8,00",-10584,"-4,96%","R$ 307,95 mil",FASE OPERACIONAL
ALIANSCSONAE,ALSO3,"R$ 26,92",3343,"30,24%","R$ 35,04 M",FASE OPERACIONAL
ALUPAR,ALUP11,"R$ 26,43",403,"57,88%","R$ 22,31 M",FASE OPERACIONAL
ALUPAR,ALUP3,"R$ 8,83",403,"57,88%","R$ 146,16 mil",FASE OPERACIONAL
ALUPAR,ALUP4,"R$ 8,80",403,"57,88%","R$ 199,40 mil",FASE OPERACIONAL
LOJAS MARISA,AMAR3,"R$ 5,90",-1142,"-12,13%","R$ 29,87 M",FASE OPERACIONAL
AMBIPAR,AMBP3,"R$ 26,70",1884,"18,24%","R$ 8,18 M",FASE OPERACIONAL
ANIMA,ANIM3,"R$ 11,22",3868,"8,31%","R$ 25,51 M",FASE OPERACIONAL
ALPER S.A.,APER3,"R$ 56,69",-25885.0,"-3,21%","R$ 4,51 M",FASE PRÉ-OPERACIONAL
AREZZO CO,ARZZ3,"R$ 80,40",8776,"5,79%","R$ 48,79 M",FASE OPERACIONAL
ASSAI,ASAI3,"R$ 84,58",1236,"5,91%","R$ 119,42 M",FASE OPERACIONAL
ATMASA,ATMP3,"R$ 11,55",-370,"-15,64%","R$ 1,33 M",FASE OPERACIONAL
ATOMPAR,ATOM3,"R$ 8,86",1727,"32,02%","R$ 3,50 M",FASE OPERACIONAL
ALPHAVILLE,AVLL3,"R$ 25,85",-402,"-167,68%","R$ 189,85 mil",FASE OPERACIONAL
AZEVEDO,AZEV3,"R$ 6,85",-642,"-78,19%","R$ 765,66 mil",FASE OPERACIONAL
AZEVEDO,AZEV4,"R$ 4,91",-642,"-78,19%","R$ 1,17 M",FASE OPERACIONAL
AZUL,AZUL4,"R$ 38,41",-1011,"-37,84%","R$ 266,24 M",FASE OPERACIONAL
B3,B3SA3,"R$ 51,50",1602,"61,43%","R$ 779,45 M",FASE OPERACIONAL
BAHEMA,BAHI3,"R$ 74,50",-822,"-11,71%","R$ 42,20 mil",FASE OPERACIONAL
BAUMER,BALM3,"R$ 18,79",895,"10,60%","R$ 30,83 mil",FASE OPERACIONAL
BAUMER,BALM4,"R$ 15,40",895,"10,60%","R$ 40,30 mil",FASE OPERACIONAL
EXCELSIOR,BAUH4,"R$ 84,79",848,"11,40%","R$ 79,07 mil",FASE OPERACIONAL
BR BROKERS,BBRK3,"R$ 2,16",-76,"-171,31%","R$ 1,49 M",FASE OPERACIONAL
BARDELLA,BDLL3,"R$ 11,34",-431,"-295,31%","R$ 129,29 mil",EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
BARDELLA,BDLL4,"R$ 10,02",-431,"-295,31%","R$ 102,66 mil",EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MINERVA,BEEF3,"R$ 9,91",574,"8,97%","R$ 102,36 M",FASE OPERACIONAL
BIOMM,BIOM3,"R$ 15,93",-2024,"-94,72%","R$ 278,33 mil",FASE PRÉ-OPERACIONAL
BK BRASIL,BKBR3,"R$ 10,58",-707,"-20,55%","R$ 24,94 M",FASE OPERACIONAL
BLAU,BLAU3,"R$ 41,49",1760,"34,52%","R$ 5,79 M",FASE OPERACIONAL
BIC MONARK,BMKS3,"R$ 239,99",-2855,"6,38%","R$ 14,82 mil",FASE OPERACIONAL
BEMOBI TECH,BMOB3,"R$ 19,23",2636,"36,20%","R$ 26,43 M",FASE OPERACIONAL
BOA VISTA,BOAS3,"R$ 12,50",7310,"11,91%","R$ 12,15 M",FASE OPERACIONAL
BOMBRIL,BOBR4,"R$ 2,46",536,"11,13%","R$ 325,84 mil",FASE OPERACIONAL
BRADESPAR,BRAP3,"R$ 64,54",1685.0,,"R$ 2,61 M",FASE OPERACIONAL
BRADESPAR,BRAP4,"R$ 74,33",1685.0,,"R$ 183,39 M",FASE OPERACIONAL
PETROBRAS BR,BRDT3,"R$ 25,13",713,"5,72%","R$ 197,82 M",FASE OPERACIONAL
BRF SA,BRFS3,"R$ 21,05",1101,"7,10%","R$ 174,75 M",FASE OPERACIONAL
BRASKEM,BRKM3,"R$ 50,06",1050,"9,17%","R$ 1,33 M",FASE OPERACIONAL
BRASKEM,BRKM5,"R$ 51,12",1050,"9,17%","R$ 157,18 M",FASE OPERACIONAL
BRASKEM,BRKM6,"R$ 28,50",1050,"9,17%","R$ 7,72 mil",FASE OPERACIONAL
BR MALLS PAR,BRML3,"R$ 10,17",-4140,"-29,88%","R$ 151,74 M",FASE OPERACIONAL
BR PROPERT,BRPR3,"R$ 8,82",1777,"108,20%","R$ 14,75 M",FASE OPERACIONAL
BIOSEV,BSEV3,"R$ 8,90",1047,"14,14%","R$ 1,51 M",FASE OPERACIONAL
B2W DIGITAL,BTOW3,"R$ 58,57",23938,"1,12%","R$ 277,93 M",FASE OPERACIONAL
BATTISTELLA,BTTL3,"R$ 12,25",722.0,"6,52%","R$ 66,91 mil",FASE OPERACIONAL
CAMBUCI,CAMB3,"R$ 5,36",2566,"7,73%","R$ 432,17 mil",FASE OPERACIONAL
CAMIL,CAML3,"R$ 9,34",756,"8,33%","R$ 14,73 M",FASE OPERACIONAL
CSU CARDSYST,CARD3,"R$ 25,14",1451,"16,35%","R$ 6,46 M",FASE OPERACIONAL
MELIUZ,CASH3,"R$ 32,00",13043,"22,71%","R$ 72,55 M",FASE OPERACIONAL
AMPLA ENERG,CBEE3,"R$ 24,21",3292,"3,90%","R$ 87,30 mil",FASE OPERACIONAL
CYRE COM-CCP,CCPR3,"R$ 12,40",1215,"50,22%","R$ 5,12 M",FASE OPERACIONAL
CCR SA,CCRO3,"R$ 13,09",1973,"20,58%","R$ 158,16 M",FASE OPERACIONAL
CEA MODAS,CEAB3,"R$ 12,20",-2108,"-4,02%","R$ 25,62 M",FASE OPERACIONAL
CEB,CEBR3,"R$ 187,00",2128,"51,47%","R$ 554,48 mil",FASE OPERACIONAL
CEB,CEBR5,"R$ 210,00",2128,"51,47%","R$ 90,80 mil",FASE OPERACIONAL
CEB,CEBR6,"R$ 205,63",2128,"51,47%","R$ 238,68 mil",FASE OPERACIONAL
CEDRO,CEDO3,"R$ 10,31",24575,"0,18%","R$ 29,59 mil",FASE OPERACIONAL
CEDRO,CEDO4,"R$ 6,36",24575,"0,18%","R$ 159,85 mil",FASE OPERACIONAL
COELBA,CEEB3,"R$ 40,20",816,"16,01%","R$ 45,99 mil",FASE OPERACIONAL
CEEE-D,CEED3,"R$ 58,98",-219,"-19,46%","R$ 18,67 mil",FASE OPERACIONAL
CEEE-D,CEED4,"R$ 54,34",-219,"-19,46%","R$ 2,00 mil",FASE OPERACIONAL
CEG,CEGR3,"R$ 60,10",2693,"19,21%","R$ 43,97 mil",FASE OPERACIONAL
CELPE,CEPE5,"R$ 26,45",2248,"8,40%","R$ 23,12 mil",FASE OPERACIONAL
CELPE,CEPE6,"R$ 28,45",2248,"8,40%","R$ 4,42 mil",FASE OPERACIONAL
CESP,CESP3,"R$ 28,18",997.0,"47,26%","R$ 404,22 mil",FASE OPERACIONAL
CESP,CESP5,"R$ 34,00",997.0,"47,26%","R$ 29,23 mil",FASE OPERACIONAL
CESP,CESP6,"R$ 24,53",997,"47,26%","R$ 65,75 M",FASE OPERACIONAL
COMGAS,CGAS3,"R$ 140,02",1265,"22,78%","R$ 13,36 mil",FASE OPERACIONAL
COMGAS,CGAS5,"R$ 156,00",1265,"22,78%","R$ 309,13 mil",FASE OPERACIONAL
GRAZZIOTIN,CGRA3,"R$ 32,40",596,"16,87%","R$ 43,36 mil",FASE OPERACIONAL
GRAZZIOTIN,CGRA4,"R$ 32,40",596,"16,87%","R$ 596,53 mil",FASE OPERACIONAL
CIELO,CIEL3,"R$ 3,49",-14596,"-0,58%","R$ 109,02 M",FASE OPERACIONAL
CELESC,CLSC3,"R$ 74,99",495,"8,09%","R$ 7,76 mil",FASE OPERACIONAL
CELESC,CLSC4,"R$ 67,72",495,"8,09%","R$ 330,18 mil",FASE OPERACIONAL
CEMIG,CMIG3,"R$ 13,99",657,"18,66%","R$ 11,05 M",FASE OPERACIONAL
CEMIG,CMIG4,"R$ 11,53",657,"18,66%","R$ 118,83 M",FASE OPERACIONAL
CSNMINERACAO,CMIN3,"R$ 10,04",574,"51,90%","R$ 87,94 M",FASE OPERACIONAL
COELCE,COCE3,"R$ 70,00",1982,"6,40%","R$ 1,63 mil",FASE OPERACIONAL
COELCE,COCE5,"R$ 56,00",1982,"6,40%","R$ 1,07 M",FASE OPERACIONAL
COGNA ON,COGN3,"R$ 3,78",-407,"-61,43%","R$ 177,69 M",FASE OPERACIONAL
COR RIBEIRO,CORR4,"R$ 82,00",-248,"30,07%","R$ 0,00",FASE OPERACIONAL
CPFL ENERGIA,CPFE3,"R$ 27,21",869,"16,55%","R$ 72,65 M",FASE OPERACIONAL
COPEL,CPLE11,"R$ 28,00",493,"22,77%","R$ 6,94 M",FASE OPERACIONAL
COPEL,CPLE3,"R$ 5,24",493,"22,77%","R$ 12,59 M",FASE OPERACIONAL
COPEL,CPLE6,"R$ 5,77",493,"22,77%","R$ 83,00 M",FASE OPERACIONAL
CR2,CRDE3,"R$ 25,73",-307,"-721,03%","R$ 15,67 mil",FASE OPERACIONAL
CARREFOUR BR,CRFB3,"R$ 20,38",983,"6,80%","R$ 86,74 M",FASE OPERACIONAL
CRISTAL,CRPG3,"R$ 62,03",1135,"18,15%","R$ 2,98 mil",FASE OPERACIONAL
CRISTAL,CRPG5,"R$ 68,68",1135,"18,15%","R$ 870,55 mil",FASE OPERACIONAL
CRISTAL,CRPG6,"R$ 64,94",1135,"18,15%","R$ 79,59 mil",FASE OPERACIONAL
COSAN,CSAN3,"R$ 21,36",860,"17,98%","R$ 255,12 M",FASE OPERACIONAL
CRUZEIRO EDU,CSED3,"R$ 12,55",3384,"9,77%","R$ 7,85 M",FASE OPERACIONAL
COPASA,CSMG3,"R$ 16,67",685,"24,20%","R$ 39,12 M",FASE OPERACIONAL
SID NACIONAL,CSNA3,"R$ 49,42",661,"34,92%","R$ 571,06 M",FASE OPERACIONAL
COSERN,CSRN3,"R$ 16,10",858,"17,04%","R$ 28,56 mil",FASE OPERACIONAL
COSERN,CSRN5,"R$ 16,00",858,"17,04%","R$ 8,62 mil",FASE OPERACIONAL
COSERN,CSRN6,"R$ 15,90",858,"17,04%","R$ 9,48 mil",FASE OPERACIONAL
KARSTEN,CTKA3,"R$ 29,50",786,"22,07%","R$ 15,34 mil",FASE OPERACIONAL
KARSTEN,CTKA4,"R$ 26,15",786,"22,07%","R$ 84,29 mil",FASE OPERACIONAL
COTEMINAS,CTNM3,"R$ 11,60",3820,"2,13%","R$ 5,83 mil",FASE OPERACIONAL
COTEMINAS,CTNM4,"R$ 6,11",3820,"2,13%","R$ 156,08 mil",FASE OPERACIONAL
SANTANENSE,CTSA3,"R$ 2,60",3770,"2,86%","R$ 193,69 mil",FASE OPERACIONAL
SANTANENSE,CTSA4,"R$ 2,20",3770,"2,86%","R$ 105,98 mil",FASE OPERACIONAL
CURY S/A,CURY3,"R$ 9,78",1200,"19,66%","R$ 9,15 M",FASE OPERACIONAL
CVC BRASIL,CVCB3,"R$ 24,22",-387,"-224,58%","R$ 127,17 M",FASE OPERACIONAL
CYRELA REALT,CYRE3,"R$ 22,73",451,"57,66%","R$ 144,51 M",FASE OPERACIONAL
DASA,DASA3,"R$ 57,20",20903,"2,37%","R$ 11,74 M",FASE OPERACIONAL
DIRECIONAL,DIRR3,"R$ 13,15",858,"15,49%","R$ 14,25 M",FASE OPERACIONAL
DOMMO,DMMO3,"R$ 0,88",-101,"-53,90%","R$ 7,59 M",EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
D1000VFARMA,DMVF3,"R$ 9,50",6.2903,"0,01%","R$ 2,48 M",FASE OPERACIONAL
DOHLER,DOHL3,"R$ 28,10",2326,"13,26%","R$ 10,09 mil",FASE OPERACIONAL
