Ticker,Cotação,VARIAÇÃO (12M),P/L,P/VP,DY,carteira investidor 10,P/RECEITA (PSR),DIVIDEND YIELD ,PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,data da cotação,CAGR LUCROS 5 ANOS
aalr3,"R$ 14,70","41,21%","-7,96","1,60",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,46",-,-,"-18,37%","29,80%","3,29%","11,12%","17,59","59,52","13,15","44,50","0,65","-11,19","-0,82","9,21","-1,85","0,44","-20,06%","1,36%","-7,74%","0,54","4,44","15,01","0,77","0,40","0,58","0,78","2,08%",R$ 1.738.904.000,R$ 2.325.592.000,R$ 1.089.045.000, 118.292.000,R$ 2.692.409.000,R$ 563.769.000,R$ 841.166.000,R$ 586.688.000,R$ 254.478.000,Novo Mercado,"6,19%","100,00%",R$ 363.000,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",14/10/2024,
abcb4,"R$ 21,16","9,71%","5,55","0,83","7,19%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,62","7,19%","40,02%","11,25%","17,05%","13,24%",-,,"4,71",,"4,71","0,08","0,40","-0,12","25,48","3,81","0,12","14,96%","16,23%","1,38%",,,,,"0,09","0,91","2,13","25,56%",R$ 5.176.939.000,R$ 5.176.939.000,R$ 6.235.066.000, 244.656.000,R$ 67.353.006.000,R$ 24.345.254.000,,,R$ 4.068.885.000,Nível 2,"30,59%","100,00%",R$ 10.792.000,Financeiro,Bancos,14/10/2024,"12,04%"
abev3,"R$ 12,92","3,93%","14,14","2,14","5,67%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,53","5,67%","79,93%","17,85%","50,83%","23,88%","31,99%","7,43","9,96","7,89","10,57","1,42","55,05","-1,94","6,05","0,91","0,56","15,11%","17,59%","10,32%","-0,12","-0,46","-0,62","0,04","0,66","0,33","1,11","8,92%",R$ 203.588.932.000,R$ 191.703.493.000,R$ 95.262.776.000, 15.757.657.000,R$ 143.438.846.000,R$ 38.316.335.000,R$ 3.456.152.000,R$ -11.885.439.000,R$ 15.341.591.000,Tradicional,"27,89%","80,00%",R$ 421.984.000,Consumo não Cíclico,Cervejas e Refrigerantes,14/10/2024,"3,96%"
aeri3,"R$ 6,46","-60,12%","-3,66","0,37",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,19",-,-,"-5,26%","14,18%","8,06%","11,68%","3,98","5,76","1,65","2,39","0,11","0,48","-0,31","17,62","-1,76","0,57","-10,01%","5,64%","-3,00%","0,52","2,33","3,37","1,41","0,30","0,70","1,54","20,09%",R$ 401.296.000,R$ 967.548.000,R$ 1.094.390.000, 62.120.000,R$ 3.654.948.000,R$ 2.367.105.000,R$ 1.543.679.000,R$ 566.252.000,R$ 977.427.000,Nível 1,"57,08%","100,00%",R$ 2.199.000,Bens Industriais,Máquinas e Equipamentos Industriais,14/10/2024,
aesb3,"R$ 11,75","13,46%","-53,05","1,66","0,64%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,97","0,64%","-33,69%","-3,72%","31,46%","25,36%","45,82%","10,41","18,81","4,31","7,78","0,35","-7,06","-0,42","7,08","-0,22","0,18","-3,13%","5,30%","0,13%","2,35","6,10","11,02","2,86","0,21","0,74","0,77",,R$ 7.072.645.000,R$ 17.089.436.000,R$ 4.262.700.000, 601.927.000,R$ 20.299.813.000,R$ 3.405.914.000,R$ 12.191.010.000,R$ 10.016.791.000,R$ 2.174.219.000,Novo Mercado,"52,68%","100,00%",R$ 45.078.000,Utilidade Pública,Energia Elétrica,14/10/2024,
aflt3,"R$ 7,03","-2,36%","15,77","1,84","1,81%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","8,31","1,81%","33,32%","52,68%","68,60%","60,77%","61,14%","12,84","12,92","13,59","13,67","1,43","16,07","-1,94","3,83","0,45","0,17","11,65%","11,07%","9,08%","-0,10","-0,75","-0,75",-,"0,78","0,22","1,52","6,69%",R$ 443.485.000,R$ 418.994.000,R$ 241.397.000, 63.084.000,R$ 309.593.000,R$ 81.122.000,R$ 34.000,R$ -24.491.000,R$ 24.525.000,Tradicional,"1,33%",-,R$ 1.000,Utilidade Pública,Energia Elétrica,10/10/2024,"2,17%"
agro3,"R$ 25,00","-2,52%","11,32","1,18","12,98%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","2,42","12,98%","145,40%","21,42%","29,45%","17,55%","25,12%","12,85","18,39","9,65","13,82","0,71","4,49","-1,02","21,23","2,21","0,29","10,41%","4,67%","6,29%","0,39","3,20","4,58","0,48","0,60","0,40","2,09","13,29%",R$ 2.567.086.000,R$ 3.417.190.000,R$ 2.179.679.000, 102.683.000,R$ 3.605.082.000,R$ 1.099.490.000,R$ 1.043.998.000,R$ 850.104.000,R$ 193.894.000,Novo Mercado,"62,15%","100,00%",R$ 6.637.000,Consumo não Cíclico,Agricultura,14/10/2024,"17,35%"
agxy3,"R$ 0,53","-87,07%","-0,18","0,13",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,01",-,-,"-6,90%","9,32%","-0,76%","1,65%","9,30","-20,14","0,74","-1,60","0,01","-0,21","-0,04","4,13","-3,00","1,14","-72,76%","-11,82%","-7,96%","1,49","8,56","-18,54","2,05","0,11","0,89","0,91","38,86%",R$ 90.537.000,R$ 1.139.288.000,R$ 705.136.000, 170.824.000,R$ 6.513.329.000,R$ 4.248.707.000,R$ 1.442.012.000,R$ 1.048.751.000,R$ 393.261.000,Nível 1,"37,28%","100,00%",R$ 574.000,Consumo não Cíclico,Agricultura,14/10/2024,
aheb3,"R$ 38,00","137,50%","2,59","2,42",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,50",-,-,"19,37%","30,50%","23,93%","24,96%","1,50","1,56","2,01","2,10","0,64","1,76","-1,58","15,72","14,65","1,27","93,20%","100,29%","24,55%","-0,62","-0,51","-0,54","0,02","0,26","0,74","2,55","41,27%",R$ 324.702.000,R$ 241.907.000,R$ 134.277.000, 8.543.000,R$ 509.841.000,R$ 304.025.000,R$ 3.269.000,R$ -82.795.000,R$ 86.064.000,Tradicional,"3,25%",-,R$ 8.000,Consumo Cíclico,Produção de Eventos e Shows,14/10/2024,
aheb5,"R$ 41,00","147,14%","2,80","2,61",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,54",-,-,"19,37%","30,50%","23,93%","24,96%","1,50","1,56","2,17","2,27","0,69","1,89","-1,70","15,72","14,65","1,27","93,20%","100,29%","24,55%","-0,62","-0,51","-0,54","0,02","0,26","0,74","2,55","41,27%",R$ 324.702.000,R$ 241.907.000,R$ 134.277.000, 8.543.000,R$ 509.841.000,R$ 304.025.000,R$ 3.269.000,R$ -82.795.000,R$ 86.064.000,Tradicional,"3,25%",-,R$ 4.000,Consumo Cíclico,Produção de Eventos e Shows,03/10/2024,
