Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Sem dados para mostrar,Ordinária,Preferencial,Unit
AALR3,ALLIAR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Prestação de serviços de medicina diagnóstica,AALR3,14/10/2024,ON,"R$ 14,70",1 Ação,"R$ 284,22 mil",ITR - 30/06/2024,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,"IGC, IGNM, ITAG","-7,96","1,60","1,46","10,40","20,18","0,65","44,50","-11,19","-0,99","59,52","15,65","1,96","13,91","26,99","0,86","R$ 1,74 B","R$ 2,33 B",30/06/2024,"R$ 14,70",14/10/2024,"0,00%","R$ 317,74 M","R$ 98,16 M","R$ 43,92 M","- R$ 26,60 M","R$ 70,51 M","R$ 433,00 mil","R$ 0,00","R$ 6,19","R$ 17,07","72,94%","41,21%","-29,56%","-16,05%","13,87%","4,42%","30,78%","6,93%","-20,70%","-4,53%","R$ 515,37 mil","2,29%","1,46%","3,46%","2,22%","-25,24%","-8,66%","29,80%","-18,37%","3,29%","12,50%","0,47","2,47","1,47","3,95","R$ 254,48 M","R$ 2,69 B","R$ 273,79 M","R$ 567,38 M","R$ 841,17 M","R$ 586,69 M","R$ 1,09 B","R$ 9,21",118.292.816,0,118.292.816,90.827,0,90.827,118.201.989,0,118.201.989,"R$ 142,64 M","- R$ 32,60 M","R$ 46,66 M","R$ 156,69 M","- R$ 23,95 M","R$ 118,68 M","- R$ 81,08 M","R$ 86,15 M",,,,,,,,,
ABCB4,ABC BRASIL,BCO ABC BRASIL S.A.,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,O Banco tem por objeto a prática de operações ativas. passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil.,ABCB4,14/10/2024,PN,"R$ 21,16",1 Ação,"R$ 10,26 M",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,"IBRA, IDIV, IFNC, IGC, IGCT, ITAG, SMLL","5,55","0,83","0,60","10,16",,"0,08",,,,,,,,,,"R$ 5,18 B",,30/06/2024,"R$ 21,16",14/10/2024,"7,21%",,,,,,"R$ 250,11 M",,"R$ 17,51","R$ 24,52","-4,12%","14,12%","13,03%","6,31%","67,43%","18,72%","124,07%","22,33%","61,43%","10,04%","R$ 14,41 M",,,,,"17,21%","1,72%","16,50%","10,88%",,,"0,16","10,80","9,80",,,"R$ 67,35 B",,,,,"R$ 6,24 B","R$ 25,48",122.961.704,121.695.153,244.656.857,0,4.561.796,4.561.796,122.961.704,117.133.357,240.095.061,"R$ 720,12 M","R$ 826,00 mil","- R$ 95,43 M","R$ 625,52 M","- R$ 21,24 M",,"- R$ 97,35 M",,"R$ 2,97 B","R$ 383,83 M","R$ 58,81 M",,,,,,
ABEV3,AMBEV S/A,AMBEV S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.,ABEV3,14/10/2024,ON,"R$ 12,92",1 Ação,"R$ 271,87 M",ITR - 30/06/2024,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,"AGFS, GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, INDX, ISE, MLCX","14,14","2,14","2,53","7,85","9,91","1,42","10,57","55,05","-4,58","10,02","7,59","2,39","7,43","9,39","1,34","R$ 203,59 B","R$ 192,89 B",30/06/2024,"R$ 12,92",14/10/2024,"5,65%","R$ 20,04 B","R$ 9,98 B","R$ 4,05 B","- R$ 1,62 B","R$ 5,66 B","R$ 2,40 B","R$ 0,15","R$ 11,09","R$ 13,97","-5,76%","4,74%","-3,50%","-1,76%","-4,03%","-1,36%","11,10%","2,67%","-15,95%","-3,41%","R$ 363,28 M","31,84%","16,51%","48,24%","25,02%","16,92%","10,80%","50,83%","17,85%","23,88%","31,53%","0,60","1,51","0,51","-0,42","R$ 14,15 B","R$ 143,44 B","R$ 1,24 B","R$ 2,21 B","R$ 3,46 B","- R$ 10,70 B","R$ 95,26 B","R$ 6,05",15.757.657.000,0,15.757.657.000,31.475.000,0,31.475.000,15.726.182.000,0,15.726.182.000,"R$ 3,36 B","- R$ 1,08 B","- R$ 1,70 B","R$ 1,31 B","- R$ 973,35 M","R$ 2,38 B","- R$ 5,41 B","R$ 20,54 B",,,,,,,,,
AERI3,AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.,AERI3,14/10/2024,ON,"R$ 6,46",1 Ação,"R$ 2,09 M",ITR - 30/06/2024,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,"GPTW, IBRA, IGC, IGCT, IGNM, ISE, ITAG, SMLL","-2,55","0,37","0,17","54,65","-26,56","0,11","3,60","0,48","-0,23","8,67","5,27","0,42","131,76","-64,03","0,26","R$ 401,30 M","R$ 967,55 M",30/06/2024,"R$ 6,46",14/10/2024,"0,00%","R$ 422,23 M","R$ 73,95 M","R$ 43,51 M","- R$ 30,54 M","R$ 74,05 M","- R$ 3,09 M","- R$ 0,05","R$ 5,09","R$ 20,20","-62,87%","-60,12%","-84,01%","-59,96%","-96,10%","-66,07%",-,-,-,-,"R$ 2,92 M","4,14%","4,13%","6,27%","6,26%","-18,65%","-4,94%","10,41%","-6,85%","4,86%","7,99%","0,72","3,34","2,34","3,09","R$ 977,43 M","R$ 3,65 B","R$ 531,79 M","R$ 1,01 B","R$ 1,54 B","R$ 566,25 M","R$ 1,09 B","R$ 17,62",62.120.196,0,62.120.196,885.255,0,885.255,61.234.941,0,61.234.941,"R$ 278,27 M","- R$ 23,71 M","R$ 19,57 M","R$ 275,99 M","- R$ 16,44 M","R$ 261,83 M","- R$ 22,45 M","- R$ 15,11 M",,,,,,,,,
AESB3,AES BRASIL,AES BRASIL ENERGIA S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,HOLDING DE INSTITUIÇÕES NÃO FINANCEIRAS,AESB3,14/10/2024,ON,"R$ 11,75",1 Ação,"R$ 64,87 M",ITR - 30/06/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,"IBRA, IEE, IGC, IGCT, IGNM, ISE, ITAG, SMLL, UTIL","-53,24","1,67","1,98","3,28","19,80","0,35","7,81","-7,09","-0,42","21,04","10,29","5,34","8,82","53,34","0,94","R$ 7,10 B","R$ 19,12 B",30/06/2024,"R$ 11,75",14/10/2024,"0,63%","R$ 871,85 M","R$ 212,66 M","R$ 153,11 M","- R$ 209,11 M","R$ 362,23 M","- R$ 138,97 M","- R$ 0,23","R$ 9,12","R$ 12,55","-0,88%","13,46%","27,92%","13,08%","-3,00%","-1,01%",-,-,-,-,"R$ 39,68 M","3,63%","3,76%","5,51%","5,69%","-3,03%","-0,67%","31,46%","-3,72%","25,36%","51,85%","0,18","4,76","3,76","6,47","R$ 170,67 M","R$ 20,30 B","R$ 3,19 B","R$ 9,00 B","R$ 12,19 B","R$ 12,02 B","R$ 4,26 B","R$ 7,08",601.927.311,0,601.927.311,0,0,0,601.927.311,0,601.927.311,"R$ 43,42 M","- R$ 256,98 M","R$ 264,94 M","R$ 51,37 M","- R$ 212,19 M","- R$ 168,77 M","- R$ 1,81 B","R$ 358,44 M",,,,,,,,,
AESO3,AESOPERACOES,AES BRASIL OPERAÇÕES S.A.,ATIVO,PARALISADA,Tradicional - BOVESPA,Geração e comercialização de energia elétrica,AESO3,NA,,NA,NA,NA,ITR - 30/06/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFLT3,AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Transmissão de Energia Elétrica,AFLT3,09/10/2024,ON,"R$ 7,03",1 Ação,"R$ 703,00",ITR - 30/06/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,"15,77","1,84","8,31","11,58","11,58","1,43","13,67","16,07","-10,92","12,92","12,84","7,85","10,94","10,94","1,35","R$ 443,49 M","R$ 418,99 M",30/06/2024,"R$ 7,03",09/10/2024,"8,28%","R$ 16,49 M","R$ 10,78 M","R$ 9,78 M","- R$ 49,00 mil","R$ 9,83 M","R$ 9,47 M","R$ 0,15","R$ 6,60","R$ 8,08","-10,17%","5,01%","-12,74%","-6,62%","-1,87%","-0,63%","-10,08%","-2,63%","-35,62%","-8,44%","R$ 4,10 mil","8,16%","8,81%","12,36%","13,35%","11,25%","9,17%","68,60%","52,68%","60,77%","61,14%","0,17","1,28","0,28","-0,75","R$ 24,53 M","R$ 309,59 M","R$ 34,00 mil","R$ 0,00","R$ 34,00 mil","- R$ 24,49 M","R$ 241,40 M","R$ 3,83",63.085.000,0,63.085.000,0,0,0,63.085.000,0,63.085.000,"R$ 10,84 M","- R$ 12,00 mil","- R$ 51,00 mil","R$ 10,78 M","- R$ 12,00 mil","R$ 10,83 M","- R$ 1.000,00","R$ 38,31 M",,,,,,,,,
AGRO3,BRASILAGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,ATIVO,FASE OPERACIONAL,Novo Mercado,EMPRESA DE DESENVOLVIMENTO AGROPECUARIO,AGRO3,14/10/2024,ON,"R$ 25,00",1 Ação,"R$ 4,93 M",DFP - 30/06/2024,Consumo não Cíclico,Agropecuária,Agricultura,"AGFS, IBRA, ICON, IDIV, IGC, IGCT, IGNM, ITAG, SMLL","11,32","1,18","2,42","14,10","22,59","0,71","13,82","4,49","-3,01","18,51","12,93","3,25","18,90","30,27","0,95","R$ 2,57 B","R$ 3,44 B",30/06/2024,"R$ 25,00",14/10/2024,"12,85%","R$ 506,04 M","R$ 279,47 M","R$ 241,32 M","- R$ 80,18 M","R$ 321,50 M","R$ 232,85 M","R$ 2,27","R$ 23,27","R$ 28,20","-3,99%","-2,52%","-0,33%","-0,17%","10,86%","3,49%","66,72%","13,62%","118,89%","16,94%","R$ 5,93 M","4,47%","4,57%","6,77%","6,92%","10,33%","6,47%","29,45%","21,42%","17,55%","25,12%","0,30","1,65","0,65","3,28","R$ 170,95 M","R$ 3,61 B","R$ 254,77 M","R$ 789,23 M","R$ 1,04 B","R$ 873,05 M","R$ 2,18 B","R$ 21,23",102.683.444,0,102.683.444,3.067.987,0,3.067.987,99.615.457,0,99.615.457,"R$ 141,52 M","- R$ 74,38 M","- R$ 118,21 M","- R$ 30,20 M","- R$ 27,92 M","R$ 113,60 M","- R$ 68,41 M","R$ 113,64 M",,,,,,,,,
AGXY3,AGROGALAXY,AGROGALAXY PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Comércio de insumos agrícolas (fertilizantes. defensivos biológicos. inoculantes e sementes) e de grãos,AGXY3,14/10/2024,ON,"R$ 0,53",1 Ação,"R$ 87,08 mil",ITR - 30/06/2024,Consumo não Cíclico,Agropecuária,Agricultura,"IGC, IGNM, ITAG","-0,26","0,19","0,02","-19,37","-2,25","0,02","-2,39","-0,31","-0,02","-20,93","11,84","0,16","-169,94","-19,73","0,18","R$ 134,91 M","R$ 1,18 B",30/06/2024,"R$ 0,53",14/10/2024,"0,00%","R$ 1,06 B","R$ 24,15 M","- R$ 153,99 M","- R$ 38,31 M","- R$ 115,69 M","- R$ 295,73 M","- R$ 1,16","R$ 0,53","R$ 4,21","-84,55%","-87,07%","-92,97%","-73,43%","-93,39%","-59,53%",-,-,-,-,"R$ 444,63 mil","-2,18%","-1,63%","-3,30%","-2,47%","-48,63%","-5,86%","9,19%","-6,90%","-0,76%","1,34%","0,85","9,24","8,24","10,49","R$ 393,26 M","R$ 6,51 B","R$ 806,93 M","R$ 635,08 M","R$ 1,44 B","R$ 1,05 B","R$ 705,14 M","R$ 2,77",254.543.576,0,254.543.576,3.395.679,0,3.395.679,251.147.897,0,251.147.897,"R$ 286,98 M","- R$ 180,35 M","- R$ 65,96 M","R$ 40,68 M","- R$ 1,69 M","R$ 285,30 M","- R$ 53,02 M","- R$ 59,99 M",,,,,,,,,
AHEB3,SPTURIS,SAO PAULO TURISMO S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fiscalização da concessão do Complexo Anhembi. produção e organização de eventos. formulação e execução da político de turismo do Município de São Paulo.,AHEB3,14/10/2024,ON,"R$ 38,00",1 Ação,"R$ 3,80 mil",ITR - 30/06/2024,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,-,"2,59","2,42","0,50","6,41","6,44","0,64","2,10","1,76","-1,70","1,57","1,50","0,37","4,78","4,81","0,48","R$ 325,08 M","R$ 242,28 M",30/06/2024,"R$ 38,00",14/10/2024,"0,00%","R$ 125,49 M","R$ 16,07 M","R$ 12,88 M","- R$ 1,76 M","R$ 14,65 M","R$ 20,17 M","R$ 2,36","R$ 14,99","R$ 38,00","145,16%","137,50%","90,00%","37,54%","51,94%","14,90%","52,61%","11,14%","30,72%","5,48%","R$ 2,71 mil","46,14%","-426,40%","69,91%","-646,06%","1.459,06%","34,05%","30,50%","19,37%","23,93%","25,00%","1,76","3,80","2,80","-0,51","R$ 86,06 M","R$ 509,84 M","R$ 1,17 M","R$ 2,10 M","R$ 3,27 M","- R$ 82,80 M","R$ 134,28 M","R$ 15,72",8.407.000,135.000,8.542.000,0,1.000,1.000,8.407.000,134.000,8.541.000,"- R$ 26,32 M","- R$ 35,00 mil","- R$ 332,00 mil","- R$ 26,68 M","- R$ 35,00 mil","- R$ 26,35 M","- R$ 297,00 mil","R$ 50,39 M",,,,,,,,,
