Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Ordinária,Preferencial,Sem dados para mostrar,Unit
AALR3,ALLIAR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Prestação de serviços de medicina diagnóstica,AALR3,27/11/2024,ON,"R$ 12,35",1 Ação,"R$ 69,01 mil",ITR - 30/09/2024,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,"IGC, IGNM, ITAG","-8,86","1,27","1,21","7,42","13,71","0,55","22,18","-10,07","-0,89","30,80","11,71","1,68","10,30","19,03","0,77","R$ 1,46 B","R$ 2,03 B",30/09/2024,"R$ 12,35",27/11/2024,"0,00%","R$ 317,88 M","R$ 99,43 M","R$ 44,57 M","- R$ 26,60 M","R$ 71,17 M","R$ 1,80 M","R$ 0,02","R$ 6,19","R$ 17,07","45,29%","17,51%","-39,61%","-22,21%","-33,78%","-12,82%","10,76%","2,59%","-34,87%","-8,21%","R$ 319,99 mil","3,86%","2,45%","5,85%","3,72%","-16,24%","-6,00%","30,37%","-13,69%","5,47%","14,37%","0,44","2,30","1,30","3,28","R$ 167,70 M","R$ 2,64 B","R$ 240,38 M","R$ 494,59 M","R$ 734,97 M","R$ 567,27 M","R$ 1,15 B","R$ 9,70",118.292.816,0,118.292.816,90.827,0,90.827,118.201.989,0,118.201.989,"R$ 47,26 M","- R$ 43,99 M","- R$ 90,05 M","- R$ 86,78 M","- R$ 30,10 M","R$ 17,16 M","- R$ 90,37 M","R$ 106,59 M",,,,,,,,,
ABCB4,ABC BRASIL,BCO ABC BRASIL S.A.,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,O Banco tem por objeto a prática de operações ativas. passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil.,ABCB4,27/11/2024,PN,"R$ 20,87",1 Ação,"R$ 16,83 M",ITR - 30/09/2024,Financeiro,Intermediários Financeiros,Bancos,"IBRA, IDIV, IFNC, IGC, IGCT, ITAG, SMLL","5,32","0,80","0,67","20,09",,"0,07",,,,,,,,,,"R$ 5,11 B",,30/09/2024,"R$ 20,87",27/11/2024,"7,31%",,,,,,"R$ 255,07 M",,"R$ 20,01","R$ 24,52","-5,43%","3,80%","20,10%","9,55%","58,59%","16,58%","82,98%","16,29%","56,75%","9,40%","R$ 11,94 M",,,,,"16,77%","1,72%","19,47%","12,58%",,,"0,14","10,85","9,85",,,"R$ 69,21 B",,,,,"R$ 6,38 B","R$ 26,07",122.961.704,121.695.153,244.656.857,0,4.561.796,4.561.796,122.961.704,117.133.357,240.095.061,"R$ 512,11 M","- R$ 16,30 M","- R$ 104,16 M","R$ 391,38 M","- R$ 16,54 M",,"- R$ 86,93 M",,"R$ 1,37 B","R$ 428,15 M","R$ 60,19 M",,,,,,
ABEV3,AMBEV S/A,AMBEV S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.,ABEV3,27/11/2024,ON,"R$ 12,55",1 Ação,"R$ 612,41 M",ITR - 30/09/2024,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,"AGFS, GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, INDX, ISE, MLCX","14,18","2,02","2,40","7,57","9,50","1,34","10,03","28,25","-4,69","9,20","6,99","2,20","6,94","8,71","1,23","R$ 197,76 B","R$ 181,35 B",30/09/2024,"R$ 12,55",27/11/2024,"5,82%","R$ 22,10 B","R$ 11,12 B","R$ 5,35 B","- R$ 1,66 B","R$ 7,02 B","R$ 3,46 B","R$ 0,22","R$ 11,09","R$ 13,97","-8,46%","-2,75%","-11,85%","-6,09%","-13,48%","-4,70%","4,00%","0,99%","-14,90%","-3,17%","R$ 351,91 M","33,65%","16,99%","50,98%","25,74%","15,45%","10,11%","50,98%","16,92%","23,92%","31,49%","0,60","1,50","0,50","-0,63","R$ 19,78 B","R$ 147,29 B","R$ 1,21 B","R$ 2,17 B","R$ 3,38 B","- R$ 16,40 B","R$ 98,14 B","R$ 6,23",15.757.657.000,0,15.757.657.000,29.482.000,0,29.482.000,15.728.175.000,0,15.728.175.000,"R$ 8,11 B","- R$ 1,13 B","- R$ 1,09 B","R$ 5,63 B","- R$ 1,16 B","R$ 6,95 B","- R$ 5,31 B","R$ 20,82 B",,,,,,,,,
AERI3,AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.,AERI3,27/11/2024,ON,"R$ 5,35",1 Ação,"R$ 1,86 M",ITR - 30/09/2024,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,"GPTW, IBRA, IGC, IGCT, IGNM, ISE, ITAG, SMLL","-2,02","0,32","0,17","2,82","3,69","0,09","4,46","0,82","-0,16","12,15","5,86","0,45","7,67","10,04","0,25","R$ 332,34 M","R$ 904,40 M",30/09/2024,"R$ 5,35",27/11/2024,"0,00%","R$ 367,43 M","R$ 33,67 M","R$ 953,00 mil","- R$ 30,18 M","R$ 31,14 M","- R$ 56,68 M","- R$ 0,91","R$ 5,09","R$ 20,20","-69,25%","-68,90%","-83,07%","-58,70%","-96,40%","-66,92%","-96,02%","-55,30%",-,-,"R$ 2,32 M","2,68%","2,67%","4,06%","4,05%","-20,23%","-4,31%","10,14%","-8,21%","3,71%","7,69%","0,53","3,45","2,45","3,70","R$ 881,32 M","R$ 3,58 B","R$ 798,62 M","R$ 654,76 M","R$ 1,45 B","R$ 572,06 M","R$ 1,04 B","R$ 16,70",62.120.196,0,62.120.196,835.255,0,835.255,61.284.941,0,61.284.941,"- R$ 58,84 M","- R$ 29,38 M","- R$ 7,89 M","- R$ 96,10 M","- R$ 16,39 M","- R$ 75,23 M","- R$ 27,79 M","R$ 90,07 M",,,,,,,,,
AESO3,AESOPERACOES,AES BRASIL OPERAÇÕES S.A.,ATIVO,PARALISADA,Tradicional - BOVESPA,Geração e comercialização de energia elétrica,AESO3,NA,ON,NA,NA,NA,ITR - 30/09/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,30/09/2024,"R$ 0,00",//0,"0,00%","R$ 948,47 M","R$ 174,51 M","R$ 99,73 M","- R$ 130,04 M","R$ 229,77 M","- R$ 45,92 M","- R$ 0,02",,,,,,,,,,,,,,"4,49%","5,02%","6,81%","7,61%","-0,36%","-0,09%","26,80%","-0,31%","19,74%","35,66%","0,29","4,29","3,29","4,97","R$ 135,33 M","R$ 11,26 B","R$ 1,09 B","R$ 4,89 B","R$ 5,99 B","R$ 5,85 B","R$ 2,63 B","R$ 1,29",2.031.549.574,0,2.031.549.574,0,0,0,2.031.549.574,0,2.031.549.574,"R$ 323,03 M","- R$ 179,55 M","- R$ 164,45 M","- R$ 20,97 M","- R$ 58,05 M","R$ 264,97 M","- R$ 164,13 M","R$ 582,79 M",,,,,,,,,
AFLT3,AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Transmissão de Energia Elétrica,AFLT3,27/11/2024,ON,"R$ 6,79",1 Ação,"R$ 2,04 mil",ITR - 30/09/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,"18,96","1,73","7,82","14,02","14,17","1,36","14,49","14,99","-11,22","13,78","13,55","7,43","13,33","13,47","1,30","R$ 428,35 M","R$ 407,21 M",30/09/2024,"R$ 6,79",27/11/2024,"8,58%","R$ 20,68 M","R$ 9,69 M","R$ 9,17 M","- R$ 353,00 mil","R$ 9,52 M","R$ 6,06 M","R$ 0,10","R$ 6,60","R$ 8,08","-13,24%","-4,03%","-17,50%","-9,13%","-5,44%","-1,84%","-14,10%","-3,72%","-32,35%","-7,51%","R$ 3,61 mil","7,25%","7,81%","10,98%","11,83%","8,64%","7,22%","59,79%","41,22%","53,93%","54,84%","0,18","1,27","0,27","-0,70","R$ 21,14 M","R$ 314,21 M","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 21,14 M","R$ 247,46 M","R$ 3,92",63.085.000,0,63.085.000,0,0,0,63.085.000,0,63.085.000,"- R$ 3,27 M","- R$ 84,00 mil","- R$ 34,00 mil","- R$ 3,39 M","- R$ 84,00 mil","- R$ 3,35 M","- R$ 316,00 mil","R$ 30,24 M",,,,,,,,,
AGRO3,BRASILAGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,ATIVO,FASE OPERACIONAL,Novo Mercado,EMPRESA DE DESENVOLVIMENTO AGROPECUARIO,AGRO3,27/11/2024,ON,"R$ 23,61",1 Ação,"R$ 6,04 M",ITR - 30/09/2024,Consumo não Cíclico,Agropecuária,Agricultura,"AGFS, IBRA, ICON, IDIV, IGC, IGCT, IGNM, ITAG, SMLL","8,24","1,07","1,97","123,64","-42,34","0,63","8,06","4,18","-2,41","11,47","8,84","2,80","175,93","-60,25","0,89","R$ 2,42 B","R$ 3,45 B",30/09/2024,"R$ 23,61",27/11/2024,"6,59%","R$ 435,84 M","R$ 134,68 M","R$ 99,98 M","- R$ 41,11 M","R$ 141,09 M","R$ 97,46 M","R$ 0,95","R$ 21,81","R$ 26,43","-3,28%","3,86%","2,50%","1,24%","35,29%","10,58%","37,76%","8,33%","122,83%","17,36%","R$ 6,12 M","7,01%","7,16%","10,63%","10,86%","13,08%","8,50%","34,91%","23,93%","24,45%","31,74%","0,36","1,70","0,70","2,63","R$ 157,84 M","R$ 3,86 B","R$ 291,95 M","R$ 891,13 M","R$ 1,18 B","R$ 1,03 B","R$ 2,27 B","R$ 22,10",102.683.444,0,102.683.444,0,0,0,102.683.444,0,102.683.444,"R$ 20,16 M","- R$ 41,04 M","R$ 7,80 M","- R$ 13,12 M","- R$ 23,48 M","- R$ 3,33 M","- R$ 76,86 M","- R$ 57,25 M",,,,,,,,,
AGXY3,AGROGALAXY,AGROGALAXY PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Comércio de insumos agrícolas (fertilizantes. defensivos biológicos. inoculantes e sementes) e de grãos,AGXY3,27/11/2024,ON,"R$ 0,47",1 Ação,"R$ 1,60 M",ITR - 30/06/2024,Consumo não Cíclico,Agropecuária,Agricultura,"IGC, IGNM, ITAG","-0,23","0,17","0,02","-17,18","-1,99","0,02","-2,12","-0,27","-0,02","-20,66","11,69","0,16","-167,75","-19,48","0,18","R$ 119,64 M","R$ 1,17 B",30/06/2024,"R$ 0,47",27/11/2024,"0,00%","R$ 1,06 B","R$ 24,15 M","- R$ 153,99 M","- R$ 38,31 M","- R$ 115,69 M","- R$ 295,73 M","- R$ 1,16","R$ 0,39","R$ 4,13","-86,30%","-88,62%","-94,71%","-76,85%","-94,03%","-60,86%",-,-,-,-,"R$ 290,71 mil","-2,18%","-1,63%","-3,30%","-2,47%","-48,63%","-5,86%","9,19%","-6,90%","-0,76%","1,34%","0,85","9,24","8,24","10,49","R$ 393,26 M","R$ 6,51 B","R$ 806,93 M","R$ 635,08 M","R$ 1,44 B","R$ 1,05 B","R$ 705,14 M","R$ 2,77",254.543.576,0,254.543.576,3.395.679,0,3.395.679,251.147.897,0,251.147.897,"R$ 286,98 M","- R$ 180,35 M","- R$ 65,96 M","R$ 40,68 M","- R$ 1,69 M","R$ 285,30 M","- R$ 53,02 M","- R$ 59,99 M",,,,,,,,,
AHEB3,SPTURIS,SAO PAULO TURISMO S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fiscalização da concessão do Complexo Anhembi. produção e organização de eventos. formulação e execução da político de turismo do Município de São Paulo.,AHEB3,27/11/2024,ON,"R$ 38,00",1 Ação,"R$ 3,80 mil",ITR - 30/09/2024,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,-,"2,27","2,03","0,45","4,76","4,79","0,63","2,03","1,60","-2,13","1,60","1,53","0,36","3,76","3,78","0,50","R$ 325,08 M","R$ 256,20 M",30/09/2024,"R$ 38,00",27/11/2024,"0,00%","R$ 186,42 M","R$ 22,69 M","R$ 14,83 M","- R$ 1,88 M","R$ 16,71 M","R$ 26,00 M","R$ 3,04","R$ 14,99","R$ 38,00","145,16%","137,50%","90,00%","37,60%","43,40%","12,73%","52,00%","11,02%","22,58%","4,09%","R$ 2,04 mil","40,97%","760,28%","62,08%","1.151,94%","856,83%","38,51%","28,07%","20,02%","22,41%","23,40%","1,92","3,22","2,22","-0,41","R$ 73,50 M","R$ 515,82 M","R$ 1,57 M","R$ 3,05 M","R$ 4,62 M","- R$ 68,88 M","R$ 160,22 M","R$ 18,76",8.407.000,135.000,8.542.000,0,1.000,1.000,8.407.000,134.000,8.541.000,"- R$ 12,25 M","- R$ 1,77 M","R$ 1,45 M","- R$ 12,57 M","- R$ 24,00 mil","- R$ 12,27 M","- R$ 312,00 mil","R$ 67,83 M",,,,,,,,,
AHEB5,SPTURIS,SAO PAULO TURISMO S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fiscalização da concessão do Complexo Anhembi. produção e organização de eventos. formulação e execução da político de turismo do Município de São Paulo.,AHEB5,16/10/2024,PNA,"R$ 41,00",1 Ação,"R$ 8,20 mil",ITR - 30/09/2024,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,-,"2,45","2,19","0,49","5,14","5,16","0,68","2,19","1,73","-2,29","1,60","1,53","0,36","3,76","3,78","0,50","R$ 325,08 M","R$ 256,20 M",30/09/2024,"R$ 41,00",16/10/2024,"0,00%","R$ 186,42 M","R$ 22,69 M","R$ 14,83 M","- R$ 1,88 M","R$ 16,71 M","R$ 26,00 M","R$ 3,04","R$ 16,59","R$ 41,00","147,14%","147,14%",-,-,"78,26%","22,09%","73,36%","14,51%",-,-,"R$ 561,54","40,97%","760,28%","62,08%","1.151,94%","856,83%","38,51%","28,07%","20,02%","22,41%","23,40%","1,92","3,22","2,22","-0,41","R$ 73,50 M","R$ 515,82 M","R$ 1,57 M","R$ 3,05 M","R$ 4,62 M","- R$ 68,88 M","R$ 160,22 M","R$ 18,76",8.407.000,135.000,8.542.000,0,1.000,1.000,8.407.000,134.000,8.541.000,"- R$ 12,25 M","- R$ 1,77 M","R$ 1,45 M","- R$ 12,57 M","- R$ 24,00 mil","- R$ 12,27 M","- R$ 312,00 mil","R$ 67,83 M",,,,,,,,,
