Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
aalr3,"11,85","6,19","17,07",-,"-0,84%",ON,"0,000",0,"1,44","1,44",14.481,128.736,9,1.119.655.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.692.409.000,563.769.000,841.166.000,254.478.000,586.688.000,1.401.769.870,1.988.457.870,Novo Mercado,"6,83%",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,6.067,124,42,5.901,-,
abcb4,"20,01","20,01","24,65","7,63","-2,91%",PN,"0,000",46,"0,06","0,06",599.637,14.978.932,32,6.378.306.000,"0,8360","0,7850","6,10%","0,0000","6,10%",69.206.300.000,5.331.598.000,-,5.331.598.000,-,4.895.583.709,4.895.583.709,Nível 2,"30,23%",Financeiro e Outros,Intermediários Financeiros,Bancos,40.904,282,474,40.148,-,
abev3,"12,50","11,09","14,07","5,84","-7,27%",ON,"2,661",273,"0,17","0,17",4.646.374,57.847.356,458,98.140.388.000,"0,0000","0,0000","0,00%","0,0000","0,00%",147.286.361.000,42.672.930.000,3.380.273.000,20.939.039.000,-17.558.766.000,196.970.716.700,179.411.950.700,,"27,89%",Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,310.643,652,1.897,308.094,-,
adhm3,"1,56",-,-,-,-%,ON,"0,000",0,"5,00","5,00",38,72,1,-19.776.000,"0,0000","0,0000","0,00%","0,0000","0,00%",242.000,23.000,0,0,0,25.439.770,25.439.770,,--%,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,709,0,15,694,-,
aeri3,"5,01","5,01","20,20",-,"-70,53%",ON,"0,000",3,"0,46","0,46",1.112.102,622.777,28,1.037.685.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.580.115.000,2.285.015.000,1.453.382.000,881.323.000,572.059.000,311.222.182,883.281.182,Novo Mercado,"57,08%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,82.804,213,223,82.368,-,
aesb3,"8,12","8,11","12,54","0,92","-25,44%",ON,"0,000",13,"0,06","0,06",629.250,6.412.058,65,4.184.441.000,"0,0000","0,0746","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,4.904.883.418,15.185.011.418,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,210.278,312,674,209.292,-,
aflt3,"6,78","6,61","8,09","1,88","-3,83%",ON,"0,000",0,"2,75","2,75",400,3.484,2,247.459.000,"0,2626","0,1272","51,55%","0,0000","51,55%",314.207.000,77.347.000,0,21.139.000,-21.139.000,427.714.266,406.575.266,,"1,33%",Utilidade Pública,Energia Elétrica,Energia Elétrica,3.360,102,172,3.086,-,
agro3,"23,47","21,81","26,43","6,63","1,73%",ON,"0,000",16,"0,15","0,15",245.764,6.094.947,53,2.179.679.000,"3,2124","1,5560","51,56%","0,0000","51,56%",3.605.082.000,1.099.490.000,1.043.998.000,193.894.000,850.104.000,2.409.980.431,3.260.084.431,Novo Mercado,"61,82%",Consumo não Cíclico,Agropecuária,Agricultura,116.757,220,372,116.165,-,
agxy3,"0,68","0,39","4,06",-,"-83,25%",ON,"0,000",0,"6,41","6,41",30.343,60.686,18,705.136.000,"0,0397","0,0000","100,00%","0,0000","100,00%",6.513.329.000,4.248.707.000,1.442.012.000,393.261.000,1.048.751.000,173.089.632,1.221.840.632,Novo Mercado,"31,94%",Consumo não Cíclico,Agropecuária,Agricultura,1.842,60,7,1.775,-,
aheb3,"38,00","14,99","38,00",-,"123,40%",ON,"0,000",0,"2,00","2,00",11,0,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,324.327.930,255.446.930,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
