Ticker,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2024,P/Ativos,Marg. Líquida,2023,P/Cap. Giro,EBIT / Ativo,2022,P/Ativ Circ Liq,ROIC,2021,Div. Yield,ROE,2020,EV / EBITDA,Liquidez Corr,2019,EV / EBIT,Div Br/ Patrim,,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,EBIT,Lucro Líquido,2018,2017,2016,2015,2014,2013,Depósitos,Cart. de Crédito,Result Int Financ,Rec Serviços,1,-1,-2,-3,-4,2012,2011,2010
AALR3 ,AALR3,"10,94",ON NM,10/12/2024,ALLIAR ON NM,"6,19",Serv.Méd.Hospit. Análises e Diagnósticos,"17,07",Serv.Méd.Hospit. Análises e Diagnósticos,261.315,1.294.130.000,30/09/2024,1.861.400.000,118.293.000,"-0,27%","-7,85","-1,39","-8,83%","1,13","9,70","-26,03%","16,45","30,4%","-3,36%","1,07","6,5%","5,19%","0,49","-12,9%","-51,85%","-8,92","3,0%","44,29%","-1,33","3,3%","34,86%","0,0%","-14,4%","-38,03%","10,01","0,77","37,78%","23,66","0,64",,"6,0%","0,46",2.636.350.000,734.972.000,167.701.000,567.271.000,480.300.000,1.147.410.000,317.879.000,45.353.000,1.804.000,,,,,,,,,,,,,,,,,,
ABCB3,ABCB3,"0,00",ON N2,30/12/1899,ABC Brasil ON N2,"0,00",Intermediários Financeiros,"0,00",Bancos,0,0,30/09/2024,-,244.657.000,"0,00%","0,00","0,00","0,00%","0,00","0,00","0,00%",-,-,"0,00%",-,-,,-,"0,0%",,-,"0,0%",,-,-,,"0,0%","15,0%",,-,-,,-,-,,"136,6%",-,69.206.300.000,,,,,6.378.310.000,,,255.070.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",0,0,428.146.000,60.188.000,,,,,,,,
ABCB4,ABCB4,"20,63",PN N2,10/12/2024,ABC Brasil PN N2,"19,99",Intermediários Financeiros,"24,65",Bancos,13.377.900,5.047.270.000,30/09/2024,-,244.657.000,"0,34%","5,26","3,92","1,98%","0,79","26,07","0,29%",-,-,"-4,40%",-,-,"-12,23%",-,"0,0%","35,92%",-,"0,0%","31,86%",-,-,"7,66%","7,3%","15,0%","-20,08%",-,-,"20,90%",-,-,,"136,6%",-,69.206.300.000,,,,,6.378.310.000,,,255.070.000,,,,,,,0,0,428.146.000,60.188.000,,,,,,,,
ABEV3,ABEV3,"14,27",ON,10/12/2024,AMBEV S/A ON,"11,09",Bebidas,"14,42",Cervejas e Refrigerantes,420.844.000,224.862.000.000,30/09/2024,207.303.000.000,15.757.700.000,"0,42%","16,13","0,88","12,10%","2,29","6,23","15,73%","12,79","51,0%","4,12%","2,73","21,3%","3,93%","1,53","17,4%","-1,27%","32,12","11,9%","-1,65%","-39,25","16,4%","2,39%","5,1%","14,2%","-14,20%","8,70","1,20","18,17%","11,79","0,03",,"10,0%","0,56",147.286.000.000,3.380.270.000,20.939.000.000,-17.558.800.000,42.672.900.000,98.140.400.000,22.096.700.000,4.737.860.000,3.460.270.000,,,,,,,,,,,,,,,,,,
ABRE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABYA3,ABYA3,"4,91",ON NM,11/02/2010,ABYARA ON NM,"0,00",Construção Civil,"0,00",Incorporações,0,515.088.000,31/03/2010,868.691.000,104.906.000,"0,00%","-214,80","-0,02","0,00%","1,76","2,78","0,00%","19,96","32,0%","0,00%","2,05","10,3%",,"0,53","-1,0%",,"1,98","2,6%",,"-2,75","2,8%",,"0,0%","-0,8%",,"33,67","2,09",,"33,67","1,31",,"16,4%","0,26",978.287.000,383.159.000,29.556.000,353.603.000,498.222.000,292.060.000,67.990.000,18.057.000,-766.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ACES3,ACES3,"95,27",ON,18/04/2008,ARCELORMITTAL INOX BRASIL ON,"0,00",Siderurgia e Metalurgia,"0,00",Siderurgia,0,7.080.470.000,31/12/2007,6.437.160.000,74.320.000,"0,00%","8,79","10,84","0,00%","2,28","41,79","0,00%","7,20","32,8%","0,00%","1,69","23,5%",,"1,44","19,3%",,"6,40","20,0%",,"20,77","26,9%",,"0,0%","25,9%",,"6,54","2,05",,"6,54","0,09",,"13,3%","0,85",4.922.360.000,279.166.000,922.471.000,-643.305.000,2.157.470.000,3.105.800.000,949.114.000,174.503.000,163.789.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ACES4,ACES4,"94,73",PN,24/04/2008,ARCELORMITTAL INOX BRASIL PN,"0,00",Siderurgia e Metalurgia,"0,00",Siderurgia,0,7.040.330.000,31/12/2007,6.397.030.000,74.320.000,"0,00%","8,74","10,84","0,00%","2,27","41,79","0,00%","7,16","32,8%","0,00%","1,68","23,5%",,"1,43","19,3%",,"6,37","20,0%",,"20,65","26,9%",,"0,0%","25,9%",,"6,50","2,05",,"6,50","0,09",,"13,3%","0,85",4.922.360.000,279.166.000,922.471.000,-643.305.000,2.157.470.000,3.105.800.000,949.114.000,174.503.000,163.789.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ADHM3,ADHM3,"1,56",ON,28/12/2020,ADVANCED-DH ON,"1,07",,"3,24",,2.064,25.440.500,30/09/2019,25.440.500,16.308.000,"0,00%","-4,09","-0,38","0,00%","-1,29","-1,21","0,00%","-5,69","100,0%","-32,86%","770,92","-13.548,5%",,"105,13","-18.860,6%",,"-1,43","-1.847,5%",,"-1,27","521,7%","0,00%","0,0%","31,5%","-26,49%","-5,81","0,00","74,67%","-5,69",-,,"43,5%","0,14",242.000,0,0,0,23.000,-19.776.000,33.000,-993.000,-2.492.000,"-26,48%","-35,44%","0,00%",,,,,,,,,,,,,,,
AEDU11,AEDU11,"37,35",UNT,03/12/2010,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,"0,00",Diversos,"0,00",Serviços Educacionais,0,2.720.770.000,30/06/2014,3.151.340.000,437.071.000,"0,00%","20,13","1,86","0,00%","1,13","33,16","0,00%","13,93","43,2%","0,00%","1,40","10,1%",,"0,73","7,0%",,"5,77","5,3%",,"-7,31","5,8%",,"0,0%","5,6%",,"10,82","2,04",,"16,14","0,30",,"20,9%","0,52",3.714.530.000,731.941.000,301.371.000,430.570.000,926.990.000,2.415.400.000,506.551.000,23.264.000,28.726.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
