Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
METALURGICA RIOSULENSE,RSUL4,255.0,0.94,28.53,642536.88,[]
DOMMO ENERGIA,DMMO3,0.87,2.21,41.09,6895029.18,[]
METISA,MTSA4,41.29,2.55,18.82,213312.39,[]
MINUPAR,MNPR3,15.22,2.86,14.58,899709.63,[]
METALURGICA GERDAU,GOAU4,14.59,3.0,16.23,150364533.05,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.11,3.34,17.09,14742444.29,[]
HAGA S/A,HAGA4,2.84,3.48,27.46,809600.68,[]
MARFRIG,MRFG3,18.5,3.84,11.56,179029386.55,[]
ALUPAR,ALUP4,9.35,4.02,58.47,261769.79,[]
CYRELA,CYRE3,23.19,4.27,58.05,134765737.26,[]
WIZ,WIZS3,11.4,4.46,40.75,39135010.18,[]
CELESC,CLSC4,68.71,4.87,8.09,427446.16,[]
ISA CTEEP,TRPL4,27.02,4.91,118.1,36707816.58,[]
CSN MINERAÇÃO S.A.,CMIN3,9.03,5.12,51.9,119746822.45,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,26.07,5.18,45.61,1715383672.29,[]
COPEL,CPLE6,6.21,5.27,22.77,69471365.71,[]
RANDON,RAPT4,15.0,5.27,20.38,40684854.84,[]
TAURUS ARMAS,TASA4,24.92,5.39,27.8,54424108.24,[]
TAESA,TAEE4,13.2,5.47,92.32,3597484.08,[]
USIMINAS,USIM5,19.64,5.61,24.81,467218927.95,[]
CIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,37.55,5.66,6.0,212925579.92,[]
SER EDUCACIONAL,SEER3,14.02,5.7,25.09,9213163.34,[]
MINERVA,BEEF3,9.81,5.71,8.97,109138240.29,[]
EDP Brasil,ENBR3,19.03,5.72,20.92,66090544.61,[]
SANEPAR,SAPR4,4.15,5.75,32.74,16413110.47,[]
JHSF,JHSF3,7.52,5.81,69.99,40081925.11,[]
CEMIG,CMIG4,13.48,5.82,21.87,121687103.03,[]
JBS,JBSS3,30.4,5.84,7.91,430830208.66,[]
GPC PARTICIPAÇÕES,GPCP3,37.71,5.89,19.28,7451631.5,[]
UNIPAR CARBOCLORO,UNIP6,85.93,6.0,27.88,32150967.87,[]
CIA SIDERURGICA NACIONAL,CSNA3,44.45,6.07,34.92,572421122.03,[]
GRAZZIOTIN,CGRA4,33.7,6.1,18.83,521484.03,[]
POSITIVO,POSI3,13.21,6.48,13.26,126613555.58,[]
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,NUTR3,240.0,6.72,6.76,218161.73,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,7.7,6.88,31.04,11925773.53,[]
VALE,VALE3,109.75,6.94,34.21,2715964037.61,[]
LIGHT,LIGT3,17.48,6.95,12.79,37111021.61,[]
COPASA,CSMG3,17.51,7.09,24.2,37317463.32,[]
PETROBRAS DISTRIBUIDORA,BRDT3,25.44,7.2,5.72,203694586.76,[]
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,6.0,7.28,17.84,5475628.66,[]
EUCATEX,EUCA3,22.49,7.59,12.1,295772.5,[]
EUCATEX,EUCA4,10.9,7.59,12.1,4652051.55,[]
GERDAU,GGBR3,27.37,7.68,16.26,4919408.47,[]
GERDAU,GGBR4,32.41,7.68,16.26,500583184.29,[]
COELCE,COCE5,56.9,7.77,6.4,1056163.92,[]
EQUATORIAL ENERGIA,EQTL3,25.52,7.77,26.03,169999561.18,[]
CAMIL,CAML3,9.84,7.86,8.33,15461295.71,[]
ENGIE BRASIL,EGIE3,40.66,7.89,46.31,61969363.76,[]
BOMBRIL,BOBR4,2.35,7.93,6.49,417085.61,[]
MANGELS INDUSTRIAL,MGEL4,16.94,8.14,16.06,239563.63,[]
DIRECIONAL ENGENHARIA,DIRR3,12.87,8.24,15.49,19080474.58,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,66.89,8.25,23.7,294351.24,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,70.8,8.25,23.7,922783.84,[]
SCHULZ,SHUL4,10.38,8.4,14.02,5632291.58,[]
ELECTRO ACO ALTONA,EALT4,6.18,8.41,12.86,485935.89,[]
WHIRLPOOL,WHRL4,8.13,8.45,10.9,235192.92,[]
CONSTRUTORA TENDA,TEND3,24.19,8.72,11.89,25076106.45,[]
NEOENERGIA,NEOE3,18.22,8.75,16.39,36755214.05,[]
LOPES BRASIL,LPSB3,3.84,8.83,26.03,4543737.66,[]
CPFL ENERGIA,CPFE3,29.25,8.85,16.88,65169685.53,[]
TERRA SANTA AGRO,TESA3,44.18,8.91,16.93,1682880.58,[]
SLC AGRICOLA,SLCE3,48.32,9.06,25.03,72199885.08,[]
SABESP,SBSP3,41.75,9.15,24.93,119129541.29,[]
TRISUL,TRIS3,10.05,9.36,23.01,11262540.16,[]
FRAS-LE,FRAS3,11.28,9.41,16.16,3069303.39,[]
BRASILAGRO,AGRO3,30.68,9.55,34.26,38640356.18,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.5,9.61,254.89,10796209.95,[]
JALLES MACHADO S.A.,JALL3,8.68,9.75,40.67,6071621.21,[]
Irani Papel e Embalagem S.A.,RANI3,7.4,9.78,18.84,21287308.24,[]
ELETROBRAS,ELET6,42.93,9.97,31.95,115100285.21,[]
ELETROBRAS,ELET3,43.02,9.97,31.95,263870506.68,[]
ENERGISA,ENGI3,17.47,9.97,15.04,294461.13,[]
ENERGISA,ENGI4,7.27,9.97,15.04,354958.79,[]
CESP,CESP3,28.3,10.07,47.26,321677.11,[]
CESP,CESP6,25.24,10.07,47.26,54412771.63,[]
PROFARMA,PFRM3,6.37,10.09,2.05,3093746.47,[]
BATTISTELLA,BTTL3,19.41,10.16,6.52,340995.05,[]
ENAUTA PARTICIPAÇÕES,ENAT3,15.61,10.18,36.62,28892309.24,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.77,10.19,19.46,276542.18,[]
ATACADÃO,CRFB3,21.42,10.25,6.8,82843049.79,[]
REDE ENERGIA,REDE3,7.98,10.25,18.77,298028.29,[]
SPRINGS,SGPS3,11.4,10.29,7.82,1552285.16,[]
BIOSEV,BSEV3,9.0,10.39,14.14,1546800.9,[]
ODONTOPREV,ODPV3,12.66,10.4,32.09,14698196.97,[]
UNICASA,UCAS3,4.8,10.52,14.51,973897.16,[]
BRASKEM,BRKM3,51.15,10.61,9.17,1568799.53,[]
BRASKEM,BRKM5,51.66,10.61,9.17,206533156.76,[]
SÃO MARTINHO,SMTO3,32.95,10.72,35.23,33840595.74,[]
