Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
MINUPAR,MNPR3,12.89,2.42,14.58,1023769.13,[]
METALURGICA GERDAU,GOAU4,15.38,3.1,16.23,147010284.17,[]
HAGA S/A,HAGA4,2.69,3.37,27.46,652316.7,[]
METISA,MTSA4,39.33,3.69,18.82,228194.87,[]
MARFRIG,MRFG3,18.57,3.85,11.56,145494639.77,[]
ALUPAR,ALUP4,9.21,4.0,58.47,273061.53,[]
BOMBRIL,BOBR4,2.46,4.28,11.13,474689.93,[]
WIZ,WIZS3,10.9,4.57,40.46,37400423.1,[]
CYRELA,CYRE3,23.72,4.69,57.66,121986152.3,[]
ISA CTEEP,TRPL4,25.35,4.69,118.1,39896331.63,[]
CELESC,CLSC4,68.01,4.89,8.09,430380.27,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.27,4.93,16.28,13600010.03,[]
COPEL,CPLE6,5.83,5.08,22.77,77625927.8,[]
TAURUS ARMAS,TASA4,23.14,5.16,27.8,56926296.67,[]
CSN MINERAÇÃO S.A.,CMIN3,9.54,5.43,51.9,127447742.27,[]
SER EDUCACIONAL,SEER3,14.09,5.5,25.05,8791964.9,[]
TAESA,TAEE4,13.41,5.52,92.32,3605490.1,[]
CIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,36.46,5.55,6.0,230535108.43,[]
JHSF,JHSF3,7.18,5.57,69.99,41571396.1,[]
MINERVA,BEEF3,9.84,5.72,8.97,114706577.73,[]
SANEPAR,SAPR4,4.13,5.76,32.72,18382411.8,[]
USIMINAS,USIM5,20.3,5.76,24.81,507021646.4,[]
RANDON,RAPT4,14.37,5.79,18.92,40249497.73,[]
GRAZZIOTIN,CGRA4,32.1,5.91,16.87,513777.1,[]
JBS,JBSS3,30.72,6.02,7.59,416972259.73,[]
EDP Brasil,ENBR3,18.46,6.17,18.78,67910086.5,[]
CIA SIDERURGICA NACIONAL,CSNA3,47.0,6.34,34.92,588384555.97,[]
POSITIVO,POSI3,11.22,6.52,12.67,127738716.5,[]
CEMIG,CMIG4,12.18,6.79,18.66,122625448.37,[]
PETROBRAS DISTRIBUIDORA,BRDT3,24.91,6.92,5.72,205964693.13,[]
VALE,VALE3,110.56,6.99,34.21,2684915361.6,[]
GPC PARTICIPAÇÕES,GPCP3,37.31,7.09,17.7,6953008.27,[]
COPASA,CSMG3,17.6,7.12,24.2,42026975.8,[]
LIGHT,LIGT3,16.7,7.19,13.62,39548221.1,[]
EQUATORIAL ENERGIA,EQTL3,25.3,7.47,26.73,176413529.27,[]
CAMIL,CAML3,9.41,7.6,8.33,16156683.13,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,8.32,7.76,33.06,12767189.8,[]
ENGIE BRASIL,EGIE3,40.08,7.81,46.31,66026281.87,[]
TERRA SANTA AGRO,TESA3,43.46,7.9,20.14,1772866.6,[]
GERDAU,GGBR4,34.61,8.07,16.26,515126104.83,[]
PROFARMA,PFRM3,6.05,8.11,2.2,3170701.8,[]
ATACADÃO,CRFB3,20.57,8.23,6.8,82580799.27,[]
BRASILAGRO,AGRO3,32.51,8.23,34.26,43159218.1,[]
NEOENERGIA,NEOE3,16.98,8.48,16.39,36356218.83,[]
DIRECIONAL ENGENHARIA,DIRR3,13.35,8.52,15.49,16180029.17,[]
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,6.0,8.72,16.71,5338403.23,[]
CPFL ENERGIA,CPFE3,28.37,8.95,16.55,68365290.03,[]
ELECTRO ACO ALTONA,EALT4,6.93,8.95,12.86,537255.37,[]
ENAUTA PARTICIPAÇÕES,ENAT3,14.8,9.04,35.15,31000066.47,[]
CONSTRUTORA TENDA,TEND3,25.48,9.18,11.89,21983735.9,[]
SCHULZ,SHUL4,10.52,9.19,13.67,5703445.03,[]
EUCATEX,EUCA3,23.1,9.24,10.81,349422.33,[]
EUCATEX,EUCA4,10.64,9.24,10.81,4952445.23,[]
UNIPAR CARBOCLORO,UNIP3,73.75,9.25,19.35,2412980.07,[]
UNIPAR CARBOCLORO,UNIP6,79.66,9.25,19.35,32909948.23,[]
SABESP,SBSP3,42.25,9.42,25.24,132920400.3,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.64,9.65,254.89,11594419.57,[]
TRISUL,TRIS3,10.02,9.71,22.65,10238945.8,[]
WHIRLPOOL,WHRL4,8.18,9.82,10.57,245034.17,[]
JALLES MACHADO S.A.,JALL3,8.78,9.83,40.67,6410619.8,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.42,9.86,19.9,308746.5,[]
CESP,CESP3,28.65,10.07,47.26,377248.4,[]
CESP,CESP6,25.08,10.07,47.26,58872997.07,[]
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,TPIS3,3.81,10.38,23.87,24062453.47,[]
BIOSEV,BSEV3,9.0,10.39,14.14,1546800.9,[]
Irani Papel e Embalagem S.A.,RANI3,7.96,10.44,18.84,22455652.07,[]
SÃO MARTINHO,SMTO3,32.12,10.52,35.23,34183722.6,[]
BRASKEM,BRKM3,51.0,10.62,9.17,1825272.77,[]
BRASKEM,BRKM5,52.12,10.62,9.17,210273515.47,[]
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,NUTR3,395.0,10.65,7.18,280785.0,[]
ELETROBRAS,ELET6,39.86,10.75,29.66,94385043.53,[]
ELETROBRAS,ELET3,39.84,10.75,29.66,217756501.1,[]
SMILES,SMLS3,21.88,10.84,34.48,21201448.23,[]
ODONTOPREV,ODPV3,13.15,10.86,32.09,15809658.87,[]
BRF,BRFS3,20.91,11.07,7.21,169165950.33,[]
UNICASA,UCAS3,5.03,11.15,14.51,1137803.5,[]
ENERGISA,ENGI3,16.5,11.32,13.29,304924.83,[]
ENERGISA,ENGI4,7.11,11.32,13.29,401745.4,[]
MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,6.0,11.44,9.4,4167820.03,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG6,67.96,11.65,18.15,237432.76,[]
TRONOX PIGMENTOS DO BRASIL S.A.,CRPG5,69.5,11.65,18.15,973095.4,[]
COMGAS,CGAS5,158.0,11.97,24.09,294183.13,[]
TELEFÔNICA BRASIL,VIVT3,42.99,12.18,15.26,95157100.33,[]
TIM,TIMS3,12.22,12.22,16.63,79886640.3,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,88.0,12.35,36.45,518359.37,[]
KEPLER WEBER,KEPL3,53.59,12.4,12.34,12165254.47,[]
FRAS-LE,FRAS3,11.57,12.41,14.36,3521821.03,[]
CYRELA COMMERCIAL PROPERT,CCPR3,13.2,12.65,50.22,5883300.53,[]
LOPES BRASIL,LPSB3,4.07,12.98,21.33,4890443.77,[]
