Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,9.98,-191.31,-0.98,5977959.1,[]
AMBEV,ABEV3,17.18,15.17,27.05,335133291.4,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.52,34.01,9.30,36746307.6,[]
AES BRASIL ENERGIA S.A.,AESB3,14.3,-,-,19123868.73,[]
AFLUENTE,AFLT3,9.3,28.13,54.72,27571.62,[]
BRASILAGRO,AGRO3,32.51,8.23,34.26,43159218.1,[]
SÃO PAULO TURISMO,AHEB3,21.5,-10.96,-5.66,28532.8,[]
SÃO PAULO TURISMO,AHEB5,19.0,-10.96,-5.66,8922.5,[]
SÃO PAULO TURISMO,AHEB6,30.0,-10.96,-5.66,7733.33,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.42,19.44,4.78,1883482.04,[]
ALPARGATAS,ALPA3,39.92,52.98,13.11,197050.43,[]
ALPARGATAS,ALPA4,45.7,52.98,13.11,73182056.8,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.06,366.24,1.26,450772.3,[]
ALIANSCSONAE,ALSO3,27.45,18.46,40.15,41312337.43,[]
ALUPAR,ALUP11,27.35,4.00,58.47,0.0,[]
ALUPAR,ALUP3,9.06,4.00,58.47,223640.23,[]
ALUPAR,ALUP4,9.21,4.00,58.47,273061.53,[]
LOJAS MARISA,AMAR3,6.23,-11.77,-12.13,44703787.2,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,28.12,21.62,18.40,11578209.53,[]
ANIMA,ANIM3,11.85,40.83,8.31,25921633.8,[]
ALPER,APER3,56.2,-206.46,-2.85,5749383.63,[]
AREZZO&CO,ARZZ3,83.84,91.48,5.79,60330220.13,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,86.68,34.70,4.68,129082541.93,[]
ATMA SA,ATMP3,9.7,-3.39,-15.64,2035650.33,[]
ATOM EMPREENDIMENTOS,ATOM3,8.6,16.72,32.02,6183016.6,[]
ALPHAVILLE S.A.,AVLL3,25.95,-4.03,-167.68,248328.62,[]
