Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
ALLIAR MEDICINA DIAGNÓSTICA,AALR3,10.79,73.63,2.55,8940881.26,[]
AMBEV,ABEV3,17.45,15.42,27.05,330163731.89,[]
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,AERI3,8.4,31.34,8.71,32797021.29,[]
AES BRASIL ENERGIA S.A.,AESB3,14.67,-,-,16942908.92,[]
AFLUENTE,AFLT3,9.66,29.29,54.72,23363.11,[]
BRASILAGRO,AGRO3,30.68,9.55,34.26,38640356.18,[]
SÃO PAULO TURISMO,AHEB3,20.89,-5.07,-17.42,24033.89,[]
SÃO PAULO TURISMO,AHEB5,19.0,-5.07,-17.42,8922.5,[]
SÃO PAULO TURISMO,AHEB6,30.0,-5.07,-17.42,7733.33,[]
ALLIED TECNOLOGIA S.A.,ALLD3,18.08,19.11,4.78,1794216.03,[]
ALPARGATAS,ALPA3,39.1,51.72,13.11,168061.34,[]
ALPARGATAS,ALPA4,44.53,51.72,13.11,73908498.66,[]
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,8.3,-107.89,-4.96,392156.71,[]
ALIANSCSONAE,ALSO3,29.3,36.17,30.24,41551901.08,[]
ALUPAR,ALUP11,27.5,4.02,58.47,0.0,[]
ALUPAR,ALUP3,9.01,4.02,58.47,212162.61,[]
ALUPAR,ALUP4,9.35,4.02,58.47,261769.79,[]
LOJAS MARISA,AMAR3,6.58,-12.16,-12.13,43812966.03,[]
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,30.2,21.47,18.24,11744673.89,[]
ANIMA,ANIM3,11.98,26.07,12.99,24013128.45,[]
ALPER,APER3,50.61,-185.92,-2.85,5766616.58,[]
AREZZO&CO,ARZZ3,86.1,178.23,3.96,55523373.47,[]
SENDAS DISTRIBUIDORA S.A.,ASAI3,88.77,35.39,4.68,127239725.79,[]
ATMA SA,ATMP3,9.45,-4.97,-10.47,1982053.32,[]
ATOM EMPREENDIMENTOS,ATOM3,8.35,12.44,35.35,5058161.61,[]
ALPHAVILLE S.A.,AVLL3,25.9,-4.74,-102.43,204852.24,[]
AZEVEDO E TRAVASSOS,AZEV3,7.09,0.82,8.092.30,1202403.97,[]
AZEVEDO E TRAVASSOS,AZEV4,5.99,0.82,8.092.30,2270534.18,[]
AZUL,AZUL4,46.6,-35.66,-37.84,251824594.42,[]
B3,B3SA3,17.11,15.96,61.43,615197941.89,[]
BAHEMA,BAHI3,73.7,-11.14,-4.94,58814.36,[]
