Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,16.5,20.37,10.9,12286900.0
AMBEV S/A,ABEV3,14.97,14.0,22.5,338761000.0
AERIS,AERI3,6.45,31.14,6.6,14669000.0
AES BRASIL,AESB3,11.81,125.02,7.2,12441500.0
AFLUENTE T,AFLT3,9.15,28.0,51.3,4334.0
BRASILAGRO,AGRO3,27.94,5.04,33.2,16077200.0
AGROGALAXY,AGXY3,11.13,15.25,3.0,933116.0
PARQUE ANHEMBI,AHEB3,27.5,-5.74,-20.8,4247.0
PARQUE ANHEMBI,AHEB5,22.0,-4.56,-20.8,112.0
PARQUE ANHEMBI,AHEB6,51.5,-10.9,-20.8,0.0
ALLIED,ALLD3,16.05,3.92,6.4,2688210.0
ALPARGATAS,ALPA3,26.02,17.74,20.4,89817.0
ALPARGATAS,ALPA4,29.08,19.92,20.4,95895900.0
ESTAPAR,ALPK3,4.42,32.45,9.5,75926.0
ALIANSCSONAE,ALSO3,22.67,18.11,43.4,34446400.0
ALUPAR,ALUP11,25.44,3.33,71.1,22314400.0
ALUPAR,ALUP3,8.5,3.33,71.1,97403.0
ALUPAR,ALUP4,8.55,3.34,71.1,119934.0
LOJAS MARISA,AMAR3,3.56,8.5,10.4,26821000.0
AMBIPAR,AMBP3,39.49,24.58,16.7,32533500.0
AMERICANAS,AMER3,31.71,50.67,3.8,235940000.0
ANIMA,ANIM3,8.83,25.51,14.2,23730500.0
ALPER S.A.,APER3,34.13,-7.11,-45.9,1794190.0
ARMAC,ARML3,21.46,,,16196600.0
AREZZO CO,ARZZ3,81.79,29.88,11.4,76851600.0
ASSAI,ASAI3,12.53,10.24,8.5,132549000.0
ATMASA,ATMP3,2.85,-22.6,-1.5,155384.0
ATOMPAR,ATOM3,3.29,8.26,21.3,177836.0
ALPHAVILLE,AVLL3,29.29,-14.47,-34.1,166700.0
AZEVEDO & TRAVASSOS,AZEV3,4.05,-8.89,-40.4,286006.0
AZEVEDO & TRAVASSOS,AZEV4,3.39,-6.92,-40.4,1848300.0
AZUL,AZUL4,29.21,-183.6,-1.2,205081000.0
B3,B3SA3,14.62,12.22,63.2,540901000.0
BAHEMA,BAHI3,14.2,133.23,0.7,53382.0
BAUMER,BALM3,15.58,9.27,10.2,1404.0
BAUMER,BALM4,11.15,6.31,10.2,5353.0
EXCELSIOR,BAUH4,85.9,122.79,2.0,36532.0
BR Brokers,BBRK3,1.4,-6.5,-10.0,1616920.0
BAEDELLA,BDLL3,10.82,-8.68,-275.8,2693.0
BAEDELLA,BDLL4,9.99,-8.63,-275.8,4100.0
Minerva,BEEF3,9.54,6.0,7.7,63861500.0
BIOMM SA,BIOM3,14.47,-19.09,-55.5,195859.0
BK BRASIL,BKBR3,6.23,-7.56,-10.4,14151500.0
BLAU,BLAU3,36.98,12.55,36.1,13075800.0
B TECH EQI,BLUT3,1.65,-24.52,,317726.0
B TECH EQI,BLUT4,0.9,-15.22,,493806.0
MONARK,BMKS3,238.02,12.97,-11.1,11175.0
BEMOBI TECH,BMOB3,15.03,7.84,31.4,13432200.0
BOA VISTA,BOAS3,5.65,11.72,22.4,8178480.0
BOMBRIL SA,BOBR3,1.0,18.36,2.7,0.0
BOMBRIL SA,BOBR4,1.55,23.17,2.7,78342.0
BRADESPAR S/A,BRAP3,24.32,-254.03,,9008860.0
BRADESPAR S/A,BRAP4,26.83,-289.81,,221256000.0
BR PARTNERS,BRBI11,18.21,,,3414600.0
BRF Foods,BRFS3,22.33,11.91,6.4,209193000.0
BRISANET,BRIT3,4.42,,,3459960.0
BRASKEM,BRKM3,48.2,2.23,26.8,3433060.0
BRASKEM,BRKM5,49.17,2.26,26.8,228718000.0
BRASKEM,BRKM6,38.79,1.94,26.8,713.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,9.63,17.85,59.3,203733000.0
BR PROPERTIES,BRPR3,7.24,23.41,68.5,13636900.0
CAL S/A,CALI3,98.18,10.91,10.9,0.0
CAL S/A,CALI4,50.0,8.45,10.9,0.0
PENALTY,CAMB3,4.53,8.14,15.8,131862.0
CAMIL,CAML3,8.94,9.48,6.3,17867300.0
CSU CARDSYST,CARD3,14.85,7.68,16.5,3294280.0
MELIUZ,CASH3,2.91,-194.73,-4.4,170130000.0
CASAN,CASN3,15.01,58.1,20.8,0.0
NOT FOUND,CASN4,,,,
CBA,CBAV3,17.34,,,33521800.0
AMPLA ENERG,CBEE3,23.01,75.95,1.5,9937.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.0,12.69,27.8,117516000.0
CEA MODAS,CEAB3,6.58,-15.82,-3.1,16074400.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,16.0,-1.97,-20.3,39516.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,15.16,-2.31,-20.3,18675.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,14.67,-2.52,-20.3,105115.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,7.0,4.4,6.5,3955.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,5.49,4.14,6.5,32326.0
COELBA,CEEB3,33.7,6.58,19.7,89542.0
COELBA,CEEB5,39.0,7.08,19.7,0.0
CEEE-D,CEED3,55.0,-28.27,-4.2,1981.0
CEEE-D,CEED4,55.8,-28.55,-4.2,0.0
CEG,CEGR3,57.99,22.55,17.7,276.0
CELPE,CEPE3,128.0,13.92,12.6,0.0
CELPE,CEPE5,25.01,6.76,12.6,3215.0
CELPE,CEPE6,26.1,6.83,12.6,5261.0
CESP CIA ENERGETICA SAO PAULO,CESP3,23.46,7.78,55.0,140834.0
CESP CIA ENERGETICA SAO PAULO,CESP5,26.26,8.55,55.0,6363.0
CESP CIA ENERGETICA SAO PAULO,CESP6,23.29,7.73,55.0,47314700.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,136.0,9.41,23.1,75770.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,128.2,8.98,23.1,976252.0
GRAZZIOTIN,CGRA3,38.99,6.12,18.8,57915.0
GRAZZIOTIN,CGRA4,38.94,6.11,18.8,408108.0
CIELO,CIEL3,2.3,2.55,18.9,56779900.0
CLEARSALE,CLSA3,11.53,,,18131600.0
CELESC,CLSC3,62.0,3.14,8.0,26203.0
CELESC,CLSC4,65.2,3.25,8.0,641094.0
CEMIG,CMIG3,18.62,7.76,16.6,5593440.0
CEMIG,CMIG4,13.13,5.95,16.6,98333300.0
CSNMINERACAO,CMIN3,6.98,2.77,53.8,62581600.0
CIA ENERG CEARA - COELCE,COCE3,58.92,12.33,8.4,543.0
CIA ENERG CEARA - COELCE,COCE5,54.0,11.71,8.4,547517.0
COGNA,COGN3,2.58,-50.06,-5.1,78308100.0
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,18.34,-18.0,0.0
CPFL ENERGIA S.A.,CPFE3,28.93,7.08,18.0,72215200.0
COPEL,CPLE11,34.89,6.33,17.1,13735600.0
COPEL,CPLE3,6.35,5.89,17.1,6159370.0
COPEL,CPLE5,31.0,23.16,17.1,2017.0
COPEL,CPLE6,7.18,6.47,17.1,85133500.0
CR2,CRDE3,17.0,-2.68,-460.7,17783.0
CARREFOUR BR,CRFB3,16.67,8.52,6.6,73005400.0
CRISTAL,CRPG3,75.78,8.78,23.2,180.0
CRISTAL,CRPG5,62.0,7.01,23.2,1018960.0
CRISTAL,CRPG6,60.49,6.81,23.2,27636.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,23.77,22.59,15.2,142218000.0
CRUZEIRO EDU,CSED3,6.25,8.44,16.1,5284660.0
COPASA MG,CSMG3,13.15,5.94,21.9,24441700.0
CSN,CSNA3,25.54,2.38,41.5,297296000.0
COSERN,CSRN3,15.43,6.48,18.4,11552.0
COSERN,CSRN5,15.25,6.43,18.4,614.0
COSERN,CSRN6,16.1,6.66,18.4,367.0
KARSTEN,CTKA3,27.5,13.95,9.7,471.0
KARSTEN,CTKA4,11.8,11.94,9.7,81778.0
COTEMINAS,CTNM3,8.38,7.17,8.6,705.0
COTEMINAS,CTNM4,3.7,6.46,8.6,39696.0
SANTANENSE,CTSA3,1.84,14.72,4.4,55678.0
SANTANENSE,CTSA4,1.25,12.27,4.4,103055.0
CURY S/A,CURY3,8.23,6.28,22.4,6510190.0
CVC BRASIL,CVCB3,14.46,-8.46,-60.9,135132000.0
CYRELA BRAZIL REALTY,CYRE3,17.48,10.55,17.1,119036000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,29.14,121.35,1.6,11987100.0
DESKTOPSIGMA,DESK3,19.68,,,6057190.0
DEXXOS PAR,DEXP3,9.8,6.02,11.9,4551190.0
DEXXOS PAR,DEXP4,7.9,5.01,11.9,61761.0
Direcional Engenharia,DIRR3,13.75,7.6,18.1,22413900.0
DOMMO,DMMO3,1.08,9.9,34.2,6955750.0
D1000VFARMA,DMVF3,4.4,2.04,7.6,409364.0
DOHLER,DOHL3,19.0,14.88,14.0,93.0
DOHLER,DOHL4,6.03,4.7,14.0,29821.0
DOTZ SA,DOTZ3,2.93,,,352273.0
DTCOM,DTCY3,7.55,-35.76,-21.6,610.0
DEXCO,DXCO3,14.95,8.64,19.4,50590800.0
ELECTRO AÇO ALTONA S/A,EALT3,10.86,9.77,10.2,2139.0
ELECTRO AÇO ALTONA S/A,EALT4,7.02,7.26,10.2,280135.0
ECORODOVIAS,ECOR3,7.92,6.9,42.6,51052000.0
ENCORPAR,ECPR3,79.89,-65.54,,0.0
ENCORPAR,ECPR4,85.8,-70.4,,0.0
CEEE,EEEL3,400.0,9.98,33.5,952.0
CEEE,EEEL4,399.0,9.95,33.5,950.0
ENGIE BRASIL,EGIE3,40.7,8.2,43.1,47198800.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.73,7.97,15.6,404.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,25.0,6.64,15.6,15791.0
ELETROBRÁS,ELET3,35.29,-22.77,-11.8,176657000.0
ELETROBRÁS,ELET5,64.5,-35.79,-11.8,154.0
ELETROBRÁS,ELET6,34.48,-22.41,-11.8,90083900.0
ELETROMIDIA,ELMD3,14.67,-68.32,-8.7,1782270.0
NOT FOUND,EMAE3,,,,
EMAE,EMAE4,48.37,8.3,36.1,575931.0
EMBRAER,EMBR3,20.31,12.76,7.5,224286000.0
ENAUTA PART,ENAT3,15.26,6.97,28.0,17954300.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,21.44,5.43,20.4,71993700.0
ENEVA,ENEV3,13.21,17.37,27.7,86858100.0
ENERGISA,ENGI11,43.65,7.2,17.6,75145100.0
ENERGISA,ENGI3,14.5,9.53,17.6,142722.0
ENERGISA,ENGI4,7.42,6.67,17.6,264471.0
ENJOEI,ENJU3,3.14,-1.76,-108.6,8916670.0
ENERGISA MT,ENMT3,81.2,12.42,25.4,278877.0
ENERGISA MT,ENMT4,81.79,12.5,25.4,2100.0
EMBPAR S/A,EPAR3,15.84,4.4,6.3,33799.0
EQTL PARA,EQPA3,5.66,8.36,23.5,40902.0
EQTL PARA,EQPA5,7.3,10.43,23.5,5877.0
EQTL PARA,EQPA6,10.68,14.71,23.5,0.0
EQTL PARAC,EQPA7,6.7,9.68,23.5,32.0
EQUATORIAL ENERGIA S.A.,EQTL3,22.96,6.9,23.2,134766000.0
ESPACOLASER,ESPA3,6.39,10.37,27.9,24822000.0
ESTRELA,ESTR3,40.0,4.85,13.5,0.0
ESTRELA,ESTR4,67.18,5.77,13.5,0.0
ETERNIT,ETER3,17.67,2.94,27.8,40711600.0
EUCATEX,EUCA3,14.01,4.04,18.3,125552.0
EUCATEX,EUCA4,9.01,2.92,18.3,488114.0
Even,EVEN3,7.41,2.19,16.8,12817500.0
EZTec,EZTC3,21.38,14.01,26.3,46214700.0
FERBASA,FESA3,50.0,6.91,29.0,17091.0
FERBASA,FESA4,46.45,6.41,29.0,24435300.0
Fer Heringer,FHER3,15.95,2.73,14.4,24226900.0
UNIFIQUE,FIQE3,6.72,,,3237980.0
FLEURY,FLRY3,20.22,11.83,19.0,35302700.0
FRAS-LE S.A.,FRAS3,12.61,10.0,13.5,2707630.0
Metalfrio,FRIO3,50.59,16.62,3.5,120.0
POMIFRUTAS,FRTA3,5.1,-264.98,-1.6,24035.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,32.0,4.07,78.9,612.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,31.51,4.02,78.9,13687.0
NOT FOUND,GETT11,,,,
GETNET BR,GETT3,1.64,,,878021.0
GETNET BR,GETT4,1.65,,,835734.0
GAFISA,GFSA3,2.04,11.49,10.5,14555400.0
GERDAU S.A.,GGBR3,22.6,2.91,23.2,1314300.0
GERDAU S.A.,GGBR4,27.84,3.46,23.2,290721000.0
GPS,GGPS3,17.1,,,25836600.0
GRUPO MATEUS,GMAT3,6.11,14.76,6.2,25192500.0
INTERMEDICA,GNDI3,71.2,96.66,3.9,328179000.0
METALÚRGICA GERDAU,GOAU3,10.2,1.12,23.2,877491.0
METALÚRGICA GERDAU,GOAU4,11.57,1.21,23.2,86888400.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,18.29,-7.95,-35.2,94085800.0
CELGPAR,GPAR3,41.52,16.33,90.6,99.0
GRENDENE SA,GRND3,9.07,14.57,19.2,13827500.0
Generalshopp,GSHP3,30.5,40.27,33.3,14478.0
GUARARAPES CONFECÇÕES,GUAR3,12.74,29.22,4.0,13645700.0
HAGA,HAGA3,8.59,21.64,10.2,511132.0
HAGA,HAGA4,1.94,4.41,10.2,200426.0
HAPVIDA,HAPV3,12.66,93.38,5.5,275765000.0
Helbor,HBOR3,4.3,20.49,7.1,4648630.0
HBR REALTY,HBRE3,7.98,18.5,86.7,570740.0
HIDROVIAS,HBSA3,3.11,32.65,15.2,10660000.0
CIA HABITASUL,HBTS5,45.0,2.93,58.9,3862.0
HERCULES S/A,HETA3,96.0,568.56,28.3,0.0
HERCULES S/A,HETA4,8.2,500.4,28.3,103373.0
HOTEIS OTHON S.A.,HOOT4,2.8,-1.66,-88.5,19452.0
HYPERA,HYPE3,31.11,14.88,29.6,87784500.0
INFRACOMM,IFCM3,16.3,,,21471900.0
GRADIENTE,IGBR3,49.2,-6.16,,676820.0
IGUATEMI S.A,IGTI11,20.0,27.55,36.0,47433700.0
IGUATEMI S.A,IGTI3,3.37,31.17,36.0,2467330.0
INEPAR S/A,INEP3,1.6,-4.14,,1439200.0
INEPAR S/A,INEP4,1.56,-4.12,,1305690.0
INTELBRAS,INTB3,31.3,35.13,9.7,29542300.0
ITAÚSA,ITSA3,10.3,70.9,17.2,1540800.0
ITAÚSA,ITSA4,10.19,70.18,17.2,247185000.0
JALLESMACHAD,JALL3,10.02,5.77,48.3,6818760.0
JBS,JBSS3,35.09,5.33,8.1,341660000.0
JOÃO FORTES ENGENHARIA S.A.,JFEN3,1.25,-6.89,958.8,1025360.0
JHSF Part,JHSF3,6.43,4.9,58.5,26805500.0
JOSAPAR S/A,JOPA3,27.0,12.23,3.1,6409.0
JOSAPAR S/A,JOPA4,35.0,13.67,3.1,634.0
JULIO SIMOES,JSLG3,7.14,50.76,18.3,3114220.0
KEPLER WEBER SA,KEPL3,38.9,6.44,11.8,9099680.0
KLABIN,KLBN11,24.88,10.95,28.8,131116000.0
KLABIN,KLBN3,5.74,11.93,28.8,598093.0
KLABIN,KLBN4,4.76,10.67,28.8,2596310.0
KORA SAUDE,KRSA3,4.27,,,860224.0
TERRASANTAPA,LAND3,0.0,,,0.0
LAVVI,LAVV3,5.78,2.92,30.6,5006050.0
LOCAMERICA,LCAM3,26.23,11.74,25.4,72834800.0
MAHLE METAL LEVE,LEVE3,32.68,6.13,19.6,11722400.0
LIGHT SA,LIGT3,11.61,6.16,12.4,28504400.0
LIGHTPAR,LIPR3,67.01,-120.09,,18293.0
QUERO-QUERO,LJQQ3,10.14,8.95,9.9,27960400.0
LE LIS BLANC DEUX,LLIS3,1.72,-9.34,-23.7,749180.0
LOG COM PROP,LOGG3,28.28,35.45,74.2,19632800.0
Log-In,LOGN3,22.18,16.52,14.3,17277000.0
LOPES BRASIL,LPSB3,2.93,5.68,24.0,3645760.0
RENNER,LREN3,28.12,16.93,15.3,310470000.0
LUPATECH,LUPA3,5.83,-19.33,-18.5,11249700.0
TREVISA INVESTIMENTOS SA,LUXM4,81.99,20.92,16.2,167339.0
WDC NETWORKS,LVTC3,16.35,,,3312090.0
LOCAWEB,LWSA3,9.7,127.89,4.5,131543000.0
CIA MARCOPOLO,MAPT3,37.0,-225.19,,0.0
CIA MARCOPOLO,MAPT4,21.51,-130.91,,1954.0
MATER DEI,MATD3,15.89,,,12296500.0
MOBLY,MBLY3,6.38,-6.67,-11.1,1711260.0
M.DIASBRANCO,MDIA3,23.13,22.55,4.7,27363200.0
MOURA DUBEUX,MDNE3,6.54,6.05,12.5,1957450.0
