Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ALLIAR,AALR3,16.5,17.95,12.33,13940000.0,FASE OPERACIONAL
AMBEV S/A,ABEV3,14.97,11.34,27.80,343970000.0,FASE OPERACIONAL
AERIS,AERI3,6.45,29.29,7.06,13490000.0,FASE OPERACIONAL
AES BRASIL,AESB3,11.81,107.1,8.41,11470000.0,FASE OPERACIONAL
AFLUENTE T,AFLT3,9.15,26.88,53.41,5490.0,FASE OPERACIONAL
BRASILAGRO,AGRO3,27.94,5.36,31.65,17520000.0,FASE OPERACIONAL
AGROGALAXY,AGXY3,11.13,18.24,2.79,715390.0,FASE OPERACIONAL
SPTURIS,AHEB3,27.5,-6.16,-19.49,3420.0,FASE OPERACIONAL
SPTURIS,AHEB5,22.0,-6.16,-19.49,30611.0,FASE OPERACIONAL
SPTURIS,AHEB6,51.5,-6.16,-19.49,0.0,FASE OPERACIONAL
ALLIED,ALLD3,16.05,2.99,8.39,3520000.0,FASE OPERACIONAL
ALPARGATAS,ALPA3,26.02,26.15,14.25,76530.0,FASE OPERACIONAL
ALPARGATAS,ALPA4,29.08,26.15,14.25,93200000.0,FASE OPERACIONAL
ESTAPAR,ALPK3,4.42,-287.18,-1.08,88750.0,FASE OPERACIONAL
ALIANSCSONAE,ALSO3,22.67,21.21,37.03,31440000.0,FASE OPERACIONAL
ALUPAR,ALUP11,25.44,3.38,71.60,20510000.0,FASE OPERACIONAL
ALUPAR,ALUP3,8.5,3.38,71.60,90500.0,FASE OPERACIONAL
ALUPAR,ALUP4,8.55,3.38,71.60,106900.0,FASE OPERACIONAL
LOJAS MARISA,AMAR3,3.56,-141.47,-0.62,28370000.0,FASE OPERACIONAL
AMBIPAR,AMBP3,39.49,23.12,17.76,38930000.0,FASE OPERACIONAL
AMERICANAS,AMER3,31.71,73.52,2.55,224720000.0,FASE OPERACIONAL
ANIMA,ANIM3,8.83,26.46,13.81,24760000.0,FASE OPERACIONAL
ALPER S.A.,APER3,34.13,96.12,3.39,1680000.0,FASE PRÉ-OPERACIONAL
ARMAC,ARML3,21.46,81.42,33.85,16010000.0,FASE OPERACIONAL
AREZZO CO,ARZZ3,81.79,20.14,16.90,74220000.0,FASE OPERACIONAL
ASSAI,ASAI3,12.53,8.3,6.50,127780000.0,FASE OPERACIONAL
ATMASA,ATMP3,2.85,-3.92,-8.65,161220.0,FASE OPERACIONAL
